Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Hallin, Daniel C","
COMM 104G - CMS: Latin America & Caribbean (A)
",WI23,33,"
7
","
100.0%
","
100.0%
","
4.79
","
B+ (3.50)
","
B+ (3.37)
"
"Hallin, Daniel C","
COMM 104G - CMS: Latin America & Caribbean (A)
",SP22,31,"
6
","
100.0%
","
100.0%
","
3.83
","
B (3.25)
","
B (3.11)
"
"Hallin, Daniel C","
COMM 104G - CMS: Latin America & Caribbean (A)
",SP20,43,"
13
","
90.9%
","
100.0%
","
3.23
","
B+ (3.33)
","
B+ (3.35)
"
"Hallin, Daniel C","
COMM 104G - CMS: Latin America & Caribbean (A)
",FA18,16,"
4
","
100.0%
","
100.0%
","
3.50
","
B (3.25)
","
N/A
"
"Hallin, Daniel C","
COMM 104G - CMS: Latin America & Caribbean (A)
",WI18,16,"
8
","
100.0%
","
100.0%
","
4.75
","
B (3.25)
","
N/A
"
"Hallin, Daniel C","
COMM 104G - CMS: Latin America & Caribbean (A)
",SP17,24,"
7
","
66.7%
","
83.3%
","
3.83
","
B+ (3.67)
","
B+ (3.37)
"
"Hallin, Daniel C","
COMM 104G - Comp Media Syst:Lat Amr&Carbbn (A)
",WI16,37,"
17
","
64.7%
","
88.2%
","
4.97
","
B+ (3.50)
","
B (3.06)
"
"Hallin, Daniel C","
COMM 104G - Comp Media Syst:Lat Amr&Carbbn (A)
",SP15,34,"
15
","
80.0%
","
86.7%
","
3.83
","
B+ (3.33)
","
B- (2.99)
"
"Walsh, Michaela D","
COMM 104G - Comp Media Syst:Lat Amr&Carbbn (A)
",S213,17,"
4
","
75.0%
","
50.0%
","
3.00
","
A- (3.75)
","
N/A
"
"Walsh, Michaela D","
COMM 104G - Comp Media Syst:Lat Amr&Carbbn (A)
",FA12,22,"
6
","
100.0%
","
83.3%
","
6.50
","
B+ (3.67)
","
B+ (3.47)
"
"Walsh, Michaela D                  ","
COMM 104G - Comp Media Syst:Lat Amr&Carbbn (A)
",SP12,57,"
48
","
95.8%
","
93.8%
","
5.46
","
B+ (3.43)
","
B+ (3.47)
"
"Walsh, Michaela D                  ","
COMM 104G - Comp Media Syst:Lat Amr&Carbbn (A)
",S211,18,"
3
","
100.0%
","
100.0%
","
6.50
","
A (4.00)
","
N/A
"
"Muria, Magali                      ","
COMM 104G - Comp Media Syst:Lat Amr&Carbbn (A)
",SP11,37,"
16
","
87.5%
","
81.3%
","
4.88
","
B+ (3.69)
","
B+ (3.49)
"
"Muria, Magali                      ","
COMM 104G - Comp Media Syst:Lat Amr&Carbbn (A)
",SP10,27,"
17
","
88.2%
","
88.2%
","
4.50
","
B (3.24)
","
B (3.19)
"
"Hallin, Daniel C              ","
COMM 104G - Comp Media Syst:Lat Amr&Carbbn (A)
",SP08,66,"
36
","
77.8%
","
94.4%
","
4.22
","
B+ (3.34)
","
B (3.01)
"
