Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Irani, Lilly C","
COMM 106I - CI: Internet Industry (A)
",WI23,103,"
30
","
100.0%
","
100.0%
","
4.10
","
A- (3.83)
","
A- (3.82)
"
"Irani, Lilly C","
COMM 106I - CI: Internet Industry (A)
",SP22,95,"
35
","
91.4%
","
91.4%
","
4.16
","
B+ (3.57)
","
B+ (3.50)
"
"Whitworth-Smith, Andrew C","
COMM 106I - CI: Internet Industry (A)
",WI21,66,"
56
","
92.9%
","
94.6%
","
4.79
","
B+ (3.67)
","
A- (3.77)
"
"Irani, Lilly C","
COMM 106I - CI: Internet Industry (A)
",WI20,152,"
59
","
76.8%
","
72.7%
","
4.61
","
B+ (3.46)
","
B+ (3.33)
"
"Irani, Lilly C","
COMM 106I - CI: Internet Industry (A)
",WI19,117,"
44
","
92.5%
","
90.0%
","
3.69
","
B+ (3.60)
","
B+ (3.49)
"
"Irani, Lilly C","
COMM 106I - CI: Internet Industry (B)
",WI18,75,"
40
","
94.9%
","
97.4%
","
3.76
","
B (3.26)
","
B+ (3.51)
"
"Medeiros, Benjamin","
COMM 106I - CI : Internet Industry (A)
",FA16,85,"
61
","
90.2%
","
93.4%
","
4.73
","
B+ (3.54)
","
B+ (3.37)
"
"Irani, Lilly C","
COMM 106I - CI : Internet Industry (A)
",FA15,82,"
41
","
78.9%
","
68.4%
","
5.20
","
B+ (3.42)
","
B (3.05)
"
"Irani, Lilly C","
COMM 106I - CI : Internet Industry (A)
",SP15,116,"
54
","
94.2%
","
86.5%
","
4.22
","
B (3.25)
","
B (3.17)
"
"Irani, Lilly C","
COMM 106I - CI : Internet Industry (A)
",SP14,71,"
48
","
85.4%
","
91.7%
","
4.63
","
B+ (3.44)
","
B+ (3.40)
"
"Moran, Chuktropolis Welling        ","
COMM 106I - The Internet Industry          (A)
",S112,21,"
4
","
100.0%
","
100.0%
","
5.50
","
A- (3.75)
","
N/A
"
