Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Guarrasi, Ivana","
COMM 110T - LLC: Language, Thought & Media (A)
",SP19,41,"
19
","
100.0%
","
100.0%
","
5.32
","
A- (3.82)
","
B+ (3.69)
"
"Guarrasi, Ivana","
COMM 110T - LLC: Language, Thought & Media (A)
",WI18,67,"
38
","
100.0%
","
100.0%
","
4.01
","
B+ (3.68)
","
B+ (3.38)
"
"Guarrasi, Ivana","
COMM 110T - LLC: Language, Thought & Media (A)
",SP16,47,"
21
","
100.0%
","
90.0%
","
4.39
","
B+ (3.61)
","
B+ (3.63)
"
"Lecusay, Robert A.","
COMM 110T - LLC: Language, Thought & Media (A)
",S214,11,"
5
","
100.0%
","
100.0%
","
6.10
","
B+ (3.33)
","
N/A
"
"Collins, Caroline Imani","
COMM 110T - LLC: Language, Thought & Media (A)
",FA12,43,"
36
","
97.2%
","
97.2%
","
6.27
","
B+ (3.66)
","
B+ (3.61)
"
"Collavin, Elena                    ","
COMM 110T - Language, Thought & the Media  (A)
",WI12,41,"
28
","
78.6%
","
71.4%
","
5.64
","
B+ (3.54)
","
B (3.11)
"
"Collavin, Elena                    ","
COMM 110T - Language, Thought & the Media  (A)
",SP11,73,"
24
","
50.0%
","
58.3%
","
5.33
","
B+ (3.41)
","
B (3.11)
"
"Collavin, Elena                    ","
COMM 110T - Language, Thought & the Media  (A)
",SP10,47,"
13
","
66.7%
","
58.3%
","
4.50
","
B+ (3.33)
","
B (3.03)
"
"Collavin, Elena","
COMM 110T - Language, Thought, the Media   (A)
",WI09,35,"
19
","
78.9%
","
89.5%
","
3.66
","
B+ (3.42)
","
B- (2.95)
"
"Collavin, Elena               ","
COMM 110T - Language, Thought, the Media   (A)
",WI08,33,"
22
","
68.2%
","
77.3%
","
4.14
","
B+ (3.38)
","
C+ (2.69)
"
