Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Conner, Thomas Hartnell","
COMM 111P - CCP:Perform & Cultural Studies (A)
",FA22,36,"
10
","
90.0%
","
90.0%
","
4.90
","
A- (3.80)
","
B+ (3.34)
"
"Rojo Solis, Juan Jose","
COMM 111P - CCP:Perform & Cultural Studies (A)
",S222,16,"
5
","
100.0%
","
100.0%
","
4.50
","
A- (3.80)
","
N/A
"
"Conner, Thomas Hartnell","
COMM 111P - CCP:Perform & Cultural Studies (A)
",FA21,22,"
7
","
100.0%
","
100.0%
","
4.21
","
B+ (3.57)
","
B+ (3.33)
"
"Rojo Solis, Juan Jose","
COMM 111P - CCP:Perform & Cultural Studies (A)
",WI21,30,"
11
","
100.0%
","
81.8%
","
3.23
","
A- (3.91)
","
B+ (3.57)
"
"Anderson, Patrick W.","
COMM 111P - CCP:Perform & Cultural Studies (A)
",FA20,44,"
40
","
76.9%
","
92.3%
","
3.73
","
B+ (3.35)
","
B (3.29)
"
"Anderson, Patrick W.","
COMM 111P - CCP:Perform & Cultural Studies (A)
",WI20,77,"
26
","
95.7%
","
95.2%
","
4.41
","
A- (3.96)
","
A- (3.84)
"
"Anderson, Patrick W.","
COMM 111P - CCP:Perform & Cultural Studies (A)
",WI18,72,"
30
","
93.1%
","
96.4%
","
3.60
","
A- (3.90)
","
A- (3.72)
"
"Hartblay, Cassandra S","
COMM 111P - CCP:Perform & Cultural Studies (A)
",SP17,27,"
12
","
100.0%
","
100.0%
","
7.77
","
A- (3.75)
","
B+ (3.63)
"
"Cappelli, Maria Ghira","
COMM 111P - CCP:Perform & Cultural Studies (A)
",SP13,73,"
45
","
88.9%
","
95.6%
","
4.41
","
B+ (3.53)
","
B+ (3.55)
"
"Rice, David Andrew                 ","
COMM 111P - Performance & Cultural Studies (A)
",SP12,45,"
18
","
72.2%
","
77.8%
","
5.39
","
B (3.27)
","
B- (3.00)
"
"Perez, James M                     ","
COMM 111P - Performance & Cultural Studies (A)
",S211,11,"
8
","
100.0%
","
100.0%
","
4.00
","
A- (3.75)
","
N/A
"
