Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Horwitz, Robert B","
COMM 114F - CSI: Law,Comm&Freedm of Exprsn (A)
",SP23,22,"
5
","
100.0%
","
100.0%
","
8.90
","
B (3.00)
","
B- (2.80)
"
"Kalika, Angelica L","
COMM 114F - CSI: Law,Comm&Freedm of Exprsn (A)
",FA20,40,"
20
","
90.0%
","
95.0%
","
3.80
","
B+ (3.50)
","
B+ (3.57)
"
"Horwitz, Robert B","
COMM 114F - CSI: Law,Comm&Freedm of Exprsn (A)
",WI18,23,"
10
","
100.0%
","
100.0%
","
4.50
","
B+ (3.40)
","
B- (2.94)
"
"Horwitz, Robert B","
COMM 114F - CSI: Law,Comm&Freedm of Exprsn (A)
",WI17,33,"
17
","
82.4%
","
94.1%
","
6.74
","
B (3.24)
","
B (3.02)
"
"Medeiros, Benjamin","
COMM 114F - CSI: Law,Comm&Freedm of Exprsn (A)
",WI15,57,"
20
","
80.0%
","
80.0%
","
5.97
","
B (3.26)
","
B- (2.88)
"
"Medeiros, Benjamin","
COMM 114F - CSI: Law,Comm&Freedm of Exprsn (A)
",WI14,34,"
15
","
100.0%
","
100.0%
","
4.37
","
B (3.27)
","
B- (2.98)
"
"Horwitz, Robert B","
COMM 114F - CSI: Law,Comm&Freedm of Exprsn (A)
",SP13,68,"
27
","
100.0%
","
100.0%
","
5.24
","
B+ (3.31)
","
B- (2.93)
"
"Horwitz, Robert B                  ","
COMM 114F - Law,Comm&Freedom of Expression (A)
",SP12,60,"
30
","
96.7%
","
96.7%
","
6.17
","
B (3.19)
","
B- (2.75)
"
"Kozak, Nadine I.                   ","
COMM 114F - Law,Comm&Freedom of Expression (A)
",SP11,54,"
27
","
77.8%
","
96.3%
","
5.54
","
B- (2.75)
","
N/A
"
"Ellis, Ryan Nelson                 ","
COMM 114F - Law,Comm&Freedom of Expression (A)
",WI10,20,"
5
","
40.0%
","
80.0%
","
5.30
","
C+ (2.60)
","
B- (2.94)
"
"Horwitz, Robert B","
COMM 114F - Law,Comm&Freedom of Expression (A)
",WI09,42,"
37
","
75.7%
","
86.5%
","
5.28
","
B (3.24)
","
B- (2.86)
"
"Horwitz, Robert B             ","
COMM 114F - Law,Comm&Freedom of Expression (A)
",FA07,53,"
42
","
100.0%
","
100.0%
","
5.36
","
B (3.24)
","
B- (2.80)
"
