Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Randolph, Edward Gordon","
COMM 120N - AMP: News Media Workshop (A)
",WI18,14,"
4
","
75.0%
","
75.0%
","
5.50
","
B+ (3.33)
","
N/A
"
"Kleske, Andrew","
COMM 120N - AMP: News Media Workshop (A)
",FA17,31,"
12
","
91.7%
","
83.3%
","
3.67
","
A- (3.92)
","
A- (3.75)
"
"Pixley, Tara-Lynne Simone","
COMM 120N - AMP: News Media Workshop (A)
",S217,25,"
7
","
100.0%
","
100.0%
","
5.64
","
B+ (3.67)
","
N/A
"
"Kleske, Andrew","
COMM 120N - AMP: News Media Workshop (A)
",FA16,39,"
11
","
100.0%
","
100.0%
","
4.32
","
A- (3.73)
","
A- (3.77)
"
"Pixley, Tara-Lynne Simone","
COMM 120N - AMP: News Media Workshop (A)
",S216,23,"
9
","
100.0%
","
100.0%
","
6.83
","
A- (3.86)
","
B+ (3.54)
"
"Gonzalez-Hernandez, David","
COMM 120N - AMP: News Media Workshop (A)
",SP16,32,"
8
","
87.5%
","
50.0%
","
2.75
","
A (4.00)
","
A- (3.75)
"
"Kleske, Andrew","
COMM 120N - AMP: News Media Workshop (A)
",SP15,51,"
20
","
85.0%
","
90.0%
","
3.50
","
A- (3.83)
","
A- (3.78)
"
"Kleske, Andrew","
COMM 120N - AMP: News Media Workshop (A)
",SP14,28,"
8
","
100.0%
","
100.0%
","
3.36
","
A- (3.71)
","
A- (3.83)
"
"Kleske, Andrew","
COMM 120N - AMP: News Media Workshop (A)
",FA12,25,"
8
","
100.0%
","
100.0%
","
3.36
","
B+ (3.67)
","
A- (3.72)
"
"Kleske, Andrew                     ","
COMM 120N - News Media Workshop            (A)
",WI12,30,"
14
","
92.9%
","
100.0%
","
3.50
","
A- (3.92)
","
A- (3.86)
"
"Calbreath, Dean                    ","
COMM 120N - News Media Workshop            (A)
",FA11,41,"
15
","
93.3%
","
93.3%
","
4.23
","
A- (3.92)
","
B+ (3.54)
"
"Kleske, Andrew                     ","
COMM 120N - News Media Workshop            (A)
",WI11,30,"
13
","
92.3%
","
92.3%
","
2.65
","
A- (3.83)
","
A- (3.81)
"
"Calbreath, Dean                    ","
COMM 120N - News Media Workshop            (A)
",FA10,36,"
16
","
87.5%
","
68.8%
","
4.10
","
A- (3.81)
","
B+ (3.62)
"
"Kleske, Andrew                     ","
COMM 120N - News Media Workshop            (A)
",WI10,28,"
9
","
88.9%
","
88.9%
","
3.39
","
A- (3.88)
","
A- (3.75)
"
"Calbreath, Dean","
COMM 120N - News Media Workshop            (A)
",FA09,39,"
24
","
91.7%
","
91.7%
","
3.75
","
B+ (3.63)
","
B+ (3.44)
"
"Kleske, Andrew","
COMM 120N - News Media Workshop            (A)
",WI09,29,"
28
","
100.0%
","
100.0%
","
3.79
","
A- (3.84)
","
B+ (3.68)
"
"Kleske, Andrew                ","
COMM 120N - News Media Workshop            (A)
",WI08,29,"
24
","
100.0%
","
91.7%
","
3.17
","
B+ (3.54)
","
B+ (3.67)
"
