Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Guarrasi, Ivana","
COMM 170 - Biography & Life Stories (A)
",WI21,29,"
6
","
100.0%
","
100.0%
","
3.83
","
A (4.00)
","
B+ (3.63)
"
"Guarrasi, Ivana","
COMM 170 - Biography & Life Stories (A)
",S219,16,"
9
","
100.0%
","
100.0%
","
4.28
","
A- (3.89)
","
N/A
"
"Guarrasi, Ivana","
COMM 170 - Biography & Life Stories (A)
",SP18,22,"
12
","
90.9%
","
100.0%
","
4.68
","
A- (3.70)
","
B+ (3.69)
"
"Campion, Camille E","
COMM 170 - Biography & Life Stories (A)
",FA16,37,"
11
","
81.8%
","
90.9%
","
4.86
","
B+ (3.50)
","
B+ (3.43)
"
"Campion, Camille E","
COMM 170 - Biography & Life Stories (A)
",WI16,76,"
30
","
79.3%
","
82.8%
","
5.05
","
B+ (3.38)
","
B (3.15)
"
"Goldwasser, Michele A.","
COMM 170 - Biography & Life Stories (A)
",FA14,65,"
27
","
88.0%
","
96.0%
","
4.08
","
B+ (3.58)
","
B+ (3.32)
"
"Johnson, Emma K.                   ","
COMM 170 - Biography & Life Stories       (A)
",SU10,15,"
6
","
83.3%
","
83.3%
","
4.17
","
A- (3.83)
","
N/A
"
"Goldwasser, Michele A.             ","
COMM 170 - Biography & Life Stories       (A)
",SU09,17,"
10
","
80.0%
","
80.0%
","
5.50
","
B+ (3.33)
","
N/A
"
"Kuchinskaya, Olga                  ","
COMM 170 - Biography & Life Stories       (A)
",SP09,33,"
23
","
91.3%
","
82.6%
","
3.98
","
B+ (3.43)
","
B+ (3.33)
"
"Kuchinskaya, Olga             ","
COMM 170 - Biography & Life Stories       (A)
",SP08,74,"
52
","
67.3%
","
65.4%
","
4.23
","
B+ (3.33)
","
B (3.04)
"
