Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Schmidt, Thomas Rainer","
COMM 196A - Honors Seminar/CommunicationI (A)
",FA22,11,"
3
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Schmidt, Thomas Rainer","
COMM 196A - Honors Seminar/CommunicationI (A)
",FA20,12,"
6
","
100.0%
","
100.0%
","
9.83
","
A- (3.80)
","
N/A
"
"Muria, Magali","
COMM 196A - Honors Seminar/Communication (A)
",WI19,12,"
7
","
83.3%
","
83.3%
","
12.83
","
B+ (3.50)
","
N/A
"
"Booker, Angela N","
COMM 196A - Honors Seminar/Communication (A)
",WI17,17,"
6
","
100.0%
","
100.0%
","
10.10
","
B+ (3.67)
","
N/A
"
"Alac, Morana","
COMM 196A - Honors Seminar/Communication (A)
",WI16,12,"
7
","
100.0%
","
100.0%
","
7.83
","
A (4.00)
","
N/A
"
"Cordoba Azcarate, Matilde","
COMM 196A - Honors Seminar/Communication (A)
",FA13,7,"
7
","
100.0%
","
100.0%
","
7.93
","
A- (3.83)
","
N/A
"
"Fields, Gary                       ","
COMM 196A - Honors Seminar/Communication   (B)
",FA11,9,"
3
","
100.0%
","
100.0%
","
10.50
","
B+ (3.50)
","
N/A
"
"Fields, Gary                       ","
COMM 196A - Honors Seminar/Communication   (A)
",FA10,10,"
6
","
100.0%
","
83.3%
","
10.83
","
A (4.00)
","
N/A
"
"Alac, Morana                       ","
COMM 196A - Honors Seminar/Communication   (A)
",FA09,15,"
13
","
92.3%
","
100.0%
","
8.96
","
A- (3.92)
","
N/A
"
"Vasquez, Olga A.              ","
COMM 196A - Honors Seminar/Communication   (A)
",FA07,7,"
6
","
83.3%
","
100.0%
","
10.83
","
B+ (3.50)
","
N/A
"
