Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Muria, Magali                      ","
COMT 175 - Adv Topics/Comm: Media Methods (A)
",FA10,36,"
16
","
62.5%
","
75.0%
","
4.38
","
B+ (3.69)
","
B (3.30)
"
"Anderson, Gary W                   ","
COMT 175 - Adv Topics/Comm: Media Methods (A)
",FA09,20,"
19
","
94.4%
","
94.4%
","
3.06
","
A- (3.72)
","
B (3.16)
"
"Vernon, Jenifer R                  ","
COMT 175 - Adv Topics/Comm: Media Methods (A)
",SU09,14,"
5
","
100.0%
","
100.0%
","
6.50
","
B+ (3.60)
","
N/A
"
"Laub, Linda L","
COMT 175 - Adv Topics/Comm: Media Methods (A)
",WI09,16,"
14
","
92.9%
","
64.3%
","
5.64
","
A- (3.85)
","
N/A
"
"Vernon, Jenifer R                  ","
COMT 175 - Adv Topics/Comm: Media Methods (A)
",SU08,17,"
15
","
100.0%
","
100.0%
","
4.77
","
A- (3.71)
","
N/A
"
"Laub, Linda L                 ","
COMT 175 - Adv Topics/Comm: Media Methods (A)
",WI08,17,"
9
","
100.0%
","
62.5%
","
5.39
","
A- (3.75)
","
N/A
"
"Cole, Michael                 ","
COMT 175 - Adv Topics/Comm: Media Methods (B)
",WI08,11,"
10
","
100.0%
","
100.0%
","
3.70
","
A- (3.90)
","
N/A
"
"Martinico, Daniel J           ","
COMT 175 - Adv Topics/Comm: Media Methods (A)
",FA07,15,"
10
","
100.0%
","
100.0%
","
4.30
","
B+ (3.60)
","
N/A
"
"Laub, Linda L                 ","
COMT 175 - Adv Topics/Comm: Media Methods (B)
",FA07,6,"
6
","
66.7%
","
66.7%
","
8.50
","
B+ (3.67)
","
N/A
"
"Judson, Marie R.              ","
COMT 175 - Adv Topics/Comm: Media Methods (A)
",SU07,13,"
12
","
100.0%
","
100.0%
","
3.83
","
B+ (3.58)
","
N/A
"
