Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Vianu, Victor Dan","
CSE 132A - Database System Principles (A)
",WI23,187,"
67
","
78.8%
","
77.3%
","
7.24
","
B (3.26)
","
B- (2.71)
"
"Deutsch, Alin Bernard","
CSE 132A - Database System Principles (A)
",FA22,182,"
51
","
89.8%
","
89.8%
","
6.26
","
B+ (3.49)
","
B+ (3.55)
"
"Vianu, Victor Dan","
CSE 132A - Database System Principles (A)
",WI22,185,"
69
","
85.3%
","
83.8%
","
7.24
","
B (3.13)
","
B (3.04)
"
"Vianu, Victor Dan","
CSE 132A - Database System Principles (A)
",FA21,183,"
72
","
88.6%
","
92.9%
","
6.59
","
B+ (3.43)
","
B (3.05)
"
"Vianu, Victor Dan","
CSE 132A - Database System Principles (A)
",WI21,167,"
48
","
78.3%
","
82.6%
","
6.07
","
B+ (3.63)
","
B+ (3.48)
"
"Vianu, Victor Dan","
CSE 132A - Database System Principles (A)
",FA20,175,"
51
","
92.0%
","
95.9%
","
6.38
","
B+ (3.60)
","
B (3.26)
"
"Vianu, Victor Dan","
CSE 132A - Database System Principles (A)
",WI20,147,"
54
","
84.9%
","
75.5%
","
6.05
","
B+ (3.42)
","
B (3.21)
"
"Deutsch, Alin Bernard","
CSE 132A - Database System Principles (A)
",FA19,156,"
38
","
86.1%
","
83.3%
","
5.17
","
B+ (3.45)
","
B- (2.96)
"
"Vianu, Victor Dan","
CSE 132A - Database System Principles (A)
",WI19,162,"
44
","
79.1%
","
74.4%
","
6.27
","
B (3.14)
","
B (3.13)
"
"Vianu, Victor Dan","
CSE 132A - Database System Principles (A)
",FA18,148,"
43
","
89.5%
","
81.6%
","
6.34
","
B (3.19)
","
B- (2.77)
"
"Vianu, Victor Dan","
CSE 132A - Database System Principles (A)
",WI18,168,"
145
","
74.8%
","
72.5%
","
5.81
","
B (3.07)
","
B+ (3.30)
"
"Deutsch, Alin Bernard","
CSE 132A - Database System Principles (A)
",FA17,131,"
86
","
72.6%
","
63.1%
","
6.60
","
B (3.04)
","
C+ (2.57)
"
"Chu, Isaac Y","
CSE 132A - Database System Principles (A)
",S117,94,"
24
","
95.2%
","
95.2%
","
6.98
","
B+ (3.57)
","
B+ (3.55)
"
"Vianu, Victor Dan","
CSE 132A - Database System Principles (B)
",WI17,186,"
62
","
84.5%
","
62.1%
","
5.76
","
B+ (3.33)
","
B (3.11)
"
"Vianu, Victor Dan","
CSE 132A - Database System Principles (A)
",FA16,239,"
81
","
69.6%
","
46.8%
","
6.24
","
B- (2.75)
","
B- (2.73)
"
"Chu, Isaac Y","
CSE 132A - Database System Principles (A)
",S116,90,"
18
","
100.0%
","
100.0%
","
6.38
","
B+ (3.65)
","
B+ (3.40)
"
"Vianu, Victor Dan","
CSE 132A - Database System Principles (A)
",WI16,331,"
130
","
80.6%
","
69.4%
","
6.22
","
B+ (3.34)
","
B- (2.71)
"
"Deutsch, Alin Bernard","
CSE 132A - Database System Principles (A)
",FA15,175,"
65
","
88.5%
","
68.9%
","
6.33
","
B (3.21)
","
B- (2.73)
"
"Vianu, Victor Dan","
CSE 132A - Database System Principles (A)
",WI15,186,"
71
","
77.3%
","
65.2%
","
6.82
","
B (3.24)
","
B (3.02)
"
"Vianu, Victor Dan","
CSE 132A - Database System Principles (A)
",FA14,189,"
65
","
83.1%
","
67.8%
","
6.67
","
B (3.22)
","
B- (2.84)
"
"Vianu, Victor Dan","
CSE 132A - Database System Principles (A)
",WI14,175,"
66
","
81.0%
","
69.8%
","
6.34
","
B (3.13)
","
B- (2.96)
"
"Deutsch, Alin Bernard","
CSE 132A - Database System Principles (A)
",FA13,66,"
24
","
77.3%
","
50.0%
","
6.32
","
B- (2.90)
","
B (3.15)
"
"Katsis, Ioannis","
CSE 132A - Database System Principles (A)
",S113,73,"
13
","
91.7%
","
91.7%
","
8.33
","
B (3.17)
","
B (3.13)
"
"Vianu, Victor Dan","
CSE 132A - Database System Principles (A)
",WI13,102,"
39
","
81.6%
","
78.9%
","
5.67
","
B (3.03)
","
B (3.04)
"
"Vianu, Victor Dan","
CSE 132A - Database System Principles (A)
",FA12,49,"
25
","
72.7%
","
45.5%
","
5.77
","
B (3.14)
","
B- (2.82)
"
