Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Eldon, John","
CSE 140L - Digital Systems Laboratory (A)
",SP23,231,"
69
","
78.3%
","
85.5%
","
6.80
","
A- (3.70)
","
B+ (3.49)
"
"Chin, Bryan W.","
CSE 140L - Digital Systems Laboratory (A)
",WI23,139,"
110
","
72.7%
","
88.2%
","
12.39
","
B+ (3.51)
","
B+ (3.45)
"
"Eldon, John","
CSE 140L - Digital Systems Laboratory (A)
",FA22,169,"
46
","
84.4%
","
88.9%
","
7.34
","
A- (3.82)
","
B+ (3.69)
"
"Orailoglu, Alex","
CSE 140L - Digital Systems Laboratory (B)
",FA22,16,"
6
","
83.3%
","
83.3%
","
15.30
","
B+ (3.50)
","
N/A
"
"Eldon, John","
CSE 140L - Digital Systems Laboratory (A)
",S122,77,"
31
","
76.0%
","
68.0%
","
8.17
","
B+ (3.54)
","
B+ (3.55)
"
"Chin, Bryan W.","
CSE 140L - Digital Systems Laboratory (A)
",SP22,115,"
75
","
86.7%
","
96.0%
","
8.01
","
A- (3.74)
","
B+ (3.57)
"
"Chin, Bryan W.","
CSE 140L - Digital Systems Laboratory (B)
",SP22,57,"
39
","
66.7%
","
97.4%
","
9.12
","
A- (3.85)
","
A- (3.83)
"
"Eldon, John","
CSE 140L - Digital Systems Laboratory (A)
",WI22,286,"
132
","
84.7%
","
88.7%
","
7.02
","
A- (3.71)
","
B+ (3.68)
"
"Eldon, John","
CSE 140L - Digital Systems Laboratory (A)
",FA21,201,"
99
","
81.7%
","
83.9%
","
6.43
","
B+ (3.69)
","
B+ (3.67)
"
"Orailoglu, Alex","
CSE 140L - Digital Systems Laboratory (B)
",FA21,15,"
10
","
60.0%
","
30.0%
","
14.30
","
C+ (2.50)
","
N/A
"
"Eldon, John","
CSE 140L - Digital Systems Laboratory (A)
",S121,66,"
16
","
100.0%
","
100.0%
","
8.75
","
A- (3.88)
","
B+ (3.64)
"
"Eldon, John","
CSE 140L - Digital Systems Laboratory (A)
",SP21,136,"
47
","
85.1%
","
78.7%
","
6.89
","
A (4.00)
","
A- (3.96)
"
"Eldon, John","
CSE 140L - Digital Systems Laboratory (B)
",SP21,131,"
44
","
80.5%
","
80.5%
","
6.05
","
A- (3.90)
","
A- (3.84)
"
"Eldon, John","
CSE 140L - Digital Systems Laboratory (A)
",WI21,164,"
61
","
81.4%
","
86.4%
","
7.50
","
A- (3.93)
","
A- (3.91)
"
"Eldon, John","
CSE 140L - Digital Systems Laboratory (B)
",WI21,173,"
79
","
76.7%
","
86.3%
","
7.77
","
A- (3.84)
","
A- (3.88)
"
"Orailoglu, Alex","
CSE 140L - Digital Systems Laboratory (A)
",FA20,48,"
21
","
38.1%
","
33.3%
","
15.93
","
B- (2.81)
","
C+ (2.65)
"
"Eldon, John","
CSE 140L - Digital Systems Laboratory (B)
",FA20,156,"
48
","
75.0%
","
91.7%
","
8.29
","
A- (3.81)
","
A- (3.89)
"
"Eldon, John","
CSE 140L - Digital Systems Laboratory (A)
",S120,86,"
13
","
76.9%
","
75.0%
","
10.50
","
A- (3.83)
","
A- (3.72)
"
"Chin, Bryan W.","
CSE 140L - Digital Systems Laboratory (B)
",S120,41,"
8
","
50.0%
","
75.0%
","
11.50
","
A (4.00)
","
A- (3.71)
"
"Eldon, John","
CSE 140L - Digital Systems Laboratory (A)
",SP20,286,"
93
","
64.4%
","
82.2%
","
9.86
","
A- (3.75)
","
A- (3.87)
"
"Tsaur, Lih-Feng","
CSE 140L - Digital Systems Laboratory (A)
",WI20,146,"
55
","
50.0%
","
53.8%
","
9.00
","
B+ (3.63)
","
B+ (3.66)
"
"Tsaur, Lih-Feng","
CSE 140L - Digital Systems Laboratory (B)
",WI20,136,"
58
","
63.0%
","
59.3%
","
7.59
","
B+ (3.55)
","
B+ (3.37)
"
"Eldon, John","
CSE 140L - Digital Systems Laboratory (A)
",FA19,129,"
41
","
56.1%
","
80.5%
","
7.91
","
A- (3.78)
","
A- (3.70)
"
"Eldon, John","
CSE 140L - Digital Systems Laboratory (A)
",S219,48,"
9
","
100.0%
","
100.0%
","
9.17
","
A (4.00)
","
B+ (3.35)
"
"Eldon, John","
CSE 140L - Digital Systems Laboratory (A)
",S119,75,"
20
","
88.9%
","
88.9%
","
9.17
","
A- (3.78)
","
B+ (3.53)
"
"Chin, Bryan W.","
CSE 140L - Digital Systems Laboratory (A)
",SP19,201,"
62
","
42.4%
","
68.4%
","
15.12
","
B (3.28)
","
B+ (3.51)
"
"Chin, Bryan W.","
CSE 140L - Digital Systems Laboratory (B)
",SP19,76,"
30
","
31.0%
","
48.3%
","
15.21
","
B (3.18)
","
B+ (3.51)
"
"Tsaur, Lih-Feng","
CSE 140L - Digital Systems Laboratory (C)
",SP19,74,"
24
","
21.7%
","
45.5%
","
14.50
","
C+ (2.68)
","
B (3.10)
"
"Orailoglu, Alex","
CSE 140L - Digital Systems Laboratory (A)
",WI19,35,"
16
","
46.2%
","
15.4%
","
17.21
","
B (3.21)
","
B- (2.79)
"
"Orailoglu, Alex","
CSE 140L - Digital Systems Laboratory (B)
",WI19,19,"
7
","
28.6%
","
28.6%
","
16.21
","
C- (1.71)
","
N/A
"
"Eldon, John","
CSE 140L - Digital Systems Laboratory (A)
",FA18,154,"
61
","
74.1%
","
71.9%
","
7.35
","
A- (3.80)
","
A- (3.78)
"
"Eldon, John","
CSE 140L - Digital Systems Laboratory (A)
",S218,36,"
11
","
100.0%
","
100.0%
","
10.68
","
B+ (3.45)
","
A- (3.72)
"
"Chu, Isaac Y","
CSE 140L - Digital Systems Laboratory (A)
",SP18,173,"
49
","
62.5%
","
80.9%
","
5.72
","
B+ (3.61)
","
B+ (3.66)
"
"Orailoglu, Alex","
CSE 140L - Digital Systems Laboratory (B)
",SP18,35,"
23
","
52.2%
","
43.5%
","
13.98
","
B- (2.96)
","
B (3.05)
"
"Chu, Isaac Y","
CSE 140L - Digital Systems Laboratory (B)
",WI18,148,"
59
","
64.2%
","
81.1%
","
3.93
","
B+ (3.62)
","
B+ (3.53)
"
"Orailoglu, Alex","
CSE 140L - Digital Systems Laboratory (A)
",FA17,24,"
7
","
57.1%
","
42.9%
","
10.79
","
C (2.14)
","
B (3.12)
"
"Imani, Mohsen","
CSE 140L - Digital Systems Laboratory (A)
",S217,58,"
50
","
96.0%
","
98.0%
","
6.79
","
A- (3.78)
","
B+ (3.54)
"
"Chu, Isaac Y","
CSE 140L - Digital Systems Laboratory (B)
",SP17,141,"
73
","
84.1%
","
92.8%
","
5.72
","
B+ (3.48)
","
B+ (3.49)
"
"Chu, Isaac Y","
CSE 140L - Digital Systems Laboratory (C)
",SP17,184,"
75
","
75.8%
","
92.4%
","
5.74
","
B+ (3.62)
","
B+ (3.49)
"
"Gupta, Rajesh K.","
CSE 140L - Digital Systems Laboratory (A)
",WI17,125,"
108
","
69.2%
","
66.4%
","
5.36
","
B+ (3.54)
","
B+ (3.63)
"
"Gupta, Rajesh K.","
CSE 140L - Digital Systems Laboratory (C)
",WI17,70,"
62
","
74.2%
","
67.7%
","
6.37
","
B+ (3.68)
","
B+ (3.63)
"
"Orailoglu, Alex","
CSE 140L - Digital Systems Laboratory (A)
",FA16,44,"
18
","
81.3%
","
62.5%
","
13.00
","
B+ (3.56)
","
C+ (2.53)
"
"Mercati, Pietro","
CSE 140L - Digital Systems Laboratory (A)
",S216,56,"
31
","
90.3%
","
100.0%
","
7.34
","
A- (3.81)
","
A- (3.71)
"
"Chu, Isaac Y","
CSE 140L - Digital Systems Laboratory (A)
",SP16,158,"
52
","
81.3%
","
95.8%
","
4.95
","
B+ (3.62)
","
B+ (3.48)
"
"Chu, Isaac Y","
CSE 140L - Digital Systems Laboratory (B)
",SP16,92,"
41
","
89.2%
","
94.6%
","
4.69
","
B+ (3.70)
","
B (3.17)
"
"Chu, Isaac Y","
CSE 140L - Digital Systems Laboratory (A)
",WI16,188,"
95
","
84.8%
","
95.7%
","
5.14
","
A- (3.70)
","
B+ (3.59)
"
"Chu, Isaac Y","
CSE 140L - Digital Systems Laboratory (B)
",WI16,175,"
97
","
77.7%
","
94.7%
","
6.06
","
A- (3.71)
","
B+ (3.59)
"
"Gayles, Eric S","
CSE 140L - Digital Systems Laboratory (A)
",FA15,182,"
76
","
77.0%
","
66.2%
","
4.09
","
B+ (3.53)
","
B+ (3.67)
"
"Gayles, Eric S","
CSE 140L - Digital Systems Laboratory (B)
",FA15,171,"
75
","
76.4%
","
68.1%
","
4.50
","
A- (3.79)
","
B+ (3.67)
"
"Chu, Isaac Y","
CSE 140L - Digital Systems Laboratory (A)
",S115,95,"
44
","
93.0%
","
86.0%
","
7.55
","
A- (3.75)
","
B+ (3.54)
"
"Gayles, Eric S","
CSE 140L - Digital Systems Laboratory (A)
",SP15,183,"
82
","
74.7%
","
74.7%
","
5.65
","
A- (3.78)
","
B+ (3.66)
"
"Chu, Isaac Y","
CSE 140L - Digital Systems Laboratory (B)
",SP15,190,"
89
","
72.3%
","
95.2%
","
5.13
","
B+ (3.60)
","
B+ (3.56)
"
"Gayles, Eric S","
CSE 140L - Digital Systems Laboratory (A)
",WI15,142,"
57
","
69.8%
","
67.9%
","
8.11
","
B+ (3.55)
","
A- (3.70)
"
"Chu, Isaac Y","
CSE 140L - Digital Systems Laboratory (B)
",WI15,139,"
62
","
88.3%
","
86.7%
","
5.76
","
A- (3.71)
","
B+ (3.51)
"
"Orailoglu, Alex","
CSE 140L - Digital Systems Laboratory (A)
",FA14,45,"
12
","
58.3%
","
33.3%
","
16.50
","
B (3.17)
","
B- (2.75)
"
"Kim, Choon","
CSE 140L - Digital Systems Laboratory (B)
",FA14,180,"
91
","
68.6%
","
50.0%
","
7.57
","
B+ (3.40)
","
B (3.30)
"
"Kim, Choon","
CSE 140L - Digital Systems Laboratory (A)
",SP14,214,"
101
","
78.3%
","
42.4%
","
8.77
","
B (3.13)
","
B- (2.77)
"
"Kim, Choon","
CSE 140L - Digital Systems Laboratory (B)
",SP14,176,"
82
","
65.0%
","
38.8%
","
9.01
","
B (3.16)
","
B- (2.77)
"
"Orailoglu, Alex","
CSE 140L - Digital Systems Laboratory (A)
",WI14,43,"
16
","
46.7%
","
26.7%
","
15.50
","
C+ (2.47)
","
C+ (2.38)
"
"Kim, Choon","
CSE 140L - Digital Systems Laboratory (A)
",FA13,186,"
79
","
81.8%
","
68.8%
","
8.10
","
B+ (3.38)
","
B- (2.91)
"
"Orailoglu, Alex","
CSE 140L - Digital Systems Laboratory (B)
",S213,15,"
4
","
66.7%
","
66.7%
","
15.17
","
B (3.00)
","
N/A
"
"Kim, Choon","
CSE 140L - Digital Systems Laboratory (A)
",SP13,157,"
69
","
80.6%
","
50.7%
","
9.15
","
B+ (3.47)
","
B (3.02)
"
"Orailoglu, Alex","
CSE 140L - Digital Systems Laboratory (A)
",WI13,25,"
9
","
66.7%
","
66.7%
","
7.25
","
B (3.00)
","
B- (2.76)
"
"Kim, Choon","
CSE 140L - Digital Systems Laboratory (A)
",FA12,167,"
54
","
92.2%
","
88.2%
","
6.54
","
A- (3.80)
","
B+ (3.43)
"
