Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Tullsen, Dean Michael","
CSE 148 - Adv Processor Arch Design Proj (A)
",SP23,17,"
7
","
85.7%
","
100.0%
","
7.64
","
B+ (3.33)
","
N/A
"
"Tullsen, Dean Michael","
CSE 148 - Adv Processor Arch Design Proj (A)
",SP22,15,"
4
","
100.0%
","
100.0%
","
11.00
","
A- (3.75)
","
N/A
"
"Tullsen, Dean Michael","
CSE 148 - Adv Processor Arch Design Proj (A)
",SP21,19,"
9
","
100.0%
","
100.0%
","
11.83
","
B+ (3.43)
","
N/A
"
"Tullsen, Dean Michael","
CSE 148 - Adv Processor Arch Design Proj (A)
",SP20,6,"
6
","
100.0%
","
100.0%
","
8.17
","
B+ (3.60)
","
N/A
"
"Tullsen, Dean Michael","
CSE 148 - Adv Processor Arch Design Proj (A)
",WI19,6,"
3
","
100.0%
","
100.0%
","
8.50
","
B+ (3.33)
","
N/A
"
"Tullsen, Dean Michael","
CSE 148 - Adv Processor Arch Design Proj (A)
",SP18,9,"
3
","
100.0%
","
100.0%
","
13.83
","
B+ (3.67)
","
N/A
"
"Tullsen, Dean Michael","
CSE 148 - Adv Processor Arch Design Proj (A)
",SP17,15,"
8
","
87.5%
","
100.0%
","
10.00
","
B (3.25)
","
N/A
"
"Tullsen, Dean Michael","
CSE 148 - Adv Processor Arch Design Proj (A)
",SP16,11,"
4
","
100.0%
","
100.0%
","
13.00
","
B (3.25)
","
N/A
"
"Tullsen, Dean Michael","
CSE 148 - Adv Processor Arch Design Proj (A)
",SP15,9,"
8
","
100.0%
","
100.0%
","
12.50
","
B+ (3.38)
","
N/A
"
"Tullsen, Dean Michael","
CSE 148 - Adv Processor Arch Design Proj (A)
",SP14,7,"
5
","
80.0%
","
80.0%
","
14.00
","
B+ (3.50)
","
N/A
"
"Tullsen, Dean Michael","
CSE 148 - Adv Processor Arch Design Proj (A)
",SP13,6,"
6
","
100.0%
","
100.0%
","
13.70
","
B (3.25)
","
N/A
"
"Tullsen, Dean Michael              ","
CSE 148 - Adv Processor Arch Design Proj (A)
",SP10,8,"
5
","
100.0%
","
80.0%
","
10.90
","
B+ (3.60)
","
N/A
"
"Taylor, Michael                    ","
CSE 148 - Adv Processor Arch Design Proj (A)
",SP09,8,"
8
","
100.0%
","
100.0%
","
15.50
","
A- (3.83)
","
N/A
"
"Tullsen, Dean Michael              ","
CSE 148 - Adv Processor Arch Design Proj (A)
",SP09,8,"
8
","
100.0%
","
100.0%
","
15.50
","
A- (3.83)
","
N/A
"
