Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Murillo Arnal, Ana Cristin","
CSE 8AL - Intro/Computer Science:JavaLab (A)
",WI14,63,"
35
","
87.9%
","
87.9%
","
5.19
","
A- (3.71)
","
B (3.10)
"
"Murillo Arnal, Ana Cristin","
CSE 8AL - Intro/Computer Science:JavaLab (B)
",WI14,62,"
35
","
91.4%
","
85.7%
","
4.75
","
A- (3.74)
","
B (3.10)
"
"Elkan, Charles Peter","
CSE 8AL - Intro/Computer Science:JavaLab (C)
",WI14,59,"
31
","
100.0%
","
96.8%
","
3.90
","
A- (3.72)
","
B (3.20)
"
"Murillo Arnal, Ana Cristin","
CSE 8AL - Intro/Computer Science:JavaLab (D)
",WI14,61,"
37
","
100.0%
","
90.6%
","
4.06
","
A- (3.84)
","
B (3.10)
"
"Murillo Arnal, Ana Cristin","
CSE 8AL - Intro/Computer Science:JavaLab (E)
",WI14,59,"
42
","
97.6%
","
88.1%
","
4.55
","
B+ (3.68)
","
B (3.10)
"
"Murillo Arnal, Ana Cristin","
CSE 8AL - Intro/Computer Science:JavaLab (F)
",WI14,50,"
23
","
95.7%
","
91.3%
","
4.33
","
B+ (3.59)
","
B (3.10)
"
"Shacham, Hovav","
CSE 8AL - Intro/Computer Science:JavaLab (A)
",FA13,54,"
30
","
92.9%
","
89.3%
","
2.07
","
B+ (3.65)
","
B+ (3.36)
"
"Alvarado, Christine J.","
CSE 8AL - Intro/Computer Science:JavaLab (B)
",FA13,58,"
46
","
97.7%
","
100.0%
","
3.64
","
A- (3.78)
","
B+ (3.40)
"
"Murillo Arnal, Ana Cristin","
CSE 8AL - Intro/Computer Science:JavaLab (C)
",FA13,55,"
45
","
93.0%
","
95.3%
","
3.80
","
B+ (3.58)
","
B (3.21)
"
"Graham, Ronald L","
CSE 8AL - Intro/Computer Science:JavaLab (D)
",FA13,66,"
48
","
91.5%
","
95.7%
","
3.38
","
A- (3.86)
","
B+ (3.54)
"
"Kastner, Ryan Charles","
CSE 8AL - Intro/Computer Science:JavaLab (E)
",FA13,60,"
52
","
100.0%
","
93.9%
","
2.80
","
A- (3.76)
","
B+ (3.46)
"
"Allos, Haytham Issa","
CSE 8AL - Intro/Computer Science:JavaLab (F)
",FA13,67,"
47
","
97.8%
","
95.7%
","
3.17
","
A- (3.87)
","
B+ (3.47)
"
"Lerner, Sorin","
CSE 8AL - Intro/Computer Science:JavaLab (G)
",FA13,39,"
31
","
96.7%
","
90.0%
","
2.77
","
A- (3.82)
","
B+ (3.37)
"
"Jhala, Ranjit","
CSE 8AL - Intro/Computer Science:JavaLab (A)
",WI13,56,"
33
","
78.8%
","
78.8%
","
3.34
","
B+ (3.33)
","
B- (2.96)
"
"Graham, Ronald L","
CSE 8AL - Intro/Computer Science:JavaLab (B)
",WI13,54,"
37
","
91.9%
","
89.2%
","
4.22
","
B+ (3.49)
","
B- (3.00)
"
"Gupta, Rajesh K.","
CSE 8AL - Intro/Computer Science:JavaLab (C)
",WI13,55,"
27
","
76.0%
","
72.0%
","
3.80
","
B+ (3.41)
","
B- (2.78)
"
"Elkan, Charles Peter","
CSE 8AL - Intro/Computer Science:JavaLab (D)
",WI13,53,"
32
","
93.8%
","
90.6%
","
3.15
","
B+ (3.57)
","
B (3.25)
"
"Gillespie, Gary N","
CSE 8AL - Intro/Computer Science:JavaLab (E)
",WI13,52,"
29
","
96.4%
","
85.7%
","
4.35
","
B+ (3.40)
","
B- (2.94)
"
"Gillespie, Gary N","
CSE 8AL - Intro/Computer Science:JavaLab (F)
",WI13,56,"
35
","
88.2%
","
73.5%
","
4.81
","
B+ (3.63)
","
B- (2.94)
"
"Lerner, Sorin","
CSE 8AL - Intro/Computer Science:JavaLab (A)
",FA12,59,"
44
","
91.9%
","
91.9%
","
2.62
","
B+ (3.64)
","
B (3.18)
"
"Gillespie, Gary N","
CSE 8AL - Intro/Computer Science:JavaLab (B)
",FA12,62,"
44
","
95.3%
","
90.7%
","
3.02
","
A- (3.76)
","
B (3.26)
"
"Jhala, Ranjit","
CSE 8AL - Intro/Computer Science:JavaLab (C)
",FA12,57,"
36
","
94.3%
","
97.1%
","
2.74
","
A- (3.79)
","
B (3.28)
"
"Gillespie, Gary N","
CSE 8AL - Intro/Computer Science:JavaLab (D)
",FA12,56,"
42
","
97.1%
","
91.4%
","
2.91
","
B+ (3.67)
","
B (3.26)
"
"Alvarado, Christine J.","
CSE 8AL - Intro/Computer Science:JavaLab (E)
",FA12,62,"
40
","
87.5%
","
97.5%
","
3.95
","
A- (3.71)
","
B (3.17)
"
"Lee, Cynthia Bailey","
CSE 8AL - Intro/Computer Science:JavaLab (F)
",FA12,63,"
50
","
95.8%
","
97.9%
","
2.89
","
A- (3.83)
","
B (3.23)
"
"Lee, Cynthia Bailey","
CSE 8AL - Intro/Computer Science:JavaLab (G)
",FA12,56,"
43
","
95.2%
","
95.2%
","
1.91
","
A- (3.83)
","
B (3.23)
"
"Kastner, Ryan Charles","
CSE 8AL - Intro/Computer Science:JavaLab (H)
",FA12,63,"
45
","
90.9%
","
93.2%
","
2.17
","
A- (3.76)
","
B+ (3.34)
"
"Chaudhuri, Kamalika                ","
CSE 8AL - Intro/Computer Science:JavaLab (A)
",WI12,63,"
32
","
96.8%
","
90.6%
","
3.21
","
B+ (3.40)
","
B (3.22)
"
"Gillespie, Gary N                  ","
CSE 8AL - Intro/Computer Science:JavaLab (B)
",WI12,53,"
22
","
100.0%
","
85.7%
","
3.55
","
B+ (3.33)
","
B (3.24)
"
"Simon, Elizabeth A                 ","
CSE 8AL - Intro/Computer Science:JavaLab (C)
",WI12,55,"
32
","
90.3%
","
100.0%
","
3.21
","
B+ (3.57)
","
B+ (3.46)
"
"Jhala, Ranjit                      ","
CSE 8AL - Intro/Computer Science:JavaLab (A)
",FA11,35,"
18
","
83.3%
","
77.8%
","
1.72
","
B+ (3.61)
","
B+ (3.61)
"
"Gillespie, Gary N                  ","
CSE 8AL - Intro/Computer Science:JavaLab (B)
",FA11,35,"
15
","
92.9%
","
92.9%
","
0.79
","
A- (3.87)
","
B (3.29)
"
"Kube, Paul Richard                 ","
CSE 8AL - Intro/Computer Science:JavaLab (C)
",FA11,39,"
18
","
94.4%
","
94.4%
","
2.97
","
B+ (3.67)
","
B+ (3.68)
"
"Ord, Richard                       ","
CSE 8AL - Intro/Computer Science:JavaLab (D)
",FA11,36,"
19
","
94.7%
","
100.0%
","
5.34
","
A- (3.78)
","
A- (3.73)
"
"Rhodes, Neil Campbell              ","
CSE 8AL - Intro/Computer Science:JavaLab (F)
",FA11,22,"
9
","
100.0%
","
100.0%
","
2.94
","
B+ (3.67)
","
B- (2.97)
"
"Rhodes, Neil Campbell              ","
CSE 8AL - Intro/Computer Science:JavaLab (G)
",FA11,36,"
17
","
100.0%
","
100.0%
","
3.56
","
B+ (3.59)
","
B- (2.97)
"
"Gillespie, Gary N                  ","
CSE 8AL - Intro/Computer Science:JavaLab (H)
",FA11,38,"
15
","
100.0%
","
100.0%
","
2.63
","
B+ (3.40)
","
B (3.29)
"
"Gillespie, Gary N                  ","
CSE 8AL - Intro/Computer Science:JavaLab (A)
",WI11,35,"
16
","
100.0%
","
80.0%
","
1.83
","
A- (3.75)
","
B+ (3.43)
"
"Lerner, Sorin                      ","
CSE 8AL - Intro/Computer Science:JavaLab (B)
",WI11,36,"
17
","
94.1%
","
94.1%
","
3.25
","
A- (3.88)
","
B+ (3.63)
"
"Ord, Richard                       ","
CSE 8AL - Intro/Computer Science:JavaLab (E)
",WI11,32,"
16
","
87.5%
","
100.0%
","
2.75
","
A- (3.92)
","
A- (3.77)
"
"Marx, Susan S                      ","
CSE 8AL - Intro/Computer Science:JavaLab (F)
",WI11,29,"
10
","
90.0%
","
100.0%
","
3.70
","
B+ (3.56)
","
B+ (3.58)
"
"Marx, Susan S                      ","
CSE 8AL - Intro/Computer Science:JavaLab (G)
",WI11,29,"
14
","
92.9%
","
92.9%
","
2.64
","
B+ (3.57)
","
B+ (3.58)
"
