Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Miranda, Gregory Joseph","
CSE 8B - Intro to Programming 2 (A)
",WI23,343,"
148
","
86.5%
","
70.3%
","
6.98
","
B+ (3.53)
","
B+ (3.41)
"
"Ochoa, Benjamin Lawrence","
CSE 8B - Intro to Programming 2 (A)
",FA22,120,"
25
","
68.0%
","
80.0%
","
7.94
","
B (3.12)
","
C (2.29)
"
"Ochoa, Benjamin Lawrence","
CSE 8B - Intro to Programming 2 (A)
",SP22,124,"
68
","
68.2%
","
56.1%
","
10.11
","
B- (2.97)
","
C (2.09)
"
"Miranda, Gregory Joseph","
CSE 8B - Intro to Programming 2 (A)
",WI22,306,"
134
","
92.2%
","
88.1%
","
8.48
","
B+ (3.46)
","
B+ (3.37)
"
"Elsherif, May Elhussein","
CSE 8B - Intro to Programming 2 (B)
",WI22,133,"
48
","
91.5%
","
85.1%
","
7.65
","
B+ (3.67)
","
B+ (3.34)
"
"Ochoa, Benjamin Lawrence","
CSE 8B - Intro to Programming 2 (A)
",FA21,125,"
90
","
74.2%
","
80.9%
","
8.86
","
B (3.18)
","
B- (2.79)
"
"Allos, Haytham Issa","
CSE 8B - Intro to Programming 2 (A)
",SP21,164,"
56
","
76.9%
","
71.2%
","
10.80
","
B (3.24)
","
B (3.12)
"
"Alvarado, Christine J.","
CSE 8B - Intro to Programming 2 (A)
",WI21,124,"
65
","
95.2%
","
93.4%
","
10.41
","
A- (3.82)
","
B+ (3.57)
"
"Alvarado, Christine J.","
CSE 8B - Intro to Programming 2 (B)
",WI21,121,"
62
","
95.1%
","
96.7%
","
9.84
","
A- (3.72)
","
B+ (3.49)
"
"Miranda, Gregory Joseph","
CSE 8B - Intro to Programming 2 (C)
",WI21,136,"
61
","
91.8%
","
86.7%
","
10.01
","
B+ (3.47)
","
B+ (3.55)
"
"Ochoa, Benjamin Lawrence","
CSE 8B - Intro to Programming 2 (A)
",FA20,154,"
73
","
91.7%
","
87.5%
","
9.25
","
B (3.24)
","
B- (2.94)
"
"Soosai Raj, Adalbert Geral","
CSE 8B - Intro/Computer Sci. Java (II) (A)
",SP20,102,"
64
","
92.1%
","
93.7%
","
11.56
","
B+ (3.59)
","
B+ (3.55)
"
"Soosai Raj, Adalbert Geral","
CSE 8B - Intro/Computer Sci. Java (II) (B)
",SP20,33,"
22
","
95.5%
","
100.0%
","
11.41
","
A- (3.70)
","
A- (3.78)
"
"Miranda, Gregory Joseph","
CSE 8B - Intro/Computer Sci. Java (II) (C)
",SP20,46,"
28
","
100.0%
","
92.9%
","
10.65
","
B+ (3.54)
","
B (3.11)
"
"Cao, Yingjun","
CSE 8B - Intro/Computer Sci. Java (II) (B)
",WI20,146,"
64
","
91.9%
","
96.8%
","
11.77
","
A- (3.73)
","
B+ (3.48)
"
"Soosai Raj, Adalbert Geral","
CSE 8B - Intro/Computer Sci. Java (II) (C)
",WI20,100,"
42
","
86.5%
","
91.9%
","
13.36
","
B+ (3.39)
","
B+ (3.48)
"
"Soosai Raj, Adalbert Geral","
CSE 8B - Intro/Computer Sci. Java (II) (D)
",WI20,160,"
78
","
91.8%
","
97.2%
","
12.47
","
B+ (3.46)
","
B+ (3.47)
"
"Cao, Yingjun","
CSE 8B - Intro/Computer Sci. Java (II) (A)
",FA19,106,"
76
","
81.6%
","
89.5%
","
14.13
","
B (3.20)
","
B- (2.87)
"
"Snoeren, Alex C.","
CSE 8B - Intro/Computer Sci. Java (II) (A)
",SP19,123,"
62
","
78.3%
","
94.9%
","
13.78
","
B- (2.91)
","
C+ (2.43)
"
