Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Solomon, Amanda Lee Albaniel","
DOC 1 - Diversity (A)
",FA22,269,"
254
","
90.9%
","
98.8%
","
3.87
","
A- (3.83)
","
A (4.00)
"
"Solomon, Amanda Lee Albaniel","
DOC 1 - Diversity (B)
",FA22,250,"
227
","
92.4%
","
98.7%
","
4.00
","
A- (3.88)
","
A (4.00)
"
"Strom, Megan C.","
DOC 1 - Diversity (C)
",FA22,248,"
222
","
87.8%
","
91.8%
","
3.88
","
A- (3.83)
","
A (4.00)
"
"Strom, Megan C.","
DOC 1 - Diversity (D)
",FA22,234,"
216
","
82.3%
","
91.5%
","
3.66
","
A- (3.88)
","
A (4.00)
"
"Johnston, Emily Ronay","
DOC 1 - Diversity (A)
",FA21,268,"
213
","
92.8%
","
98.5%
","
6.55
","
A- (3.77)
","
A- (3.71)
"
"Solomon, Amanda Lee Albaniel","
DOC 1 - Diversity (B)
",FA21,275,"
236
","
93.1%
","
99.1%
","
5.61
","
A- (3.89)
","
A- (3.81)
"
"Strom, Megan C.","
DOC 1 - Diversity (C)
",FA21,248,"
210
","
89.9%
","
97.6%
","
5.89
","
A- (3.81)
","
A- (3.70)
"
"Strom, Megan C.","
DOC 1 - Diversity (D)
",FA21,251,"
204
","
90.5%
","
96.0%
","
5.67
","
A- (3.84)
","
B+ (3.65)
"
"Johnston, Emily Ronay","
DOC 1 - Diversity (B)
",FA20,311,"
263
","
89.3%
","
98.1%
","
5.35
","
A- (3.73)
","
B+ (3.63)
"
"Strom, Megan C.","
DOC 1 - Diversity (C)
",FA20,309,"
248
","
87.9%
","
93.1%
","
5.21
","
A- (3.73)
","
B+ (3.66)
"
"Strom, Megan C.","
DOC 1 - Diversity (D)
",FA20,282,"
232
","
87.0%
","
95.2%
","
5.03
","
A- (3.80)
","
A- (3.73)
"
"Johnston, Emily Ronay","
DOC 1 - Diversity (A)
",S220,40,"
16
","
75.0%
","
87.5%
","
8.88
","
B+ (3.56)
","
B+ (3.34)
"
"Johnston, Emily Ronay","
DOC 1 - Diversity (A)
",FA19,250,"
240
","
74.6%
","
95.3%
","
4.35
","
B+ (3.45)
","
B+ (3.55)
"
"Deavenport, James Cary","
DOC 1 - Diversity (B)
",FA19,252,"
236
","
74.8%
","
85.4%
","
4.41
","
B+ (3.56)
","
B+ (3.64)
"
"Strom, Megan C.","
DOC 1 - Diversity (C)
",FA19,254,"
232
","
71.6%
","
82.3%
","
4.32
","
B+ (3.34)
","
B+ (3.47)
"
"Strom, Megan C.","
DOC 1 - Diversity (D)
",FA19,229,"
210
","
71.2%
","
82.6%
","
4.00
","
B+ (3.45)
","
B+ (3.37)
"
"Solomon, Amanda Lee Albaniel","
DOC 1 - Diversity (A)
",FA18,283,"
270
","
83.9%
","
96.6%
","
5.04
","
B (3.19)
","
B (3.25)
"
"Strom, Megan C.","
DOC 1 - Diversity (B)
",FA18,317,"
306
","
72.9%
","
86.2%
","
4.31
","
B (3.27)
","
B+ (3.32)
"
"Strom, Megan C.","
DOC 1 - Diversity (C)
",FA18,284,"
276
","
77.5%
","
91.9%
","
4.61
","
B (3.30)
","
B+ (3.32)
"
"Johnston, Emily Ronay","
DOC 1 - Diversity (D)
",FA18,127,"
122
","
81.1%
","
95.9%
","
4.43
","
B (3.29)
","
B+ (3.34)
"
"Ho, Lisa","
DOC 1 - Diversity (A)
",FA17,295,"
272
","
79.0%
","
92.6%
","
3.87
","
B (3.29)
","
B (3.28)
"
"Strom, Megan C.","
DOC 1 - Diversity (B)
",FA17,266,"
250
","
79.6%
","
90.2%
","
4.18
","
B+ (3.34)
","
B+ (3.35)
"
"Solomon, Amanda Lee Albaniel","
DOC 1 - Diversity (C)
",FA17,190,"
183
","
85.2%
","
94.5%
","
4.36
","
B (3.28)
","
B+ (3.35)
"
"Mariscal, George","
DOC 1 - Diversity (A)
",FA16,314,"
161
","
83.8%
","
97.3%
","
5.17
","
B (3.27)
","
B (3.23)
"
"Nguyen, Linh Thuy","
DOC 1 - Diversity (B)
",FA16,285,"
156
","
86.7%
","
90.0%
","
5.01
","
B (3.29)
","
B+ (3.37)
"
"Strom, Megan C.","
DOC 1 - Diversity (C)
",FA16,286,"
158
","
77.5%
","
88.7%
","
5.16
","
B (3.27)
","
B (3.27)
"
"Mariscal, George","
DOC 1 - Diversity (A)
",FA15,277,"
143
","
83.2%
","
96.4%
","
5.57
","
B+ (3.37)
","
B (3.25)
"
"Sanchez, Violeta A","
DOC 1 - Diversity (B)
",FA15,252,"
133
","
78.2%
","
71.8%
","
5.90
","
B+ (3.38)
","
B (3.26)
"
"Strom, Megan C.","
DOC 1 - Diversity (C)
",FA15,248,"
149
","
76.1%
","
77.5%
","
5.14
","
B+ (3.38)
","
B (3.19)
"
"Gagnon, Jeffrey C","
DOC 1 - Diversity (A)
",FA14,218,"
115
","
84.6%
","
99.0%
","
5.63
","
B (3.17)
","
B (3.11)
"
"Mariscal, George","
DOC 1 - Diversity (B)
",FA14,270,"
161
","
77.4%
","
93.2%
","
5.30
","
B+ (3.30)
","
B (3.16)
"
"Power, Jade Yukana","
DOC 1 - Diversity (C)
",FA14,158,"
114
","
71.8%
","
67.3%
","
5.04
","
B (3.26)
","
B (3.16)
"
"Mariscal, George","
DOC 1 - Diversity (B)
",FA13,361,"
222
","
78.7%
","
95.8%
","
5.21
","
B (3.27)
","
B (3.16)
"
"Gagnon, Jeffrey C","
DOC 1 - Diversity (D)
",FA13,327,"
189
","
79.0%
","
96.1%
","
4.96
","
B (3.26)
","
B (3.20)
"
"Abrajano, Marisa","
DOC 1 - Diversity (A)
",FA12,225,"
138
","
73.8%
","
63.1%
","
4.33
","
B (3.29)
","
B (3.04)
"
"Mariscal, George","
DOC 1 - Diversity (B)
",FA12,318,"
190
","
85.1%
","
96.6%
","
5.42
","
B (3.24)
","
B (3.16)
"
"Mariscal, George","
DOC 1 - Diversity (C)
",FA12,90,"
63
","
92.1%
","
100.0%
","
5.02
","
B+ (3.58)
","
B (3.16)
"
"Mariscal, George                   ","
DOC 1 - Diversity                      (A)
",FA10,306,"
249
","
90.2%
","
98.0%
","
6.69
","
B+ (3.30)
","
B (3.11)
"
"Monteon, Michael P.                ","
DOC 1 - Diversity                      (B)
",FA10,222,"
165
","
74.2%
","
54.0%
","
5.99
","
B (3.29)
","
B- (2.99)
"
"Gilson, Nancy                      ","
DOC 1 - Diversity                      (A)
",FA09,212,"
161
","
64.6%
","
78.0%
","
5.93
","
B (3.05)
","
B- (2.93)
"
"Monteon, Michael P.                ","
DOC 1 - Diversity                      (B)
",FA09,163,"
105
","
57.1%
","
56.2%
","
4.98
","
B (3.15)
","
B- (2.94)
"
"Mariscal, George                   ","
DOC 1 - Diversity                      (C)
",FA09,237,"
208
","
82.0%
","
98.5%
","
5.05
","
B+ (3.42)
","
B (3.23)
"
"Gilson, Nancy                      ","
DOC 1 - Diversity                      (A)
",FA08,265,"
191
","
78.9%
","
91.1%
","
5.40
","
B+ (3.36)
","
B+ (3.30)
"
"Klatch, Rebecca                    ","
DOC 1 - Diversity                      (B)
",FA08,257,"
182
","
70.1%
","
88.8%
","
5.48
","
B+ (3.37)
","
B (3.21)
"
"Harris, Chad V                     ","
DOC 1 - Diversity                      (C)
",FA08,246,"
174
","
68.6%
","
60.6%
","
4.81
","
B+ (3.32)
","
B (3.24)
"
"Gilson, Nancy                 ","
DOC 1 - Diversity                      (A)
",FA07,272,"
232
","
75.1%
","
93.9%
","
6.02
","
B+ (3.31)
","
B (3.19)
"
"Wimberley, Laura Healy        ","
DOC 1 - Diversity                      (B)
",FA07,241,"
203
","
64.3%
","
59.0%
","
5.43
","
B (3.29)
","
B (3.22)
"
"Ta, Lynn M.","
DOC 1 - Diversity                      (C)
",FA07,193,"
158
","
77.9%
","
94.2%
","
5.44
","
B+ (3.47)
","
B+ (3.34)
"
