Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Pass, Natalye Joann","
DOC 100D - Promises&Contradictions/USCult (A)
",SP23,23,"
9
","
100.0%
","
100.0%
","
8.06
","
A- (3.71)
","
A- (3.86)
"
"Pass, Natalye Joann","
DOC 100D - Promises&Contradictions/USCult (B)
",SP23,22,"
5
","
80.0%
","
100.0%
","
6.10
","
B+ (3.50)
","
B (3.18)
"
"Pass, Natalye Joann","
DOC 100D - Promises&Contradictions/USCult (A)
",WI23,21,"
7
","
100.0%
","
100.0%
","
7.07
","
A- (3.83)
","
B+ (3.34)
"
"Pass, Natalye Joann","
DOC 100D - Promises&Contradictions/USCult (B)
",WI23,24,"
7
","
83.3%
","
100.0%
","
8.50
","
B (3.25)
","
B+ (3.40)
"
"Pass, Natalye Joann","
DOC 100D - Promises&Contradictions/USCult (B)
",FA22,26,"
11
","
72.7%
","
90.9%
","
8.50
","
A- (3.80)
","
B+ (3.57)
"
"Pass, Natalye Joann","
DOC 100D - Promises&Contradictions/USCult (C)
",FA22,23,"
11
","
100.0%
","
100.0%
","
10.14
","
B+ (3.64)
","
B+ (3.43)
"
"Pass, Natalye Joann","
DOC 100D - Promises&Contradictions/USCult (A)
",SP22,18,"
17
","
94.1%
","
94.1%
","
6.74
","
B+ (3.50)
","
N/A
"
"Pass, Natalye Joann","
DOC 100D - Promises&Contradictions/USCult (B)
",SP22,15,"
13
","
84.6%
","
100.0%
","
7.42
","
A- (3.77)
","
N/A
"
"Pass, Natalye Joann","
DOC 100D - Promises&Contradictions/USCult (C)
",SP22,12,"
10
","
90.0%
","
90.0%
","
9.30
","
B+ (3.44)
","
N/A
"
"Pass, Natalye Joann","
DOC 100D - Promises&Contradictions/USCult (A)
",WI22,16,"
7
","
42.9%
","
57.1%
","
11.64
","
B (3.14)
","
N/A
"
"Pass, Natalye Joann","
DOC 100D - Promises&Contradictions/USCult (B)
",WI22,13,"
5
","
80.0%
","
80.0%
","
11.30
","
B+ (3.60)
","
N/A
"
"Pass, Natalye Joann","
DOC 100D - Promises&Contradictions/USCult (C)
",WI22,15,"
4
","
75.0%
","
75.0%
","
14.50
","
A- (3.75)
","
N/A
"
"Pass, Natalye Joann","
DOC 100D - Promises&Contradictions/USCult (A)
",FA21,21,"
16
","
68.8%
","
87.5%
","
9.63
","
B (3.17)
","
B- (2.91)
"
"Pass, Natalye Joann","
DOC 100D - Promises&Contradictions/USCult (B)
",FA21,17,"
11
","
80.0%
","
80.0%
","
10.50
","
A- (3.70)
","
N/A
"
"Pass, Natalye Joann","
DOC 100D - Promises&Contradictions/USCult (C)
",FA21,15,"
9
","
55.6%
","
77.8%
","
11.17
","
B+ (3.56)
","
N/A
"
"Pass, Natalye Joann","
DOC 100D - Promises&Contradictions/USCult (A)
",SP21,18,"
13
","
84.6%
","
100.0%
","
9.27
","
A- (3.75)
","
N/A
"
"Pass, Natalye Joann","
DOC 100D - Promises&Contradictions/USCult (B)
",SP21,19,"
12
","
83.3%
","
91.7%
","
7.67
","
B (3.25)
","
N/A
"
