Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Johnston, Emily Ronay","
DOC 2 - Justice (A)
",WI23,251,"
214
","
84.8%
","
95.2%
","
3.48
","
A- (3.91)
","
A- (3.83)
"
"Solomon, Amanda Lee Albaniel","
DOC 2 - Justice (B)
",WI23,251,"
221
","
89.0%
","
97.7%
","
3.88
","
A- (3.94)
","
A- (3.92)
"
"Strom, Megan C.","
DOC 2 - Justice (C)
",WI23,233,"
219
","
85.0%
","
93.4%
","
4.19
","
A- (3.93)
","
A- (3.84)
"
"Strom, Megan C.","
DOC 2 - Justice (D)
",WI23,247,"
220
","
84.3%
","
94.0%
","
3.68
","
A- (3.86)
","
A- (3.74)
"
"Johnston, Emily Ronay","
DOC 2 - Justice (A)
",WI22,277,"
259
","
91.8%
","
99.6%
","
6.39
","
A- (3.86)
","
A- (3.82)
"
"Solomon, Amanda Lee Albaniel","
DOC 2 - Justice (B)
",WI22,272,"
251
","
92.8%
","
99.2%
","
5.98
","
A- (3.88)
","
A- (3.85)
"
"Strom, Megan C.","
DOC 2 - Justice (C)
",WI22,241,"
224
","
86.1%
","
97.8%
","
5.97
","
A- (3.83)
","
A- (3.71)
"
"Strom, Megan C.","
DOC 2 - Justice (D)
",WI22,245,"
217
","
90.8%
","
99.1%
","
6.21
","
A- (3.84)
","
A- (3.74)
"
"Strom, Megan C.","
DOC 2 - Justice (A)
",WI21,307,"
262
","
78.9%
","
95.8%
","
4.75
","
B+ (3.60)
","
B+ (3.55)
"
"Johnston, Emily Ronay","
DOC 2 - Justice (B)
",WI21,335,"
304
","
83.2%
","
97.0%
","
5.22
","
B+ (3.65)
","
A- (3.74)
"
"Strom, Megan C.","
DOC 2 - Justice (C)
",WI21,256,"
242
","
81.3%
","
95.4%
","
4.68
","
A- (3.71)
","
A- (3.70)
"
"Strom, Megan C.","
DOC 2 - Justice (A)
",WI20,241,"
179
","
70.3%
","
88.0%
","
4.35
","
B+ (3.49)
","
B+ (3.58)
"
"Strom, Megan C.","
DOC 2 - Justice (B)
",WI20,249,"
187
","
79.0%
","
90.3%
","
4.54
","
B+ (3.57)
","
B+ (3.62)
"
"Solomon, Amanda Lee Albaniel","
DOC 2 - Justice (C)
",WI20,247,"
220
","
72.1%
","
93.0%
","
4.93
","
B+ (3.35)
","
B+ (3.55)
"
"Johnston, Emily Ronay","
DOC 2 - Justice (D)
",WI20,241,"
193
","
76.6%
","
94.2%
","
4.44
","
B+ (3.35)
","
B+ (3.45)
"
"Johnston, Emily Ronay","
DOC 2 - Justice (A)
",WI19,269,"
259
","
72.1%
","
94.5%
","
4.66
","
B (3.11)
","
B (3.21)
"
"Solomon, Amanda Lee Albaniel","
DOC 2 - Justice (B)
",WI19,283,"
270
","
78.5%
","
94.4%
","
4.88
","
B (3.24)
","
B (3.29)
"
"Strom, Megan C.","
DOC 2 - Justice (C)
",WI19,277,"
263
","
70.2%
","
81.3%
","
4.88
","
B (3.28)
","
B (3.24)
"
"Strom, Megan C.","
DOC 2 - Justice (D)
",WI19,214,"
205
","
74.6%
","
79.0%
","
5.33
","
B (3.16)
","
B (3.24)
"
"Solomon, Amanda Lee Albaniel","
DOC 2 - Justice (A)
",WI18,294,"
253
","
78.6%
","
94.4%
","
4.48
","
B+ (3.34)
","
B+ (3.40)
"
"Strom, Megan C.","
DOC 2 - Justice (B)
",WI18,264,"
247
","
78.5%
","
91.5%
","
4.67
","
B+ (3.32)
","
B+ (3.36)
"
"Ho, Lisa","
DOC 2 - Justice (C)
",WI18,252,"
221
","
68.9%
","
90.0%
","
4.26
","
B+ (3.30)
","
B+ (3.39)
"
