Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Smarr, Benjamin","
DSC 190 - Topics in Data Science (B)
",SP23,7,"
3
","
100.0%
","
100.0%
","
4.50
","
B+ (3.67)
","
N/A
"
"Smarr, Benjamin","
DSC 190 - Topics in Data Science (B)
",WI23,13,"
13
","
100.0%
","
100.0%
","
2.96
","
A- (3.92)
","
N/A
"
"Mishne, Gal","
DSC 190 - Topics in Data Science (A)
",FA22,17,"
5
","
75.0%
","
75.0%
","
9.50
","
A (4.00)
","
N/A
"
"Silberman, Jack","
DSC 190 - Topics in Data Science (B)
",FA22,17,"
4
","
25.0%
","
50.0%
","
8.50
","
A- (3.75)
","
N/A
"
"Kolovos, Alexandros","
DSC 190 - Topics in Data Science (C)
",FA22,43,"
10
","
100.0%
","
87.5%
","
4.28
","
A- (3.89)
","
A- (3.93)
"
"Eldridge, Justin Matthew","
DSC 190 - Topics in Data Science (A)
",SP22,150,"
55
","
94.2%
","
94.1%
","
5.87
","
B+ (3.69)
","
B (3.26)
"
"Smarr, Benjamin","
DSC 190 - Topics in Data Science (B)
",SP22,10,"
7
","
100.0%
","
100.0%
","
4.17
","
B+ (3.40)
","
N/A
"
"Saha, Barna","
DSC 190 - Topics in Data Science (C)
",SP22,20,"
3
","
66.7%
","
66.7%
","
9.17
","
A (4.00)
","
B+ (3.65)
"
"Silberman, Jack","
DSC 190 - Topics in Data Science (D)
",SP22,20,"
5
","
60.0%
","
60.0%
","
14.10
","
A (4.00)
","
A- (3.94)
"
"Shang, Jingbo","
DSC 190 - Topics in Data Science (A)
",WI22,30,"
17
","
100.0%
","
100.0%
","
8.74
","
A- (3.75)
","
A- (3.82)
"
"Eldridge, Justin Matthew","
DSC 190 - Topics in Data Science (B)
",WI22,29,"
11
","
100.0%
","
100.0%
","
5.50
","
A (4.00)
","
A- (3.78)
"
"Smarr, Benjamin","
DSC 190 - Topics in Data Science (C)
",WI22,19,"
16
","
87.5%
","
93.8%
","
3.25
","
B+ (3.67)
","
N/A
"
"Silberman, Jack","
DSC 190 - Topics in Data Science (A)
",FA21,21,"
11
","
90.9%
","
80.0%
","
11.59
","
A- (3.82)
","
A (4.00)
"
"Hu, Zhiting","
DSC 190 - Topics in Data Science (B)
",FA21,9,"
5
","
100.0%
","
100.0%
","
8.90
","
A- (3.80)
","
N/A
"
"Eldridge, Justin Matthew","
DSC 190 - Topics in Data Science (A)
",SP21,71,"
29
","
100.0%
","
100.0%
","
4.36
","
A- (3.78)
","
A- (3.70)
"
"Shang, Jingbo","
DSC 190 - Topics in Data Science (A)
",WI21,28,"
13
","
83.3%
","
83.3%
","
6.04
","
A- (3.75)
","
A- (3.84)
"
"Eldridge, Justin Matthew","
DSC 190 - Topics in Data Science (B)
",WI21,28,"
15
","
100.0%
","
100.0%
","
5.36
","
A- (3.79)
","
A- (3.82)
"
"Mazumdar, Arya","
DSC 190 - Topics in Data Science (C)
",WI21,5,"
5
","
100.0%
","
100.0%
","
5.30
","
A- (3.80)
","
N/A
"
"Silberman, Jack","
DSC 190 - Topics in Data Science (A)
",FA20,16,"
6
","
100.0%
","
100.0%
","
12.10
","
B (3.20)
","
N/A
"
"Kolovos, Alexandros","
DSC 190 - Topics in Data Science (B)
",FA20,25,"
9
","
100.0%
","
100.0%
","
3.39
","
A (4.00)
","
A- (3.98)
"
"Miller, Timothy E","
DSC 190 - Topics in Data Science (B)
",FA20,25,"
9
","
100.0%
","
100.0%
","
3.39
","
A (4.00)
","
A- (3.98)
"
"Shang, Jingbo","
DSC 190 - Topics in Data Science (A)
",SP20,123,"
42
","
92.1%
","
92.1%
","
7.08
","
A- (3.79)
","
A- (3.90)
"
"Lerner, Ian Amihay","
DSC 190 - Topics in Data Science (B)
",SP20,35,"
7
","
85.7%
","
100.0%
","
5.64
","
B+ (3.67)
","
A- (3.95)
"
