Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Mishne, Gal","
DSC 40A - Theor Fndtns of Data Sci I (A)
",WI23,92,"
86
","
79.8%
","
84.5%
","
8.03
","
B (3.15)
","
B (3.05)
"
"Roy, Abhishek","
DSC 40A - Theor Fndtns of Data Sci I (B)
",WI23,36,"
31
","
76.7%
","
73.3%
","
9.50
","
B+ (3.40)
","
B (3.16)
"
"Hy, Truong Son","
DSC 40A - Theor Fndtns of Data Sci I (A)
",FA22,108,"
100
","
84.0%
","
60.6%
","
7.80
","
B+ (3.34)
","
B (3.20)
"
"Soleymani, Mahdi","
DSC 40A - Theor Fndtns of Data Sci I (B)
",FA22,96,"
83
","
86.7%
","
73.5%
","
7.33
","
B+ (3.49)
","
B+ (3.36)
"
"Ma, Yian","
DSC 40A - Theor Fndtns of Data Sci I (A)
",SP22,100,"
39
","
73.7%
","
63.2%
","
9.47
","
B (3.06)
","
B (3.13)
"
"Tiefenbruck, Janine LoBue","
DSC 40A - Theor Fndtns of Data Sci I (A)
",WI22,66,"
21
","
85.7%
","
85.7%
","
7.90
","
B (3.11)
","
B- (2.94)
"
"Tiefenbruck, Janine LoBue","
DSC 40A - Theor Fndtns of Data Sci I (B)
",WI22,65,"
20
","
73.7%
","
78.9%
","
9.34
","
B (3.06)
","
B- (2.73)
"
"Rampure, Suraj","
DSC 40A - Theor Fndtns of Data Sci I (A)
",FA21,136,"
124
","
96.0%
","
100.0%
","
7.33
","
B+ (3.56)
","
B+ (3.37)
"
"Tiefenbruck, Janine LoBue","
DSC 40A - Theor Fndtns of Data Sci I (A)
",SP21,48,"
21
","
76.2%
","
75.0%
","
11.26
","
B (3.08)
","
B+ (3.47)
"
"Tiefenbruck, Janine LoBue","
DSC 40A - Theor Fndtns of Data Sci I (B)
",SP21,45,"
10
","
77.8%
","
77.8%
","
9.70
","
B+ (3.38)
","
B+ (3.40)
"
"Mishne, Gal","
DSC 40A - Theor Fndtns of Data Sci I (A)
",WI21,44,"
34
","
88.2%
","
79.4%
","
10.15
","
B (3.24)
","
B (3.06)
"
"Tiefenbruck, Janine LoBue","
DSC 40A - Theor Fndtns of Data Sci I (A)
",FA20,46,"
22
","
81.0%
","
81.0%
","
11.64
","
B+ (3.52)
","
B (3.16)
"
"Tiefenbruck, Janine LoBue","
DSC 40A - Theor Fndtns of Data Sci I (B)
",FA20,49,"
18
","
76.5%
","
76.5%
","
11.21
","
B (3.29)
","
B (3.26)
"
"Ma, Yian","
DSC 40A - Theor Fndtns of Data Sci I (C)
",FA20,42,"
14
","
83.3%
","
66.7%
","
11.33
","
B (3.10)
","
B (3.04)
"
"Tiefenbruck, Janine LoBue","
DSC 40A - Theor Fndtns of Data Sci I (A)
",SP20,60,"
15
","
80.0%
","
100.0%
","
6.10
","
B+ (3.30)
","
B (3.27)
"
"Tiefenbruck, Janine LoBue","
DSC 40A - Theor Fndtns of Data Sci I (B)
",SP20,43,"
24
","
91.7%
","
87.5%
","
8.08
","
B+ (3.41)
","
B+ (3.50)
"
"Eldridge, Justin Matthew","
DSC 40A - Theor Fndtns of Data Sci I (A)
",WI20,99,"
40
","
89.5%
","
100.0%
","
5.58
","
B (3.29)
","
B+ (3.53)
"
"Eldridge, Justin Matthew","
DSC 40A - Theor Fndtns of Data Sci I (A)
",FA19,114,"
53
","
84.0%
","
92.0%
","
7.66
","
B (3.06)
","
B- (2.80)
"
"Quer, Giorgio","
DSC 40A - Theor Fndtns of Data Sci I (A)
",SP19,73,"
37
","
85.3%
","
84.8%
","
8.85
","
B (3.24)
","
B- (2.89)
"
"Tiefenbruck, Janine LoBue","
DSC 40A - Theor Fndtns of Data Sci I (A)
",WI19,64,"
28
","
92.0%
","
96.0%
","
8.17
","
B (3.09)
","
B- (2.81)
"
"Tiefenbruck, Janine LoBue","
DSC 40A - Theor Fndtns of Data Sci I (B)
",WI19,49,"
28
","
89.3%
","
96.4%
","
7.50
","
B+ (3.36)
","
B- (2.81)
"
"Tiefenbruck, Janine LoBue","
DSC 40A - Theor Fndtns of Data Sci I (A)
",FA18,64,"
36
","
91.2%
","
100.0%
","
7.53
","
B (3.29)
","
B- (2.91)
"
"Tiefenbruck, Janine LoBue","
DSC 40A - Theor Fndtns of Data Sci I (C)
",FA18,30,"
14
","
100.0%
","
100.0%
","
8.79
","
B (3.29)
","
B- (2.91)
"
