Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Wang, Yusu","
DSC 40B - Theor Fndtns of Data Sci II (A)
",SP23,73,"
32
","
100.0%
","
96.7%
","
5.70
","
B+ (3.65)
","
B+ (3.32)
"
"Eldridge, Justin Matthew","
DSC 40B - Theor Fndtns of Data Sci II (A)
",WI23,120,"
63
","
96.7%
","
100.0%
","
6.32
","
B+ (3.57)
","
B+ (3.34)
"
"Wang, Yusu","
DSC 40B - Theor Fndtns of Data Sci II (B)
",WI23,42,"
25
","
92.0%
","
84.0%
","
5.30
","
A- (3.83)
","
B+ (3.32)
"
"Eldridge, Justin Matthew","
DSC 40B - Theor Fndtns of Data Sci II (A)
",FA22,74,"
21
","
100.0%
","
100.0%
","
7.03
","
B+ (3.50)
","
B+ (3.34)
"
"Mazumdar, Arya","
DSC 40B - Theor Fndtns of Data Sci II (A)
",SP22,85,"
41
","
74.4%
","
59.0%
","
5.55
","
B (3.18)
","
B (3.27)
"
"Eldridge, Justin Matthew","
DSC 40B - Theor Fndtns of Data Sci II (A)
",WI22,122,"
82
","
97.5%
","
100.0%
","
5.66
","
B+ (3.61)
","
B+ (3.46)
"
"Eldridge, Justin Matthew","
DSC 40B - Theor Fndtns of Data Sci II (A)
",FA21,70,"
52
","
96.2%
","
100.0%
","
6.35
","
B+ (3.68)
","
B+ (3.42)
"
"Wang, Yusu","
DSC 40B - Theor Fndtns of Data Sci II (B)
",FA21,13,"
5
","
100.0%
","
100.0%
","
7.70
","
B+ (3.50)
","
N/A
"
"Mazumdar, Arya","
DSC 40B - Theor Fndtns of Data Sci II (A)
",SP21,57,"
24
","
100.0%
","
87.0%
","
5.98
","
B+ (3.61)
","
B+ (3.65)
"
"Wang, Yusu","
DSC 40B - Theor Fndtns of Data Sci II (A)
",SP21,57,"
24
","
100.0%
","
87.0%
","
5.98
","
B+ (3.61)
","
B+ (3.65)
"
"Eldridge, Justin Matthew","
DSC 40B - Theor Fndtns of Data Sci II (A)
",WI21,80,"
62
","
96.8%
","
98.4%
","
6.34
","
B+ (3.67)
","
A- (3.73)
"
"Wang, Yusu","
DSC 40B - Theor Fndtns of Data Sci II (B)
",WI21,40,"
27
","
100.0%
","
100.0%
","
5.50
","
A- (3.92)
","
B+ (3.69)
"
"Eldridge, Justin Matthew","
DSC 40B - Theor Fndtns of Data Sci II (A)
",FA20,77,"
27
","
96.0%
","
100.0%
","
5.86
","
A- (3.75)
","
B+ (3.46)
"
"Eldridge, Justin Matthew","
DSC 40B - Theor Fndtns of Data Sci II (A)
",SP20,98,"
39
","
94.6%
","
100.0%
","
6.24
","
A- (3.80)
","
B+ (3.68)
"
"Tiefenbruck, Janine LoBue","
DSC 40B - Theor Fndtns of Data Sci II (A)
",WI20,57,"
18
","
100.0%
","
100.0%
","
6.06
","
B+ (3.61)
","
B- (2.94)
"
"Tiefenbruck, Janine LoBue","
DSC 40B - Theor Fndtns of Data Sci II (B)
",WI20,37,"
12
","
80.0%
","
90.0%
","
5.10
","
B (3.25)
","
B (3.01)
"
"Eldridge, Justin Matthew","
DSC 40B - Theor Fndtns of Data Sci II (A)
",FA19,52,"
17
","
100.0%
","
100.0%
","
8.26
","
B+ (3.44)
","
B- (2.83)
"
"Eldridge, Justin Matthew","
DSC 40B - Theor Fndtns of Data Sci II (A)
",S119,33,"
10
","
100.0%
","
100.0%
","
6.90
","
B+ (3.30)
","
B (3.09)
"
"Eldridge, Justin Matthew","
DSC 40B - Theor Fndtns of Data Sci II (A)
",SP19,86,"
26
","
88.5%
","
92.3%
","
6.27
","
B (3.04)
","
B (3.26)
"
"Eldridge, Justin Matthew","
DSC 40B - Theor Fndtns of Data Sci II (B)
",SP19,23,"
7
","
83.3%
","
100.0%
","
6.17
","
B+ (3.33)
","
B (3.26)
"
"Eldridge, Justin Matthew","
DSC 40B - Theor Fndtns of Data Sci II (A)
",WI19,82,"
31
","
64.0%
","
84.0%
","
7.46
","
B- (2.96)
","
B (3.12)
"
"Eldridge, Justin Matthew","
DSC 40B - Theor Fndtns of Data Sci II (A)
",FA18,24,"
15
","
93.3%
","
100.0%
","
7.57
","
B- (2.79)
","
C+ (2.59)
"
