Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Rill, Bryan","
DSGN 100 - Prototyping (A)
",WI23,95,"
23
","
75.0%
","
65.0%
","
8.31
","
B+ (3.38)
","
B+ (3.61)
"
"Dow, Steven P","
DSGN 100 - Prototyping (A)
",FA22,100,"
51
","
92.0%
","
88.0%
","
6.62
","
A- (3.80)
","
B+ (3.60)
"
"Popovic, Kevin","
DSGN 100 - Prototyping (A)
",SP22,88,"
32
","
93.5%
","
80.6%
","
6.05
","
A- (3.77)
","
B+ (3.47)
"
"Popovic, Kevin","
DSGN 100 - Prototyping (A)
",WI22,121,"
101
","
85.0%
","
51.0%
","
5.74
","
A- (3.73)
","
B+ (3.67)
"
"Xia, Haijun","
DSGN 100 - Prototyping (A)
",FA21,79,"
68
","
98.5%
","
98.5%
","
6.97
","
A- (3.72)
","
A- (3.80)
"
"Rill, Bryan","
DSGN 100 - Prototyping (A)
",S221,16,"
9
","
88.9%
","
88.9%
","
9.61
","
A- (3.78)
","
N/A
"
"Dow, Steven P","
DSGN 100 - Prototyping (A)
",SP21,115,"
70
","
100.0%
","
97.1%
","
6.81
","
B+ (3.65)
","
B+ (3.58)
"
"Scott, Taylor Jackson","
DSGN 100 - Prototyping (A)
",WI21,95,"
79
","
100.0%
","
97.4%
","
5.88
","
A- (3.83)
","
A- (3.96)
"
"Xia, Haijun","
DSGN 100 - Prototyping (A)
",FA20,84,"
71
","
97.2%
","
95.8%
","
7.47
","
A- (3.74)
","
A- (3.72)
"
"Rill, Bryan","
DSGN 100 - Prototyping (A)
",S220,6,"
3
","
66.7%
","
100.0%
","
7.83
","
A (4.00)
","
N/A
"
"Dow, Steven P","
DSGN 100 - Prototyping (A)
",SP20,108,"
34
","
97.0%
","
97.0%
","
6.38
","
A- (3.73)
","
B+ (3.68)
"
"Xia, Haijun","
DSGN 100 - Prototyping (B)
",SP20,86,"
24
","
87.5%
","
83.3%
","
6.41
","
A- (3.86)
","
A- (3.72)
"
"Dow, Steven P","
DSGN 100 - Prototyping (A)
",SP19,69,"
30
","
85.2%
","
63.0%
","
6.57
","
B+ (3.33)
","
B+ (3.56)
"
"Scott, Taylor Jackson","
DSGN 100 - Information Design (A)
",WI19,81,"
73
","
100.0%
","
98.6%
","
6.61
","
B+ (3.63)
","
A- (3.77)
"
"Dow, Steven P","
DSGN 100 - Prototyping (A)
",WI18,70,"
34
","
87.1%
","
80.6%
","
5.34
","
A- (3.79)
","
B+ (3.54)
"
"Dow, Steven P","
DSGN 100 - Prototyping (A)
",SP17,46,"
18
","
94.1%
","
88.2%
","
7.00
","
B+ (3.67)
","
B+ (3.60)
"
