Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Dayeh, Shadi Ahmad","
ECE 136L - Microelectronics Laboratory (A)
",SP23,12,"
4
","
75.0%
","
75.0%
","
11.50
","
B (3.25)
","
N/A
"
"Dayeh, Shadi Ahmad","
ECE 136L - Microelectronics Laboratory (A)
",SP20,8,"
6
","
66.7%
","
100.0%
","
11.17
","
B+ (3.33)
","
N/A
"
"Tanaka, Atsunori","
ECE 136L - Microelectronics Laboratory (A)
",SP19,13,"
6
","
100.0%
","
100.0%
","
8.50
","
B (3.00)
","
N/A
"
"Dayeh, Shadi Ahmad","
ECE 136L - Microelectronics Laboratory (A)
",SP18,19,"
6
","
100.0%
","
100.0%
","
6.90
","
A (4.00)
","
N/A
"
"Dayeh, Shadi Ahmad","
ECE 136L - Microelectronics Laboratory (A)
",WI17,33,"
18
","
92.9%
","
92.9%
","
10.50
","
B+ (3.31)
","
B+ (3.30)
"
"Dayeh, Shadi Ahmad","
ECE 136L - Microelectronics Laboratory (A)
",WI16,20,"
8
","
100.0%
","
100.0%
","
13.50
","
B (3.13)
","
B (3.30)
"
"Dayeh, Shadi Ahmad","
ECE 136L - Microelectronics Laboratory (A)
",WI15,22,"
7
","
71.4%
","
85.7%
","
16.21
","
B (3.00)
","
B (3.09)
"
"Lau, Silvanus S","
ECE 136L - Microelectronics Laboratory (A)
",WI15,22,"
7
","
71.4%
","
85.7%
","
16.21
","
B (3.00)
","
B (3.09)
"
"Lau, Silvanus S","
ECE 136L - Microelectronics Laboratory (A)
",WI14,15,"
11
","
100.0%
","
100.0%
","
13.90
","
B+ (3.38)
","
N/A
"
"Lau, Silvanus S","
ECE 136L - Microelectronics Laboratory (A)
",WI13,11,"
4
","
100.0%
","
100.0%
","
11.00
","
C+ (2.50)
","
N/A
"
