Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Rao, Bhaskar D.","
ECE 161A - Intr/Digital Signal Processing (A)
",FA22,62,"
23
","
80.0%
","
85.0%
","
9.50
","
B (3.20)
","
B- (2.96)
"
"Rao, Bhaskar D.","
ECE 161A - Intr/Digital Signal Processing (A)
",FA21,67,"
31
","
82.8%
","
82.1%
","
9.43
","
B- (2.76)
","
C+ (2.52)
"
"Rao, Bhaskar D.","
ECE 161A - Intr/Digital Signal Processing (A)
",FA20,81,"
32
","
87.1%
","
71.0%
","
8.89
","
B- (2.83)
","
B (3.03)
"
"Javidi, Tara","
ECE 161A - Intr/Digital Signal Processing (A)
",FA19,56,"
33
","
72.4%
","
58.6%
","
7.40
","
B- (2.87)
","
B- (2.72)
"
"Rao, Bhaskar D.","
ECE 161A - Intr/Digital Signal Processing (A)
",FA18,66,"
20
","
75.0%
","
90.0%
","
8.80
","
C+ (2.63)
","
C+ (2.65)
"
"Rao, Bhaskar D.","
ECE 161A - Intr/Digital Signal Processing (A)
",FA17,72,"
23
","
100.0%
","
95.2%
","
9.00
","
B+ (3.30)
","
C+ (2.49)
"
"Rao, Bhaskar D.","
ECE 161A - Intr/Digital Signal Processing (A)
",FA16,89,"
38
","
94.3%
","
94.3%
","
8.32
","
B (3.23)
","
B- (2.95)
"
"Javidi, Tara","
ECE 161A - Intr/Digital Signal Processing (A)
",FA15,110,"
30
","
88.9%
","
63.0%
","
9.38
","
B (3.00)
","
B- (2.73)
"
"Rao, Bhaskar D.","
ECE 161A - Intr/Digital Signal Processing (A)
",FA14,111,"
29
","
92.6%
","
92.6%
","
7.78
","
B- (2.80)
","
B- (2.87)
"
"Rao, Bhaskar D.","
ECE 161A - Intr/Digital Signal Processing (A)
",FA13,74,"
31
","
96.2%
","
96.2%
","
8.96
","
B+ (3.52)
","
C+ (2.67)
"
"Rao, Bhaskar D.","
ECE 161A - Intr/Digital Signal Processing (A)
",FA12,75,"
37
","
91.2%
","
76.5%
","
9.26
","
B (3.18)
","
B- (2.75)
"
