Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Nguyen, Truong Quang","
ECE 161B - Digital Signal Processing I (A)
",WI23,29,"
13
","
92.3%
","
100.0%
","
8.19
","
B (3.15)
","
B (3.30)
"
"Nguyen, Truong Quang","
ECE 161B - Digital Signal Processing I (A)
",WI22,51,"
20
","
94.4%
","
100.0%
","
7.45
","
B+ (3.32)
","
B (3.07)
"
"Nguyen, Truong Quang","
ECE 161B - Digital Signal Processing I (A)
",WI21,46,"
15
","
100.0%
","
100.0%
","
8.35
","
B (3.00)
","
B (3.25)
"
"Nguyen, Truong Quang","
ECE 161B - Digital Signal Processing I (A)
",WI20,35,"
15
","
100.0%
","
100.0%
","
7.83
","
B (3.25)
","
B+ (3.35)
"
"Nguyen, Truong Quang","
ECE 161B - Digital Signal Processing I (A)
",WI19,43,"
19
","
100.0%
","
100.0%
","
7.87
","
B (3.00)
","
B+ (3.34)
"
"Nguyen, Truong Quang","
ECE 161B - Digital Signal Processing I (A)
",WI18,46,"
19
","
100.0%
","
100.0%
","
6.29
","
B (3.28)
","
B (3.20)
"
"Nguyen, Truong Quang","
ECE 161B - Digital Signal Processing I (A)
",WI17,60,"
29
","
100.0%
","
100.0%
","
8.71
","
B (3.30)
","
B (3.20)
"
"Nguyen, Truong Quang","
ECE 161B - Digital Signal Processing I (A)
",WI16,78,"
28
","
92.6%
","
100.0%
","
7.39
","
B (3.22)
","
B (3.22)
"
"Song, Hee Chun","
ECE 161B - Digital Signal Processing I (B)
",WI15,68,"
20
","
89.5%
","
89.5%
","
6.94
","
B+ (3.32)
","
B+ (3.44)
"
"Nguyen, Truong Quang","
ECE 161B - Digital Signal Processing I (A)
",WI14,43,"
17
","
93.8%
","
93.8%
","
7.75
","
B+ (3.56)
","
B+ (3.35)
"
"Nguyen, Truong Quang","
ECE 161B - Digital Signal Processing I (A)
",WI13,60,"
32
","
93.5%
","
93.5%
","
6.50
","
B (3.29)
","
B (3.23)
"
