Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Harris, Frederick Joel","
ECE 161C - Apps of Digital Signal Process (A)
",SP23,38,"
13
","
90.9%
","
81.8%
","
7.05
","
B (3.25)
","
B+ (3.63)
"
"Harris, Frederick Joel","
ECE 161C - Apps of Digital Signal Process (A)
",SP22,52,"
13
","
84.6%
","
84.6%
","
8.35
","
B+ (3.69)
","
B+ (3.58)
"
"Harris, Frederick Joel","
ECE 161C - Apps of Digital Signal Process (A)
",SP21,42,"
16
","
86.7%
","
86.7%
","
8.00
","
A- (3.75)
","
B+ (3.60)
"
"Harris, Frederick Joel","
ECE 161C - Apps of Digital Signal Process (A)
",SP20,29,"
9
","
88.9%
","
87.5%
","
7.61
","
B+ (3.50)
","
B+ (3.62)
"
"Harris, Frederick Joel","
ECE 161C - Apps of Digital Signal Process (A)
",SP19,58,"
20
","
64.7%
","
70.6%
","
8.75
","
B+ (3.50)
","
B+ (3.51)
"
"Harris, Frederick Joel","
ECE 161C - Apps of Digital Signal Process (A)
",SP18,44,"
14
","
71.4%
","
76.9%
","
8.07
","
B (3.15)
","
N/A
"
"Vasconcelos, Nuno","
ECE 161C - Apps of Digital Signal Process (A)
",SP17,66,"
62
","
80.3%
","
63.9%
","
6.57
","
B (3.17)
","
B- (2.76)
"
"Vasconcelos, Nuno","
ECE 161C - Apps of Digital Signal Process (A)
",SP16,58,"
54
","
85.2%
","
81.5%
","
6.76
","
B- (2.94)
","
B- (2.86)
"
"Vasconcelos, Nuno","
ECE 161C - Apps of Digital Signal Process (A)
",SP15,58,"
54
","
90.6%
","
88.7%
","
6.88
","
B (3.27)
","
B- (2.82)
"
"Vasconcelos, Nuno","
ECE 161C - Apps of Digital Signal Process (A)
",SP14,29,"
26
","
92.3%
","
84.6%
","
10.12
","
B (3.04)
","
B- (2.87)
"
"Vasconcelos, Nuno","
ECE 161C - Apps of Digital Signal Process (A)
",SP13,32,"
30
","
89.7%
","
89.7%
","
7.76
","
B- (2.90)
","
B- (2.86)
"
