Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Antipa, Nicholas A","
ECE 181 - Physical Optics&Fourier Optics (A)
",WI23,16,"
6
","
80.0%
","
100.0%
","
5.70
","
B+ (3.60)
","
N/A
"
"Papen, George C.","
ECE 181 - Physical Optics&Fourier Optics (A)
",WI22,11,"
3
","
100.0%
","
100.0%
","
7.17
","
B+ (3.33)
","
N/A
"
"Papen, George C.","
ECE 181 - Physical Optics&Fourier Optics (A)
",SP21,11,"
4
","
75.0%
","
75.0%
","
6.50
","
B+ (3.33)
","
N/A
"
"Papen, George C.","
ECE 181 - Physical Optics&Fourier Optics (A)
",WI20,19,"
9
","
88.9%
","
88.9%
","
6.50
","
B- (2.89)
","
N/A
"
"Ford, Joseph Earl","
ECE 181 - Physical Optics&Fourier Optics (A)
",SP18,10,"
5
","
100.0%
","
100.0%
","
6.50
","
B+ (3.60)
","
N/A
"
"Ford, Joseph Earl","
ECE 181 - Physical Optics&Fourier Optics (A)
",SP17,18,"
6
","
60.0%
","
80.0%
","
8.50
","
C+ (2.50)
","
N/A
"
"Ford, Joseph Earl","
ECE 181 - Physical Optics&Fourier Optics (A)
",SP16,14,"
4
","
100.0%
","
100.0%
","
6.00
","
B (3.25)
","
N/A
"
"Ford, Joseph Earl","
ECE 181 - Physical Optics&Fourier Optics (A)
",SP15,20,"
7
","
100.0%
","
100.0%
","
7.36
","
B+ (3.57)
","
B+ (3.35)
"
"Ford, Joseph Earl","
ECE 181 - Physical Optics&Fourier Optics (A)
",SP13,14,"
3
","
100.0%
","
100.0%
","
6.50
","
B (3.00)
","
N/A
"
"Papen, George C.                   ","
ECE 181 - Physical Optics&Fourier Optics (A)
",SP10,14,"
11
","
90.9%
","
100.0%
","
6.70
","
B- (2.73)
","
N/A
"
"Ford, Joseph Earl                  ","
ECE 181 - Physical Optics&Fourier Optics (A)
",SP09,11,"
7
","
100.0%
","
100.0%
","
5.93
","
B+ (3.43)
","
N/A
"
"Ford, Joseph Earl             ","
ECE 181 - Physical Optics&Fourier Optics (A)
",SP08,6,"
8
","
100.0%
","
100.0%
","
5.75
","
B+ (3.50)
","
N/A
"
