Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Machina, Mark Joseph","
ECON 100AH - Honors Microeconomics A (A)
",FA19,8,"
4
","
100.0%
","
100.0%
","
1.83
","
A (4.00)
","
N/A
"
"Machina, Mark Joseph","
ECON 100AH - Honors Microeconomics A (B)
",FA19,13,"
3
","
66.7%
","
66.7%
","
3.17
","
A (4.00)
","
N/A
"
"Machina, Mark Joseph","
ECON 100AH - Honors Microeconomics A (B)
",FA18,13,"
7
","
100.0%
","
100.0%
","
1.17
","
A (4.00)
","
N/A
"
"Machina, Mark Joseph","
ECON 100AH - Honors Microeconomics A (A)
",FA17,14,"
7
","
100.0%
","
100.0%
","
4.90
","
A- (3.80)
","
N/A
"
"Machina, Mark Joseph","
ECON 100AH - Honors Microeconomics A (B)
",FA17,17,"
5
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Machina, Mark Joseph","
ECON 100AH - Honors Microeconomics A (A)
",FA16,15,"
8
","
100.0%
","
100.0%
","
4.50
","
A- (3.88)
","
N/A
"
"Machina, Mark Joseph","
ECON 100AH - Honors Microeconomics A (A)
",FA15,11,"
6
","
100.0%
","
100.0%
","
5.83
","
A (4.00)
","
N/A
"
"Machina, Mark Joseph","
ECON 100AH - Honors Microeconomics A (A)
",FA14,12,"
9
","
100.0%
","
100.0%
","
3.07
","
A- (3.86)
","
N/A
"
"Machina, Mark Joseph","
ECON 100AH - Honors Microeconomics A (A)
",FA13,14,"
3
","
66.7%
","
66.7%
","
2.50
","
A (4.00)
","
N/A
"
"Machina, Mark Joseph","
ECON 100AH - Honors Microeconomics A (A)
",FA12,11,"
8
","
100.0%
","
100.0%
","
3.50
","
A- (3.88)
","
N/A
"
"Machina, Mark Joseph               ","
ECON 100AH - Honors Microeconomics A        (A)
",FA11,9,"
6
","
100.0%
","
83.3%
","
8.17
","
A- (3.80)
","
N/A
"
"Famulari, Melissa                  ","
ECON 100AH - Honors Microeconomics A        (A)
",FA10,6,"
3
","
100.0%
","
100.0%
","
1.17
","
B+ (3.67)
","
N/A
"
"Andreoni, James                    ","
ECON 100AH - Honors Microeconomics A        (A)
",FA09,148,"
54
","
94.3%
","
96.2%
","
4.31
","
N/A
","
N/A
"
"Famulari, Melissa             ","
ECON 100AH - Honors Microeconomics A        (A)
",FA07,159,"
94
","
97.9%
","
100.0%
","
4.84
","
N/A
","
A (4.00)
"
