Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Boomhower, Judson P","
ECON 100C - Microeconomics C (A)
",SP23,90,"
78
","
96.1%
","
100.0%
","
6.00
","
B (3.20)
","
B (3.01)
"
"Boomhower, Judson P","
ECON 100C - Microeconomics C (B)
",SP23,124,"
101
","
93.1%
","
98.0%
","
7.03
","
B (3.21)
","
B (3.01)
"
"Newhouse, Herbert S","
ECON 100C - Microeconomics C (A)
",WI23,126,"
28
","
100.0%
","
88.5%
","
7.14
","
B+ (3.40)
","
B- (2.84)
"
"Du, Songzi","
ECON 100C - Microeconomics C (A)
",FA22,66,"
47
","
95.7%
","
97.8%
","
5.54
","
B+ (3.57)
","
B- (2.99)
"
"Du, Songzi","
ECON 100C - Microeconomics C (B)
",FA22,110,"
81
","
97.5%
","
97.5%
","
7.45
","
B+ (3.49)
","
B- (2.97)
"
"Newhouse, Herbert S","
ECON 100C - Microeconomics C (A)
",S222,86,"
16
","
93.8%
","
100.0%
","
8.25
","
B (3.25)
","
B- (2.82)
"
"Boomhower, Judson P","
ECON 100C - Microeconomics C (A)
",SP22,247,"
174
","
96.0%
","
97.7%
","
6.17
","
B (3.20)
","
B- (2.94)
"
"Du, Songzi","
ECON 100C - Microeconomics C (A)
",WI22,50,"
14
","
100.0%
","
100.0%
","
8.07
","
B (3.29)
","
B- (2.84)
"
"Du, Songzi","
ECON 100C - Microeconomics C (B)
",WI22,50,"
20
","
94.4%
","
100.0%
","
6.39
","
B+ (3.68)
","
B (3.06)
"
"Du, Songzi","
ECON 100C - Microeconomics C (C)
",WI22,51,"
18
","
100.0%
","
100.0%
","
7.09
","
B+ (3.35)
","
B (3.29)
"
"Tocoian, Oana","
ECON 100C - Microeconomics C (A)
",FA21,116,"
37
","
91.2%
","
79.4%
","
7.70
","
B+ (3.38)
","
B- (2.72)
"
"Tocoian, Oana","
ECON 100C - Microeconomics C (B)
",FA21,47,"
18
","
80.0%
","
86.7%
","
7.97
","
B- (2.80)
","
C+ (2.64)
"
"Baranov, Evgenii","
ECON 100C - Microeconomics C (B)
",S221,59,"
18
","
88.9%
","
94.4%
","
8.94
","
B (3.22)
","
B (3.13)
"
"Baranov, Evgenii","
ECON 100C - Microeconomics C (A)
",S121,56,"
27
","
81.5%
","
88.9%
","
8.87
","
B+ (3.33)
","
B (3.03)
"
"Boomhower, Judson P","
ECON 100C - Microeconomics C (B)
",SP21,236,"
165
","
94.5%
","
98.2%
","
6.29
","
B+ (3.40)
","
B (3.14)
"
"Sinitsyn, Maxim","
ECON 100C - Microeconomics C (A)
",WI21,86,"
21
","
95.2%
","
100.0%
","
4.88
","
B (3.28)
","
B (3.07)
"
"Sinitsyn, Maxim","
ECON 100C - Microeconomics C (B)
",WI21,49,"
11
","
100.0%
","
100.0%
","
5.77
","
B+ (3.44)
","
B- (2.90)
"
"Du, Songzi","
ECON 100C - Microeconomics C (A)
",FA20,127,"
34
","
97.0%
","
96.9%
","
7.31
","
B+ (3.56)
","
B (3.07)
"
"Du, Songzi","
ECON 100C - Microeconomics C (B)
",FA20,128,"
52
","
98.0%
","
98.0%
","
6.86
","
B+ (3.68)
","
B (3.16)
"
"Tocoian, Oana","
ECON 100C - Microeconomics C (A)
",S220,55,"
11
","
81.8%
","
100.0%
","
5.41
","
B (3.27)
","
B- (2.77)
"
