Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Andreoni, James","
ECON 100CH - Honors Microeconomics C (A)
",SP22,14,"
8
","
100.0%
","
100.0%
","
2.79
","
A (4.00)
","
N/A
"
"Boomhower, Judson P","
ECON 100CH - Honors Microeconomics C (A)
",SP21,19,"
15
","
100.0%
","
100.0%
","
3.97
","
A (4.00)
","
N/A
"
"Andreoni, James","
ECON 100CH - Honors Microeconomics C (A)
",SP20,13,"
3
","
100.0%
","
100.0%
","
3.50
","
A (4.00)
","
N/A
"
"Andreoni, James","
ECON 100CH - Honors Microeconomics C (A)
",FA18,8,"
3
","
100.0%
","
100.0%
","
1.17
","
A (4.00)
","
N/A
"
"Andreoni, James","
ECON 100CH - Honors Microeconomics C (A)
",SP18,9,"
4
","
100.0%
","
66.7%
","
2.50
","
A (4.00)
","
N/A
"
"Andreoni, James","
ECON 100CH - Honors Microeconomics C (A)
",SP17,12,"
6
","
100.0%
","
100.0%
","
4.00
","
A (4.00)
","
N/A
"
"Andreoni, James","
ECON 100CH - Honors Microeconomics C (A)
",SP16,13,"
7
","
100.0%
","
85.7%
","
6.21
","
A (4.00)
","
N/A
"
"Jacobsen, Mark","
ECON 100CH - Honors Microeconomics C (A)
",SP15,17,"
8
","
100.0%
","
100.0%
","
2.21
","
A- (3.71)
","
N/A
"
"Jacobsen, Mark","
ECON 100CH - Honors Microeconomics C (A)
",SP14,16,"
7
","
100.0%
","
100.0%
","
4.17
","
A (4.00)
","
N/A
"
"Jacobsen, Mark","
ECON 100CH - Honors Microeconomics C (A)
",SP13,7,"
4
","
100.0%
","
100.0%
","
2.00
","
A (4.00)
","
N/A
"
"Forbes, Silke                      ","
ECON 100CH - Honors Microeconomics C        (A)
",SP12,16,"
7
","
85.7%
","
100.0%
","
3.07
","
A (4.00)
","
N/A
"
"Forbes, Silke                      ","
ECON 100CH - Honors Microeconomics C        (B)
",SP11,12,"
6
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Forbes, Silke                      ","
ECON 100CH - Honors Microeconomics C        (A)
",SP10,20,"
11
","
100.0%
","
90.9%
","
2.68
","
A- (3.91)
","
A (4.00)
"
"Cullen, Julie                      ","
ECON 100CH - Honors Microeconomics C        (A)
",SP09,15,"
13
","
100.0%
","
100.0%
","
2.04
","
A (4.00)
","
N/A
"
