Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Hamilton, James D.","
ECON 110BH - Honors Macroeconomics B (A)
",WI22,13,"
7
","
100.0%
","
100.0%
","
2.17
","
A (4.00)
","
N/A
"
"Hamilton, James D.","
ECON 110BH - Honors Macroeconomics B (A)
",WI20,11,"
5
","
100.0%
","
100.0%
","
2.90
","
B+ (3.60)
","
N/A
"
"Hamilton, James D.","
ECON 110BH - Honors Macroeconomics B (A)
",WI19,11,"
5
","
100.0%
","
100.0%
","
2.00
","
A (4.00)
","
N/A
"
"Hamilton, James D.","
ECON 110BH - Honors Macroeconomics B (A)
",WI17,17,"
7
","
100.0%
","
100.0%
","
1.93
","
A (4.00)
","
N/A
"
"Hamilton, James D.","
ECON 110BH - Honors Macroeconomics B (B)
",WI16,9,"
5
","
100.0%
","
100.0%
","
1.70
","
A (4.00)
","
N/A
"
"Hamilton, James D.","
ECON 110BH - Honors Macroeconomics B (A)
",WI15,5,"
3
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Rondina, Giacomo","
ECON 110BH - Honors Macroeconomics B (A)
",WI14,10,"
6
","
100.0%
","
100.0%
","
2.83
","
A- (3.83)
","
N/A
"
"Rondina, Giacomo","
ECON 110BH - Honors Macroeconomics B (A)
",WI13,8,"
4
","
100.0%
","
100.0%
","
4.00
","
A- (3.75)
","
N/A
"
"Rondina, Giacomo                   ","
ECON 110BH - Honors Macroeconomics B        (A)
",WI12,6,"
4
","
100.0%
","
100.0%
","
3.17
","
A (4.00)
","
N/A
"
"Rondina, Giacomo                   ","
ECON 110BH - Honors Macroeconomics B        (A)
",WI11,8,"
6
","
100.0%
","
100.0%
","
3.50
","
A- (3.83)
","
N/A
"
"Peters, Genevieve                  ","
ECON 110BH - Honors Macroeconomics B        (A)
",WI10,5,"
4
","
100.0%
","
100.0%
","
1.50
","
A (4.00)
","
N/A
"
"Peters, Genevieve","
ECON 110BH - Honors Macroeconomics B        (A)
",WI09,236,"
118
","
88.9%
","
91.5%
","
4.09
","
N/A
","
B+ (3.49)
"
"Rondina, Giacomo              ","
ECON 110BH - Honors Macroeconomics B        (A)
",WI08,69,"
24
","
90.9%
","
90.9%
","
3.80
","
N/A
","
B+ (3.65)
"
