Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Betts, Julian","
ECON 136 - Human Resources (A)
",SP22,63,"
26
","
96.2%
","
92.3%
","
4.65
","
B (3.08)
","
B- (2.75)
"
"Betts, Julian","
ECON 136 - Human Resources (B)
",SP22,61,"
24
","
95.8%
","
100.0%
","
4.75
","
B (3.27)
","
B- (2.81)
"
"Betts, Julian","
ECON 136 - Human Resources (A)
",WI20,30,"
9
","
77.8%
","
100.0%
","
7.83
","
B+ (3.38)
","
B- (2.91)
"
"Betts, Julian","
ECON 136 - Human Resources (B)
",WI20,80,"
30
","
89.3%
","
92.9%
","
5.93
","
B (3.26)
","
B- (2.92)
"
"Tang, Yuan Emily","
ECON 136 - Human Resources (A)
",SP16,189,"
56
","
90.2%
","
90.2%
","
4.71
","
B+ (3.35)
","
B- (2.92)
"
"Betts, Julian","
ECON 136 - Human Resources (A)
",FA13,184,"
71
","
92.5%
","
82.1%
","
7.01
","
B+ (3.44)
","
C+ (2.50)
"
"Tang, Yuan Emily","
ECON 136 - Human Resources (A)
",S113,71,"
12
","
100.0%
","
100.0%
","
7.17
","
B+ (3.42)
","
B- (2.87)
"
"Tang, Yuan Emily","
ECON 136 - Human Resources (A)
",WI13,238,"
63
","
87.3%
","
88.9%
","
5.17
","
B+ (3.45)
","
B- (2.94)
"
"Betts, Julian","
ECON 136 - Human Resources (A)
",FA12,135,"
55
","
86.0%
","
84.0%
","
5.63
","
B (3.20)
","
B- (2.79)
"
"Tang, Yuan Emily                   ","
ECON 136 - Human Resources                (A)
",FA10,215,"
72
","
90.3%
","
79.2%
","
4.22
","
B+ (3.47)
","
B- (2.85)
"
"Tang, Yuan Emily                   ","
ECON 136 - Human Resources                (A)
",SU10,35,"
10
","
100.0%
","
100.0%
","
3.50
","
A- (3.80)
","
N/A
"
"Tang, Yuan Emily                   ","
ECON 136 - Human Resources                (A)
",WI10,135,"
43
","
90.7%
","
79.1%
","
5.07
","
B+ (3.56)
","
B- (2.79)
"
"Betts, Julian                 ","
ECON 136 - Human Resources                (A)
",SP08,184,"
100
","
76.0%
","
82.3%
","
3.99
","
B (3.17)
","
B (3.11)
"
