Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Meckel, Katherine Hunter","
ECON 151 - Public Economics:Expenditure I (A)
",SP23,45,"
5
","
100.0%
","
100.0%
","
4.50
","
B+ (3.60)
","
B (3.12)
"
"Meckel, Katherine Hunter","
ECON 151 - Public Economics:Expenditure I (B)
",SP23,48,"
9
","
87.5%
","
87.5%
","
5.83
","
B+ (3.44)
","
B (3.14)
"
"Meckel, Katherine Hunter","
ECON 151 - Public Economics:Expenditure I (A)
",FA21,51,"
12
","
100.0%
","
100.0%
","
5.17
","
B+ (3.58)
","
B (3.11)
"
"Meckel, Katherine Hunter","
ECON 151 - Public Economics:Expenditure I (B)
",FA21,53,"
17
","
100.0%
","
100.0%
","
6.85
","
A- (3.76)
","
B (3.20)
"
"Meckel, Katherine Hunter","
ECON 151 - Public Economics:Expenditure I (A)
",SP21,49,"
10
","
100.0%
","
100.0%
","
5.50
","
A- (3.78)
","
B (3.28)
"
"Meckel, Katherine Hunter","
ECON 151 - Public Economics:Expenditure I (A)
",FA20,90,"
21
","
95.2%
","
100.0%
","
5.26
","
B+ (3.57)
","
B (3.16)
"
"Meckel, Katherine Hunter","
ECON 151 - Public Economics:Expenditure I (A)
",SP20,53,"
15
","
100.0%
","
100.0%
","
4.64
","
B+ (3.67)
","
B+ (3.57)
"
"Meckel, Katherine Hunter","
ECON 151 - Public Economics:Expenditure I (A)
",WI20,48,"
17
","
82.4%
","
88.2%
","
4.26
","
B+ (3.41)
","
B (3.16)
"
"Meckel, Katherine Hunter","
ECON 151 - Public Economics:Expenditure I (A)
",SP19,150,"
57
","
82.4%
","
82.0%
","
5.13
","
B+ (3.47)
","
B- (2.98)
"
"Cullen, Julie","
ECON 151 - Public Economics:Expenditure I (A)
",WI17,50,"
23
","
95.5%
","
95.5%
","
5.36
","
B (3.24)
","
B- (2.85)
"
"Cullen, Julie","
ECON 151 - Public Economics:Expenditure I (A)
",SP16,73,"
32
","
78.6%
","
92.9%
","
6.29
","
B (3.30)
","
B- (2.86)
"
"Cullen, Julie","
ECON 151 - Public Economics:Expenditure I (A)
",FA14,48,"
14
","
78.6%
","
92.9%
","
5.64
","
B (3.08)
","
B- (2.96)
"
