Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Levkoff, Steven B.","
ECON 173B - Corporate Finance (A)
",SP23,36,"
10
","
80.0%
","
90.0%
","
7.10
","
B (3.20)
","
B- (2.80)
"
"Levkoff, Steven B.","
ECON 173B - Corporate Finance (B)
",SP23,22,"
11
","
90.9%
","
100.0%
","
5.59
","
B (3.27)
","
B- (2.86)
"
"Levkoff, Steven B.","
ECON 173B - Corporate Finance (A)
",SP22,122,"
34
","
84.4%
","
96.9%
","
6.25
","
B (3.27)
","
B- (2.92)
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",SP21,68,"
13
","
91.7%
","
100.0%
","
6.33
","
B+ (3.30)
","
B (3.02)
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",WI21,100,"
21
","
95.0%
","
90.0%
","
5.66
","
B (3.28)
","
B (3.02)
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",SP20,95,"
18
","
100.0%
","
94.4%
","
5.83
","
B+ (3.50)
","
B+ (3.69)
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",WI20,56,"
12
","
85.7%
","
100.0%
","
5.00
","
B+ (3.63)
","
B (3.28)
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",SP19,122,"
32
","
96.3%
","
88.9%
","
5.12
","
B+ (3.33)
","
B (3.12)
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",WI19,122,"
48
","
93.0%
","
80.5%
","
5.95
","
B+ (3.48)
","
B (3.04)
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",FA18,16,"
5
","
80.0%
","
80.0%
","
4.10
","
A- (3.80)
","
N/A
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",SP18,107,"
33
","
87.1%
","
83.9%
","
6.75
","
B+ (3.41)
","
B (3.10)
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",WI18,136,"
47
","
85.1%
","
84.8%
","
5.90
","
B+ (3.49)
","
B (3.28)
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",FA17,41,"
14
","
100.0%
","
100.0%
","
4.65
","
B+ (3.62)
","
B- (2.77)
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",SP17,184,"
47
","
86.7%
","
75.6%
","
5.60
","
B+ (3.40)
","
B- (2.97)
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",WI17,144,"
44
","
83.3%
","
81.0%
","
6.24
","
B+ (3.38)
","
B- (2.84)
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",FA16,53,"
13
","
83.3%
","
75.0%
","
5.05
","
B+ (3.55)
","
B- (3.00)
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",SP16,149,"
34
","
82.4%
","
76.5%
","
6.38
","
B+ (3.45)
","
B- (2.83)
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",WI16,125,"
43
","
82.9%
","
73.2%
","
6.19
","
B+ (3.34)
","
B- (2.84)
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",FA15,65,"
16
","
100.0%
","
93.8%
","
7.57
","
B+ (3.67)
","
B (3.22)
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",SP15,137,"
41
","
82.1%
","
84.6%
","
5.76
","
B+ (3.45)
","
B- (2.76)
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",WI15,143,"
42
","
90.0%
","
85.0%
","
5.80
","
B+ (3.39)
","
B- (2.84)
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",FA14,73,"
24
","
86.4%
","
68.2%
","
6.05
","
B+ (3.50)
","
B- (2.94)
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",SP14,122,"
40
","
83.8%
","
70.3%
","
6.56
","
B (3.24)
","
C+ (2.62)
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",WI14,140,"
56
","
81.8%
","
81.8%
","
6.10
","
B+ (3.36)
","
C+ (2.67)
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",FA13,82,"
27
","
87.5%
","
83.3%
","
5.17
","
B (3.04)
","
C+ (2.36)
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",SP13,148,"
47
","
85.1%
","
76.6%
","
5.73
","
B+ (3.35)
","
B (3.16)
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",WI13,140,"
50
","
79.6%
","
59.2%
","
5.75
","
B (3.11)
","
B- (2.94)
"
"Ramey, Garey","
ECON 173B - Corporate Finance (A)
",FA12,45,"
26
","
65.2%
","
65.2%
","
7.89
","
B (3.27)
","
B- (2.81)
"
"Poon, Ser-Huang               ","
ECON 173B - Corporate Finance              (A)
",SU07,30,"
27
","
88.5%
","
84.6%
","
7.31
","
B (3.13)
","
N/A
"
