Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Vespa, Emanuel Ignacio","
ECON 191A - Senior Essay Seminar A (A)
",SP22,10,"
5
","
100.0%
","
80.0%
","
8.10
","
A (4.00)
","
N/A
"
"Vespa, Emanuel Ignacio","
ECON 191A - Senior Essay Seminar A (A)
",FA21,10,"
6
","
100.0%
","
100.0%
","
8.83
","
A (4.00)
","
N/A
"
"Cullen, Julie","
ECON 191A - Senior Essay Seminar A (A)
",FA20,10,"
5
","
100.0%
","
100.0%
","
9.30
","
A (4.00)
","
N/A
"
"Cullen, Julie","
ECON 191A - Senior Essay Seminar A (A)
",FA19,12,"
4
","
100.0%
","
100.0%
","
11.17
","
A (4.00)
","
N/A
"
"Cullen, Julie","
ECON 191A - Senior Essay Seminar A (A)
",FA17,10,"
4
","
100.0%
","
100.0%
","
5.17
","
A (4.00)
","
N/A
"
"Starr, Ross","
ECON 191A - Senior Essay Seminar A (A)
",FA16,19,"
16
","
93.3%
","
93.3%
","
7.30
","
A- (3.73)
","
N/A
"
"Starr, Ross","
ECON 191A - Senior Essay Seminar A (A)
",FA15,12,"
10
","
100.0%
","
100.0%
","
5.90
","
A (4.00)
","
N/A
"
"Starr, Ross","
ECON 191A - Senior Essay Seminar A (A)
",FA14,15,"
11
","
100.0%
","
100.0%
","
5.59
","
A (4.00)
","
N/A
"
"Starr, Ross","
ECON 191A - Senior Essay Seminar A (A)
",WI14,9,"
7
","
100.0%
","
100.0%
","
7.83
","
A- (3.83)
","
N/A
"
"Starr, Ross","
ECON 191A - Senior Essay Seminar A (A)
",FA12,12,"
11
","
100.0%
","
100.0%
","
9.59
","
A- (3.90)
","
N/A
"
