Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Simon, Elizabeth A","
EDS 124AR - Teach Computation/DigitalWorld (A)
",SP23,82,"
17
","
94.1%
","
94.1%
","
7.68
","
A- (3.88)
","
B+ (3.68)
"
"Simon, Elizabeth A","
EDS 124AR - Teach Computation/DigitalWorld (C)
",SP23,130,"
26
","
91.7%
","
95.8%
","
6.50
","
A- (3.95)
","
B+ (3.49)
"
"Eguchi, Emi","
EDS 124AR - Teach Computation/DigitalWorld (A)
",WI23,92,"
26
","
100.0%
","
95.8%
","
5.50
","
A- (3.91)
","
A- (3.76)
"
"Simon, Elizabeth A","
EDS 124AR - Teach Computation/DigitalWorld (A)
",FA22,92,"
23
","
95.7%
","
100.0%
","
6.15
","
A- (3.91)
","
B+ (3.55)
"
"Simon, Elizabeth A","
EDS 124AR - Teach Computation/DigitalWorld (B)
",FA22,93,"
16
","
100.0%
","
100.0%
","
7.25
","
A- (3.81)
","
B+ (3.63)
"
"Eguchi, Emi","
EDS 124AR - Teach Computation/DigitalWorld (A)
",WI22,98,"
22
","
86.4%
","
90.9%
","
6.60
","
A- (3.95)
","
A- (3.73)
"
"Simon, Elizabeth A","
EDS 124AR - Teach Computation/DigitalWorld (A)
",FA21,100,"
35
","
94.1%
","
94.1%
","
6.79
","
A- (3.74)
","
B+ (3.59)
"
"Eguchi, Emi","
EDS 124AR - Teach Computation/DigitalWorld (C)
",SP21,81,"
20
","
100.0%
","
100.0%
","
7.87
","
A (4.00)
","
B+ (3.65)
"
"Eguchi, Emi","
EDS 124AR - Teach Computation/DigitalWorld (A)
",WI21,59,"
14
","
92.3%
","
92.3%
","
8.81
","
A- (3.85)
","
B+ (3.69)
"
"Simon, Elizabeth A","
EDS 124AR - Teach Computation/DigitalWorld (C)
",WI21,48,"
12
","
91.7%
","
91.7%
","
6.67
","
A- (3.82)
","
A- (3.89)
"
"Eguchi, Emi","
EDS 124AR - Teach Computation/DigitalWorld (A)
",FA20,69,"
24
","
87.5%
","
91.7%
","
8.00
","
A- (3.96)
","
A- (3.78)
"
"Eguchi, Emi","
EDS 124AR - Teach Computation/DigitalWorld (C)
",FA20,63,"
24
","
91.3%
","
90.5%
","
8.50
","
A- (3.83)
","
B+ (3.65)
"
"Eguchi, Emi","
EDS 124AR - Teach Computation/DigitalWorld (A)
",S120,35,"
6
","
100.0%
","
100.0%
","
10.83
","
B+ (3.67)
","
B+ (3.50)
"
"Simon, Elizabeth A","
EDS 124AR - Teach Computation/DigitalWorld (A)
",SP20,69,"
13
","
92.3%
","
100.0%
","
8.33
","
A- (3.88)
","
A- (3.87)
"
"Eguchi, Emi","
EDS 124AR - Teach Computation/DigitalWorld (C)
",SP20,86,"
28
","
100.0%
","
96.4%
","
6.71
","
A- (3.96)
","
A- (3.91)
"
"Eguchi, Emi","
EDS 124AR - Teach Computation/DigitalWorld (D)
",SP20,66,"
19
","
83.3%
","
100.0%
","
8.83
","
A- (3.93)
","
A- (3.90)
"
"Simon, Elizabeth A","
EDS 124AR - Teach Computation/DigitalWorld (A)
",SP19,125,"
27
","
100.0%
","
100.0%
","
7.86
","
B+ (3.55)
","
B+ (3.54)
"
"Simon, Elizabeth A","
EDS 124AR - Teach Computation/DigitalWorld (A)
",WI19,197,"
63
","
94.2%
","
94.2%
","
7.73
","
A- (3.86)
","
B+ (3.63)
"
"Simon, Elizabeth A","
EDS 124AR - Teach Computation/DigitalWorld (A)
",WI18,30,"
10
","
100.0%
","
100.0%
","
8.79
","
A- (3.71)
","
B+ (3.69)
"
