Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Eguchi, Emi","
EDS 124BR - Teach Computational Thinking (A)
",SP23,107,"
22
","
95.5%
","
95.5%
","
4.86
","
A- (3.73)
","
B+ (3.62)
"
"Simon, Elizabeth A","
EDS 124BR - Teach Computational Thinking (A)
",WI23,96,"
31
","
92.9%
","
100.0%
","
6.50
","
A- (3.93)
","
A- (3.90)
"
"Simon, Elizabeth A","
EDS 124BR - Teach Computational Thinking (C)
",WI23,103,"
17
","
100.0%
","
100.0%
","
6.26
","
A- (3.94)
","
B+ (3.56)
"
"Eguchi, Emi","
EDS 124BR - Teach Computational Thinking (A)
",FA22,81,"
21
","
90.0%
","
85.0%
","
7.34
","
A- (3.95)
","
B+ (3.69)
"
"Eguchi, Emi","
EDS 124BR - Teach Computational Thinking (A)
",S122,20,"
3
","
100.0%
","
100.0%
","
6.50
","
A (4.00)
","
B+ (3.64)
"
"Eguchi, Emi","
EDS 124BR - Teach Computational Thinking (A)
",SP22,130,"
37
","
91.7%
","
94.4%
","
7.00
","
A- (3.86)
","
B+ (3.57)
"
"Simon, Elizabeth A","
EDS 124BR - Teach Computational Thinking (A)
",WI22,134,"
44
","
97.5%
","
100.0%
","
6.00
","
A- (3.93)
","
B+ (3.58)
"
"Simon, Elizabeth A","
EDS 124BR - Teach Computational Thinking (A)
",FA21,88,"
27
","
88.5%
","
92.3%
","
7.08
","
A- (3.88)
","
B+ (3.62)
"
"Eguchi, Emi","
EDS 124BR - Teach Computational Thinking (C)
",FA21,72,"
25
","
96.0%
","
100.0%
","
7.30
","
A- (3.72)
","
B+ (3.38)
"
"Eguchi, Emi","
EDS 124BR - Teach Computational Thinking (A)
",S121,25,"
6
","
100.0%
","
100.0%
","
10.17
","
A (4.00)
","
B+ (3.55)
"
"Simon, Elizabeth A","
EDS 124BR - Teach Computational Thinking (A)
",SP21,69,"
15
","
92.3%
","
100.0%
","
5.42
","
A (4.00)
","
A- (3.83)
"
"Eguchi, Emi","
EDS 124BR - Teach Computational Thinking (C)
",SP21,73,"
22
","
95.5%
","
95.5%
","
6.23
","
A- (3.86)
","
A- (3.70)
"
"Simon, Elizabeth A","
EDS 124BR - Teach Computational Thinking (A)
",WI21,64,"
16
","
100.0%
","
100.0%
","
6.23
","
A- (3.87)
","
A- (3.85)
"
"Eguchi, Emi","
EDS 124BR - Teach Computational Thinking (C)
",WI21,36,"
16
","
100.0%
","
100.0%
","
8.63
","
A- (3.92)
","
A- (3.94)
"
"Simon, Elizabeth A","
EDS 124BR - Teach Computational Thinking (A)
",FA20,65,"
24
","
90.9%
","
95.5%
","
5.32
","
A- (3.77)
","
A- (3.83)
"
"Simon, Elizabeth A","
EDS 124BR - Teach Computational Thinking (C)
",FA20,24,"
7
","
71.4%
","
85.7%
","
6.79
","
A (4.00)
","
A- (3.78)
"
"Soosai Raj, Adalbert Geral","
EDS 124BR - Teach Computational Thinking (A)
",S120,47,"
7
","
100.0%
","
100.0%
","
9.93
","
A- (3.86)
","
B+ (3.51)
"
"Soosai Raj, Adalbert Geral","
EDS 124BR - Teach Computational Thinking (B)
",S120,22,"
5
","
80.0%
","
100.0%
","
7.70
","
A (4.00)
","
A- (3.89)
"
"Simon, Elizabeth A","
EDS 124BR - Teach Computational Thinking (A)
",SP20,121,"
29
","
85.7%
","
96.4%
","
6.87
","
A- (3.95)
","
A- (3.95)
"
"Simon, Elizabeth A","
EDS 124BR - Teach Computational Thinking (A)
",FA19,159,"
42
","
89.7%
","
97.4%
","
7.47
","
B+ (3.67)
","
A- (3.72)
"
"Simon, Elizabeth A","
EDS 124BR - Teach Computational Thinking (A)
",FA18,101,"
43
","
90.0%
","
95.0%
","
8.21
","
A- (3.76)
","
B+ (3.70)
"
