Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Fargason, Sharon Gayle","
EDS 128A - Intro/Teaching&Learning (Elem) (A)
",WI23,43,"
9
","
100.0%
","
88.9%
","
3.50
","
A (4.00)
","
B+ (3.41)
"
"Pappas, Elizabeth","
EDS 128A - Intro/Teaching&Learning (Elem) (A)
",S322,15,"
12
","
100.0%
","
100.0%
","
5.50
","
A (4.00)
","
N/A
"
"Fargason, Sharon Gayle","
EDS 128A - Intro/Teaching&Learning (Elem) (A)
",WI22,46,"
11
","
100.0%
","
100.0%
","
5.95
","
A- (3.82)
","
A- (3.84)
"
"Pappas, Elizabeth","
EDS 128A - Intro/Teaching&Learning (Elem) (A)
",S321,10,"
5
","
100.0%
","
100.0%
","
11.70
","
A (4.00)
","
N/A
"
"Pappas, Elizabeth","
EDS 128A - Intro/Teaching&Learning (Elem) (A)
",WI21,55,"
27
","
100.0%
","
100.0%
","
5.02
","
A- (3.96)
","
A- (3.72)
"
"Pappas, Elizabeth","
EDS 128A - Intro/Teaching&Learning (Elem) (A)
",S320,17,"
12
","
100.0%
","
100.0%
","
10.50
","
A (4.00)
","
N/A
"
"Pappas, Elizabeth","
EDS 128A - Intro/Teaching&Learning (Elem) (A)
",WI20,35,"
13
","
91.7%
","
100.0%
","
3.00
","
B+ (3.67)
","
B+ (3.65)
"
"Pappas, Elizabeth","
EDS 128A - Intro/Teaching&Learning (Elem) (A)
",WI19,25,"
18
","
100.0%
","
100.0%
","
4.50
","
A- (3.94)
","
A- (3.91)
"
"Bresser, Bernard George","
EDS 128A - Intro/Teaching&Learning (Elem) (A)
",WI18,25,"
11
","
100.0%
","
100.0%
","
5.41
","
A- (3.91)
","
A- (3.91)
"
"Holtzman, Caren Lynn","
EDS 128A - Intro/Teaching&Learning (Elem) (A)
",S317,25,"
22
","
95.5%
","
100.0%
","
9.59
","
A (4.00)
","
N/A
"
"Bresser, Bernard George","
EDS 128A - Intro/Teaching&Learning (Elem) (A)
",WI17,31,"
15
","
100.0%
","
100.0%
","
6.17
","
A- (3.83)
","
A- (3.82)
"
"Holtzman, Caren Lynn","
EDS 128A - Intro/Teaching&Learning (Elem) (A)
",S316,18,"
13
","
91.7%
","
91.7%
","
11.00
","
A (4.00)
","
N/A
"
"Bresser, Bernard George","
EDS 128A - Intro/Teaching&Learning (Elem) (A)
",WI16,41,"
24
","
100.0%
","
100.0%
","
6.33
","
A- (3.87)
","
A- (3.82)
"
"Holtzman, Caren Lynn","
EDS 128A - Intro/Teaching&Learning (Elem) (A)
",S315,27,"
17
","
94.1%
","
94.1%
","
10.03
","
A- (3.82)
","
A- (3.86)
"
"Bresser, Bernard George","
EDS 128A - Intro/Teaching&Learning (Elem) (A)
",WI15,40,"
19
","
100.0%
","
100.0%
","
5.83
","
A (4.00)
","
A- (3.96)
"
"Bresser, Bernard George","
EDS 128A - Intro/Teaching&Learning (Elem) (A)
",S314,18,"
18
","
100.0%
","
100.0%
","
9.61
","
A (4.00)
","
N/A
"
"Bresser, Bernard George","
EDS 128A - Intro/Teaching&Learning (Elem) (A)
",WI14,41,"
23
","
95.5%
","
100.0%
","
5.05
","
A- (3.86)
","
A- (3.90)
"
"Holtzman, Caren Lynn","
EDS 128A - Intro/Teaching&Learning (Elem) (A)
",S313,23,"
6
","
100.0%
","
100.0%
","
13.70
","
A (4.00)
","
A- (3.84)
"
"Bresser, Bernard George","
EDS 128A - Intro/Teaching&Learning (Elem) (A)
",WI13,33,"
23
","
100.0%
","
100.0%
","
6.76
","
A- (3.95)
","
A- (3.93)
"
