Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Pappas, Elizabeth","
EDS 128B - Intro/Teaching&Learning (Elem) (A)
",SP23,41,"
12
","
100.0%
","
100.0%
","
4.67
","
A- (3.92)
","
A- (3.90)
"
"Fargason, Sharon Gayle","
EDS 128B - Intro/Teaching&Learning (Elem) (A)
",S322,15,"
7
","
100.0%
","
100.0%
","
5.93
","
A (4.00)
","
N/A
"
"Pappas, Elizabeth","
EDS 128B - Intro/Teaching&Learning (Elem) (A)
",SP22,44,"
8
","
100.0%
","
100.0%
","
4.00
","
A- (3.88)
","
A- (3.79)
"
"Fargason, Sharon Gayle","
EDS 128B - Intro/Teaching&Learning (Elem) (A)
",S321,10,"
4
","
100.0%
","
100.0%
","
8.50
","
A (4.00)
","
N/A
"
"Fargason, Sharon Gayle","
EDS 128B - Intro/Teaching&Learning (Elem) (A)
",SP21,53,"
15
","
100.0%
","
100.0%
","
4.77
","
A (4.00)
","
A- (3.71)
"
"Fargason, Sharon Gayle","
EDS 128B - Intro/Teaching&Learning (Elem) (A)
",S320,17,"
3
","
100.0%
","
100.0%
","
5.83
","
A (4.00)
","
N/A
"
"Fargason, Sharon Gayle","
EDS 128B - Intro/Teaching&Learning (Elem) (A)
",SP20,32,"
4
","
100.0%
","
100.0%
","
3.50
","
A (4.00)
","
A- (3.94)
"
"Holtzman, Caren Lynn","
EDS 128B - Intro/Teaching&Learning (Elem) (A)
",S319,24,"
7
","
100.0%
","
100.0%
","
5.50
","
A (4.00)
","
A (4.00)
"
"Pappas, Elizabeth","
EDS 128B - Intro/Teaching&Learning (Elem) (A)
",SP19,23,"
6
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
A- (3.74)
"
"Holtzman, Caren Lynn","
EDS 128B - Intro/Teaching&Learning (Elem) (A)
",S318,26,"
6
","
100.0%
","
100.0%
","
10.90
","
A (4.00)
","
A- (3.94)
"
"Pappas, Elizabeth","
EDS 128B - Intro/Teaching&Learning (Elem) (A)
",SP18,27,"
15
","
100.0%
","
93.3%
","
5.43
","
A (4.00)
","
A- (3.97)
"
"Bresser, Bernard George","
EDS 128B - Intro/Teaching&Learning (Elem) (A)
",S317,25,"
13
","
100.0%
","
100.0%
","
10.04
","
A (4.00)
","
N/A
"
"Pappas, Elizabeth","
EDS 128B - Intro/Teaching&Learning (Elem) (A)
",SP17,29,"
17
","
100.0%
","
100.0%
","
4.85
","
A- (3.88)
","
A- (3.90)
"
"Bresser, Bernard George","
EDS 128B - Intro/Teaching&Learning (Elem) (A)
",S316,18,"
11
","
100.0%
","
100.0%
","
8.72
","
A (4.00)
","
N/A
"
"Pappas, Elizabeth","
EDS 128B - Intro/Teaching&Learning (Elem) (A)
",SP16,39,"
21
","
100.0%
","
100.0%
","
4.69
","
A- (3.81)
","
A- (3.80)
"
"Bresser, Bernard George","
EDS 128B - Intro/Teaching&Learning (Elem) (A)
",S315,27,"
11
","
100.0%
","
100.0%
","
9.30
","
A- (3.91)
","
A- (3.95)
"
"Forbes, Cheryl A","
EDS 128B - Intro/Teaching&Learning (Elem) (A)
",SP15,38,"
19
","
94.1%
","
82.4%
","
4.97
","
A- (3.94)
","
B+ (3.62)
"
"Holtzman, Caren Lynn","
EDS 128B - Intro/Teaching&Learning (Elem) (A)
",S314,18,"
9
","
100.0%
","
100.0%
","
9.83
","
A (4.00)
","
N/A
"
"Holtzman, Caren Lynn","
EDS 128B - Intro/Teaching&Learning (Elem) (A)
",SP14,36,"
34
","
100.0%
","
93.9%
","
5.05
","
A- (3.72)
","
B+ (3.67)
"
"Bresser, Bernard George","
EDS 128B - Intro/Teaching&Learning (Elem) (A)
",S313,23,"
6
","
83.3%
","
83.3%
","
16.50
","
A (4.00)
","
A (4.00)
"
"Holtzman, Caren Lynn","
EDS 128B - Intro/Teaching&Learning (Elem) (A)
",SP13,32,"
27
","
92.6%
","
92.6%
","
5.61
","
A- (3.88)
","
A- (3.81)
"
