Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Heinzman, Erica M.","
EDS 129C - Intro/Teach&Learn (Secondary) (A)
",SP22,43,"
26
","
100.0%
","
100.0%
","
4.58
","
A- (3.84)
","
A- (3.98)
"
"Heinzman, Erica M.","
EDS 129C - Intro/Teach&Learn (Secondary) (A)
",SP21,41,"
25
","
96.0%
","
96.0%
","
4.82
","
A (4.00)
","
A- (3.95)
"
"Heinzman, Erica M.","
EDS 129C - Intro/Teach&Learn (Secondary) (A)
",SP20,45,"
18
","
100.0%
","
100.0%
","
4.28
","
A- (3.94)
","
A (4.00)
"
"Heinzman, Erica M.","
EDS 129C - Intro/Teach&Learn (Secondary) (A)
",SP19,61,"
55
","
98.1%
","
98.1%
","
4.24
","
A- (3.98)
","
A- (3.96)
"
"Heinzman, Erica M.","
EDS 129C - Intro/Teach&Learn (Secondary) (A)
",SP18,49,"
43
","
100.0%
","
100.0%
","
4.78
","
A- (3.93)
","
A- (3.95)
"
"Heinzman, Erica M.","
EDS 129C - Intro/Teach&Learn (Secondary) (A)
",SP17,50,"
40
","
100.0%
","
97.1%
","
4.80
","
A- (3.94)
","
A- (3.92)
"
"Halter, Christopher P.","
EDS 129C - Intro/Teach&Learn (Secondary) (A)
",SP16,67,"
26
","
96.0%
","
100.0%
","
3.22
","
A- (3.96)
","
A- (3.95)
"
"Halter, Christopher P.","
EDS 129C - Intro/Teach&Learn (Secondary) (A)
",SP15,47,"
18
","
100.0%
","
100.0%
","
3.83
","
A- (3.93)
","
A- (3.92)
"
"Halter, Christopher P.","
EDS 129C - Intro/Teach&Learn (Secondary) (A)
",SP14,39,"
13
","
100.0%
","
100.0%
","
5.27
","
B+ (3.67)
","
A- (3.90)
"
"Butler, Elizabeth Annette","
EDS 129C - Intro/Teach&Learn (Secondary) (A)
",SP13,37,"
28
","
82.1%
","
78.6%
","
6.00
","
B+ (3.64)
","
B+ (3.51)
"
