Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Bussey, Thomas J","
EDS 31 - Introductn to Teaching Science (A)
",SP23,9,"
3
","
100.0%
","
100.0%
","
4.50
","
B (3.00)
","
N/A
"
"Bussey, Thomas J","
EDS 31 - Introductn to Teaching Science (A)
",FA22,8,"
4
","
100.0%
","
100.0%
","
2.50
","
A- (3.75)
","
N/A
"
"Bussey, Thomas J","
EDS 31 - Introductn to Teaching Science (A)
",SP22,10,"
5
","
100.0%
","
100.0%
","
3.70
","
B (3.20)
","
N/A
"
"Bussey, Thomas J","
EDS 31 - Introductn to Teaching Science (A)
",FA20,6,"
4
","
100.0%
","
100.0%
","
4.00
","
A (4.00)
","
N/A
"
"Bussey, Thomas J","
EDS 31 - Introductn to Teaching Science (A)
",SP20,10,"
4
","
100.0%
","
100.0%
","
2.50
","
B (3.25)
","
N/A
"
"Bussey, Thomas J","
EDS 31 - Introductn to Teaching Science (A)
",SP19,7,"
5
","
100.0%
","
100.0%
","
3.30
","
A- (3.80)
","
N/A
"
"Bussey, Thomas J","
EDS 31 - Introductn to Teaching Science (A)
",SP17,9,"
3
","
100.0%
","
100.0%
","
3.83
","
A (4.00)
","
N/A
"
"Bussey, Thomas J","
EDS 31 - Introductn to Teaching Science (A)
",FA16,5,"
3
","
100.0%
","
100.0%
","
3.83
","
A (4.00)
","
N/A
"
"Bussey, Thomas J","
EDS 31 - Introductn to Teaching Science (A)
",SP16,3,"
3
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Bussey, Thomas J","
EDS 31 - Introductn to Teaching Science (A)
",WI16,9,"
7
","
85.7%
","
100.0%
","
1.93
","
A (4.00)
","
N/A
"
"Czworkowski, John","
EDS 31 - Introductn to Teaching Science (A)
",SP13,12,"
3
","
66.7%
","
100.0%
","
3.83
","
B+ (3.33)
","
N/A
"
"Czworkowski, John                  ","
EDS 31 - Introductn to Teaching Science (A)
",WI10,15,"
8
","
87.5%
","
100.0%
","
3.93
","
N/A
","
N/A
"
"Czworkowski, John                  ","
EDS 31 - Introductn to Teaching Science (A)
",SP09,13,"
12
","
100.0%
","
100.0%
","
3.00
","
N/A
","
N/A
"
"Czworkowski, John","
EDS 31 - Introductn to Teaching Science (A)
",WI09,18,"
16
","
100.0%
","
93.3%
","
2.88
","
N/A
","
N/A
"
"Czworkowski, John             ","
EDS 31 - Introductn to Teaching Science (A)
",SP08,9,"
9
","
88.9%
","
100.0%
","
2.06
","
N/A
","
N/A
"
"Czworkowski, John             ","
EDS 31 - Introductn to Teaching Science (A)
",WI08,11,"
11
","
100.0%
","
100.0%
","
3.05
","
N/A
","
N/A
"
