Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Bauer, Holly Jean","
ELWR 2A - Entry Level Writing 2A (0)
",SP17,8,"
8
","
100.0%
","
100.0%
","
6.25
","
B+ (3.50)
","
N/A
"
"Ajo, Frances Margaret","
ELWR 2A - Entry Level Writing 2A (0)
",WI17,23,"
23
","
77.3%
","
95.5%
","
6.86
","
A- (3.77)
","
N/A
"
"Babcock, Joseph Diliberto","
ELWR 2A - Entry Level Writing 2A (0)
",WI17,12,"
11
","
100.0%
","
100.0%
","
6.14
","
B+ (3.64)
","
N/A
"
"Jacobs, Jenean C","
ELWR 2A - Entry Level Writing 2A (0)
",WI17,25,"
23
","
73.9%
","
100.0%
","
6.50
","
B+ (3.59)
","
N/A
"
"Krizovensky, Jaclyn A","
ELWR 2A - Entry Level Writing 2A (0)
",WI17,26,"
23
","
52.2%
","
60.9%
","
10.07
","
B+ (3.33)
","
N/A
"
"McCarthy, Jenna L","
ELWR 2A - Entry Level Writing 2A (0)
",WI17,27,"
15
","
64.3%
","
100.0%
","
6.21
","
B+ (3.64)
","
N/A
"
"Miller, Ronald Samuel","
ELWR 2A - Entry Level Writing 2A (0)
",WI17,30,"
30
","
93.3%
","
100.0%
","
6.90
","
A- (3.87)
","
N/A
"
"Picciotto, Madeleine","
ELWR 2A - Entry Level Writing 2A (0)
",WI17,29,"
29
","
86.2%
","
100.0%
","
8.43
","
B+ (3.57)
","
N/A
"
"Steinberg, Stacy A","
ELWR 2A - Entry Level Writing 2A (0)
",WI17,27,"
23
","
87.0%
","
100.0%
","
5.46
","
A- (3.73)
","
N/A
"
"Tessier, Jillian Marie","
ELWR 2A - Entry Level Writing 2A (0)
",WI17,29,"
23
","
95.7%
","
100.0%
","
6.05
","
A- (3.72)
","
N/A
"
"To, Rose","
ELWR 2A - Entry Level Writing 2A (0)
",WI17,24,"
13
","
83.3%
","
91.7%
","
6.67
","
B+ (3.56)
","
N/A
"
"Twohig, Niall Ivan","
ELWR 2A - Entry Level Writing 2A (0)
",WI17,25,"
22
","
95.5%
","
100.0%
","
5.68
","
B+ (3.58)
","
N/A
"
"Wilson, Natalie Ann","
ELWR 2A - Entry Level Writing 2A (0)
",WI17,24,"
19
","
72.2%
","
88.9%
","
7.50
","
B+ (3.58)
","
N/A
"
"Bauer, Holly Jean","
ELWR 2A - Entry Level Writing 2A (0)
",FA16,14,"
12
","
90.9%
","
100.0%
","
5.23
","
B+ (3.40)
","
N/A
"
"Christie, Veronica Ann","
ELWR 2A - Entry Level Writing 2A (0)
",FA16,28,"
20
","
86.7%
","
93.3%
","
7.43
","
A- (3.73)
","
N/A
"
"Gocsik, Karen Marie","
ELWR 2A - Entry Level Writing 2A (0)
",FA16,15,"
15
","
93.3%
","
100.0%
","
4.77
","
A- (3.71)
","
N/A
"
"Gonzales, Paulina Margarita","
ELWR 2A - Entry Level Writing 2A (0)
",FA16,30,"
27
","
73.1%
","
96.2%
","
6.19
","
B+ (3.64)
","
N/A
"
"Thompson, Tyler William","
ELWR 2A - Entry Level Writing 2A (0)
",FA16,15,"
9
","
100.0%
","
100.0%
","
5.25
","
A- (3.83)
","
N/A
"
"Tsurska, Olena Anatoliyivn","
ELWR 2A - Entry Level Writing 2A (0)
",FA16,30,"
30
","
90.0%
","
100.0%
","
7.50
","
B+ (3.65)
","
N/A
"
