Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Ajo, Frances Margaret","
ELWR 2B - Entry Level Writing 2B (0)
",SP17,22,"
17
","
75.0%
","
87.5%
","
9.88
","
A- (3.78)
","
C+ (2.52)
"
"Babcock, Joseph Diliberto","
ELWR 2B - Entry Level Writing 2B (0)
",SP17,10,"
9
","
100.0%
","
100.0%
","
6.28
","
A- (3.71)
","
N/A
"
"Jacobs, Jenean C","
ELWR 2B - Entry Level Writing 2B (0)
",SP17,24,"
19
","
68.4%
","
89.5%
","
6.82
","
B+ (3.39)
","
B (3.07)
"
"Krizovensky, Jaclyn A","
ELWR 2B - Entry Level Writing 2B (0)
",SP17,26,"
25
","
80.0%
","
80.0%
","
9.54
","
C+ (2.50)
","
C+ (2.61)
"
"McCarthy, Jenna L","
ELWR 2B - Entry Level Writing 2B (0)
",SP17,23,"
21
","
81.0%
","
100.0%
","
7.74
","
B+ (3.64)
","
B- (2.84)
"
"Miller, Ronald Samuel","
ELWR 2B - Entry Level Writing 2B (0)
",SP17,29,"
28
","
71.4%
","
92.9%
","
7.14
","
A- (3.78)
","
B+ (3.37)
"
"Picciotto, Madeleine","
ELWR 2B - Entry Level Writing 2B (0)
",SP17,29,"
29
","
86.2%
","
100.0%
","
9.26
","
B+ (3.32)
","
B- (2.83)
"
"Steinberg, Stacy A","
ELWR 2B - Entry Level Writing 2B (0)
",SP17,25,"
22
","
77.3%
","
100.0%
","
5.55
","
B+ (3.50)
","
B- (2.78)
"
"Tessier, Jillian Marie","
ELWR 2B - Entry Level Writing 2B (0)
",SP17,27,"
27
","
81.5%
","
100.0%
","
6.20
","
B+ (3.47)
","
B- (2.93)
"
"To, Rose","
ELWR 2B - Entry Level Writing 2B (0)
",SP17,22,"
13
","
76.9%
","
92.3%
","
8.00
","
B+ (3.38)
","
C+ (2.49)
"
"Twohig, Niall Ivan","
ELWR 2B - Entry Level Writing 2B (0)
",SP17,21,"
20
","
80.0%
","
100.0%
","
6.40
","
B+ (3.47)
","
B (3.18)
"
"Wilson, Natalie Ann","
ELWR 2B - Entry Level Writing 2B (0)
",SP17,24,"
23
","
69.6%
","
95.7%
","
8.67
","
B (3.23)
","
C+ (2.59)
"
"Bauer, Holly Jean","
ELWR 2B - Entry Level Writing 2B (0)
",WI17,14,"
11
","
81.8%
","
90.9%
","
7.10
","
B (3.22)
","
N/A
"
"Christie, Veronica Ann","
ELWR 2B - Entry Level Writing 2B (0)
",WI17,28,"
24
","
75.0%
","
95.8%
","
7.33
","
B+ (3.48)
","
C+ (2.64)
"
"Gocsik, Karen Marie","
ELWR 2B - Entry Level Writing 2B (0)
",WI17,15,"
15
","
80.0%
","
100.0%
","
6.77
","
B (3.22)
","
N/A
"
"Gonzales, Paulina Margarita","
ELWR 2B - Entry Level Writing 2B (0)
",WI17,29,"
27
","
74.1%
","
88.9%
","
6.87
","
B+ (3.30)
","
B- (2.90)
"
"Thompson, Tyler William","
ELWR 2B - Entry Level Writing 2B (0)
",WI17,15,"
8
","
100.0%
","
100.0%
","
5.50
","
A- (3.80)
","
N/A
"
"Tsurska, Olena Anatoliyivn","
ELWR 2B - Entry Level Writing 2B (0)
",WI17,30,"
30
","
86.7%
","
100.0%
","
7.77
","
B+ (3.42)
","
C+ (2.56)
"
