Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Williams, Ebonee P.","
ENG 100A - Team Engineering (A)
",FA16,10,"
3
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Tu, Charles","
ENG 100A - Team Engineering (A)
",SP14,43,"
8
","
85.7%
","
42.9%
","
5.93
","
A- (3.71)
","
N/A
"
"Reynante, Brandon Marcellino","
ENG 100A - Team Engineering (B)
",SP14,47,"
45
","
95.6%
","
95.6%
","
3.52
","
A- (3.83)
","
B+ (3.66)
"
"Bratton, Maryann","
ENG 100A - Team Engineering (A)
",WI14,52,"
46
","
91.3%
","
97.8%
","
4.50
","
A- (3.76)
","
B+ (3.63)
"
"Reynante, Brandon Marcellino","
ENG 100A - Team Engineering (B)
",WI14,30,"
9
","
100.0%
","
88.9%
","
2.72
","
A- (3.89)
","
B+ (3.60)
"
"Bratton, Maryann","
ENG 100A - Team Engineering (A)
",FA13,36,"
31
","
100.0%
","
93.5%
","
3.92
","
A- (3.77)
","
B+ (3.64)
"
"Bratton, Maryann","
ENG 100A - Team Engineering (B)
",FA13,36,"
30
","
86.2%
","
86.2%
","
3.60
","
A- (3.79)
","
B+ (3.64)
"
"Tu, Charles","
ENG 100A - Team Engineering (A)
",SP13,40,"
8
","
100.0%
","
87.5%
","
4.50
","
A- (3.75)
","
B+ (3.40)
"
"Bratton, Maryann","
ENG 100A - Team Engineering (B)
",SP13,41,"
8
","
87.5%
","
87.5%
","
3.93
","
A- (3.86)
","
A- (3.81)
"
"Bratton, Maryann","
ENG 100A - Team Engineering (A)
",WI13,43,"
17
","
62.5%
","
62.5%
","
4.00
","
B+ (3.63)
","
A- (3.71)
"
"Bratton, Maryann","
ENG 100A - Team Engineering (B)
",WI13,34,"
13
","
100.0%
","
100.0%
","
5.59
","
A- (3.83)
","
A- (3.71)
"
"Bratton, Maryann","
ENG 100A - Team Engineering (A)
",FA12,36,"
20
","
94.4%
","
100.0%
","
5.39
","
A- (3.72)
","
B+ (3.63)
"
"Bratton, Maryann","
ENG 100A - Team Engineering (B)
",FA12,35,"
17
","
57.1%
","
85.7%
","
5.42
","
B+ (3.67)
","
B+ (3.63)
"
"Bratton, Maryann                   ","
ENG 100A - Principles of Team Engineering (A)
",FA09,40,"
34
","
84.8%
","
84.4%
","
3.50
","
B+ (3.66)
","
B+ (3.58)
"
"Tu, Charles                        ","
ENG 100A - Principles of Team Engineering (A)
",SP09,31,"
20
","
78.9%
","
100.0%
","
3.87
","
B+ (3.63)
","
B+ (3.47)
"
"Bratton, Maryann","
ENG 100A - Principles of Team Engineering (A)
",WI09,47,"
37
","
91.7%
","
88.9%
","
2.66
","
A- (3.73)
","
B+ (3.54)
"
"Bratton, Maryann                   ","
ENG 100A - Principles of Team Engineering (A)
",SP08,40,"
33
","
78.8%
","
87.9%
","
2.98
","
A- (3.84)
","
A- (3.76)
"
"Mah, Silvia Armitano          ","
ENG 100A - Principles of Team Engineering (A)
",FA07,39,"
34
","
75.0%
","
96.9%
","
2.92
","
B+ (3.62)
","
B+ (3.50)
"
