Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Williams, Ebonee P.","
ENG 100B - Engineering Leadership (A)
",WI20,21,"
6
","
100.0%
","
100.0%
","
1.30
","
A (4.00)
","
A (4.00)
"
"Williams, Ebonee P.","
ENG 100B - Engineering Leadership (A)
",WI19,19,"
5
","
100.0%
","
100.0%
","
0.50
","
A (4.00)
","
N/A
"
"Williams, Ebonee P.","
ENG 100B - Engineering Leadership (A)
",WI18,15,"
6
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Williams, Ebonee P.","
ENG 100B - Engineering Leadership (B)
",WI17,30,"
9
","
85.7%
","
85.7%
","
1.64
","
A (4.00)
","
A- (3.84)
"
"Eremenko, Svetlana","
ENG 100B - Engineering Leadership (A)
",SP16,19,"
7
","
83.3%
","
100.0%
","
2.83
","
A- (3.83)
","
N/A
"
"Eremenko, Svetlana","
ENG 100B - Engineering Leadership (A)
",WI16,24,"
9
","
66.7%
","
88.9%
","
1.83
","
B+ (3.50)
","
A- (3.98)
"
"Eremenko, Svetlana","
ENG 100B - Engineering Leadership (A)
",SP15,9,"
5
","
100.0%
","
100.0%
","
3.00
","
A- (3.75)
","
N/A
"
"Eremenko, Svetlana","
ENG 100B - Engineering Leadership (A)
",WI15,19,"
15
","
86.7%
","
86.7%
","
4.04
","
A (4.00)
","
N/A
"
"Eremenko, Svetlana","
ENG 100B - Engineering Leadership (A)
",SP14,22,"
4
","
100.0%
","
75.0%
","
2.00
","
A (4.00)
","
A- (3.99)
"
"Eremenko, Svetlana","
ENG 100B - Engineering Leadership (A)
",WI14,16,"
6
","
100.0%
","
100.0%
","
2.17
","
A (4.00)
","
N/A
"
"Eremenko, Svetlana","
ENG 100B - Engineering Leadership (A)
",WI13,14,"
8
","
100.0%
","
100.0%
","
2.50
","
A- (3.75)
","
N/A
"
