Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Ngo, Anh-Thu T.","
ENG 100D - Sustainable Development Design (A)
",SP23,54,"
40
","
95.0%
","
97.5%
","
4.60
","
A- (3.87)
","
B+ (3.65)
"
"Ngo, Anh-Thu T.","
ENG 100D - Sustainable Development Design (A)
",WI23,44,"
30
","
96.7%
","
100.0%
","
5.10
","
A- (3.83)
","
A- (3.71)
"
"Ngo, Anh-Thu T.","
ENG 100D - Design for Development (A)
",FA22,46,"
18
","
83.3%
","
88.9%
","
4.83
","
A- (3.89)
","
A- (3.88)
"
"Ngo, Anh-Thu T.","
ENG 100D - Design for Development (B)
",FA22,46,"
15
","
80.0%
","
93.3%
","
4.10
","
A- (3.87)
","
A- (3.86)
"
"Mancinelli, Ryan Mark","
ENG 100D - Design for Development (A)
",SP22,44,"
18
","
55.6%
","
61.1%
","
5.17
","
A- (3.75)
","
A- (3.71)
"
"Ngo, Anh-Thu T.","
ENG 100D - Design for Development (B)
",SP22,52,"
41
","
85.4%
","
95.0%
","
4.50
","
A- (3.76)
","
B+ (3.57)
"
"Ngo, Anh-Thu T.","
ENG 100D - Design for Development (A)
",WI22,51,"
41
","
87.5%
","
92.5%
","
5.47
","
A- (3.82)
","
B+ (3.70)
"
"Ngo, Anh-Thu T.","
ENG 100D - Design for Development (B)
",WI22,20,"
16
","
100.0%
","
100.0%
","
5.43
","
A- (3.93)
","
A- (3.74)
"
"Mancinelli, Ryan Mark","
ENG 100D - Design for Development (A)
",FA21,48,"
24
","
81.8%
","
90.9%
","
9.11
","
A- (3.70)
","
A- (3.81)
"
"Ngo, Anh-Thu T.","
ENG 100D - Design for Development (B)
",FA21,48,"
42
","
95.2%
","
97.6%
","
4.88
","
A- (3.79)
","
A- (3.76)
"
"Mancinelli, Ryan Mark","
ENG 100D - Design for Development (A)
",SP21,43,"
11
","
81.8%
","
90.9%
","
6.90
","
B+ (3.64)
","
A- (3.80)
"
"Ngo, Anh-Thu T.","
ENG 100D - Design for Development (B)
",SP21,48,"
24
","
91.3%
","
87.0%
","
7.33
","
A- (3.79)
","
A- (3.79)
"
"Mancinelli, Ryan Mark","
ENG 100D - Design for Development (A)
",WI21,43,"
12
","
83.3%
","
83.3%
","
9.00
","
A- (3.82)
","
A- (3.90)
"
"Ngo, Anh-Thu T.","
ENG 100D - Design for Development (B)
",WI21,31,"
13
","
75.0%
","
91.7%
","
6.17
","
B+ (3.58)
","
B+ (3.37)
"
"Mancinelli, Ryan Mark","
ENG 100D - Design for Development (A)
",FA20,41,"
13
","
92.3%
","
92.3%
","
9.42
","
A- (3.77)
","
B+ (3.65)
"
"Ngo, Anh-Thu T.","
ENG 100D - Design for Development (B)
",FA20,14,"
9
","
100.0%
","
100.0%
","
5.50
","
A- (3.88)
","
N/A
"
"Mancinelli, Ryan Mark","
ENG 100D - Design for Development (A)
",SP20,54,"
23
","
91.3%
","
95.7%
","
8.59
","
A- (3.71)
","
A- (3.83)
"
"Ngo, Anh-Thu T.","
ENG 100D - Design for Development (B)
",SP20,40,"
12
","
100.0%
","
91.7%
","
5.83
","
A- (3.90)
","
A- (3.71)
"
"Mancinelli, Ryan Mark","
ENG 100D - Design for Development (A)
",WI20,55,"
27
","
92.6%
","
96.3%
","
8.80
","
A- (3.70)
","
A- (3.84)
"
"Ngo, Anh-Thu T.","
ENG 100D - Design for Development (B)
",WI20,59,"
25
","
80.0%
","
76.0%
","
5.46
","
B+ (3.68)
","
B+ (3.65)
"
"Mancinelli, Ryan Mark","
ENG 100D - Design for Development (A)
",FA19,58,"
22
","
90.9%
","
100.0%
","
7.14
","
A- (3.76)
","
A- (3.83)
"
"Ngo, Anh-Thu T.","
ENG 100D - Design for Development (B)
",FA19,39,"
22
","
54.5%
","
59.1%
","
6.23
","
B (3.27)
","
B+ (3.39)
"
"Ngo, Anh-Thu T.","
ENG 100D - Design for Development (D)
",FA19,18,"
9
","
100.0%
","
100.0%
","
4.28
","
A (4.00)
","
N/A
"
"Mancinelli, Ryan Mark","
ENG 100D - Design for Development (D)
",SP19,48,"
19
","
100.0%
","
100.0%
","
8.50
","
A (4.00)
","
A- (3.77)
"
