Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Coimbra, Carlos F.","
ENG 3 - Orientation to Engineering III (B)
",SP16,34,"
13
","
100.0%
","
100.0%
","
0.90
","
N/A
","
N/A
"
"Hayden, Marina Calvet","
ENG 3 - Orientation to Engineering III (A)
",SP15,16,"
4
","
100.0%
","
100.0%
","
0.50
","
N/A
","
N/A
"
"Coimbra, Carlos F.","
ENG 3 - Orientation to Engineering III (B)
",SP15,35,"
12
","
100.0%
","
100.0%
","
1.10
","
N/A
","
N/A
"
"Hayden, Marina Calvet","
ENG 3 - Orientation to Engineering III (A)
",SP14,19,"
12
","
91.7%
","
100.0%
","
2.00
","
A (4.00)
","
N/A
"
"Coimbra, Carlos F.","
ENG 3 - Orientation to Engineering III (B)
",SP14,11,"
3
","
100.0%
","
66.7%
","
0.50
","
N/A
","
N/A
"
"Coimbra, Carlos F.","
ENG 3 - Orientation to Engineering III (D)
",SP14,29,"
12
","
80.0%
","
90.0%
","
1.36
","
A (4.00)
","
N/A
"
"Hayden, Marina Calvet","
ENG 3 - Orientation to Engineering III (A)
",SP13,43,"
20
","
89.5%
","
100.0%
","
0.50
","
N/A
","
N/A
"
"Hayden, Marina Calvet              ","
ENG 3 - MESA Orientation Course        (A)
",SP11,6,"
5
","
100.0%
","
100.0%
","
0.50
","
A (4.00)
","
N/A
"
"HAYDEN, MARINA                     ","
ENG 3 - MESA Orientation Course        (A)
",SP10,7,"
6
","
100.0%
","
100.0%
","
0.50
","
N/A
","
N/A
"
"HAYDEN, MARINA                     ","
ENG 3 - MESA Orientation Course        (A)
",SP09,9,"
7
","
100.0%
","
100.0%
","
0.50
","
N/A
","
N/A
"
"HAYDEN, MARINA                ","
ENG 3 - MESA Orientation Course        (A)
",SP08,6,"
5
","
100.0%
","
100.0%
","
0.50
","
A (4.00)
","
N/A
"
