Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Herbst, Matthew","
ENVR 87 - Freshman Seminar (A)
",WI22,14,"
9
","
100.0%
","
100.0%
","
1.39
","
A (4.00)
","
N/A
"
"Herbst, Matthew","
ENVR 87 - Freshman Seminar (B)
",WI22,15,"
12
","
100.0%
","
100.0%
","
0.67
","
A (4.00)
","
N/A
"
"Herbst, Matthew","
ENVR 87 - Freshman Seminar (A)
",FA21,18,"
16
","
100.0%
","
100.0%
","
0.63
","
A (4.00)
","
N/A
"
"Herbst, Matthew","
ENVR 87 - Freshman Seminar (A)
",SP21,9,"
3
","
100.0%
","
100.0%
","
1.17
","
N/A
","
N/A
"
"Herbst, Matthew","
ENVR 87 - Freshman Seminar (A)
",WI21,19,"
12
","
100.0%
","
100.0%
","
1.50
","
A (4.00)
","
N/A
"
"Herbst, Matthew","
ENVR 87 - Freshman Seminar (A)
",FA20,19,"
16
","
93.3%
","
100.0%
","
0.88
","
A (4.00)
","
N/A
"
"Herbst, Matthew","
ENVR 87 - Freshman Seminar (A)
",WI20,15,"
7
","
100.0%
","
100.0%
","
1.36
","
A (4.00)
","
N/A
"
"Herbst, Matthew","
ENVR 87 - Freshman Seminar (A)
",FA19,9,"
5
","
100.0%
","
100.0%
","
2.10
","
A (4.00)
","
N/A
"
"Herbst, Matthew","
ENVR 87 - Freshman Seminar (B)
",FA19,14,"
10
","
100.0%
","
100.0%
","
1.17
","
A (4.00)
","
N/A
"
"Herbst, Matthew","
ENVR 87 - Freshman Seminar (A)
",SP19,13,"
6
","
100.0%
","
100.0%
","
1.17
","
A (4.00)
","
N/A
"
"Herbst, Matthew","
ENVR 87 - Freshman Seminar (B)
",SP19,14,"
9
","
100.0%
","
100.0%
","
0.72
","
N/A
","
N/A
"
"Hunefeldt, Christine","
ENVR 87 - Freshman Seminar (A)
",WI15,10,"
3
","
66.7%
","
66.7%
","
0.50
","
N/A
","
N/A
"
"Kleissl, Jan                       ","
ENVR 87 - Freshman Seminar               (A)
",WI10,9,"
6
","
100.0%
","
100.0%
","
0.90
","
A (4.00)
","
N/A
"
"Wastal, Carrie King                ","
ENVR 87 - Freshman Seminar               (A)
",SP09,12,"
11
","
100.0%
","
100.0%
","
1.77
","
N/A
","
N/A
"
"Linden, Paul F.","
ENVR 87 - Freshman Seminar               (A)
",WI09,13,"
12
","
91.7%
","
90.9%
","
2.50
","
A (4.00)
","
N/A
"
"Shaffer, Lisa Robock               ","
ENVR 87 - Freshman Seminar               (A)
",WI09,13,"
12
","
91.7%
","
90.9%
","
2.50
","
A (4.00)
","
N/A
"
