Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Evans, Ivan T","
ERC 192A - Global Service Prep Seminar (A)
",WI20,10,"
6
","
83.3%
","
66.7%
","
2.50
","
A (4.00)
","
N/A
"
"Evans, Ivan T","
ERC 192A - Global Service Prep Seminar (A)
",WI19,14,"
5
","
100.0%
","
75.0%
","
2.50
","
A (4.00)
","
N/A
"
"Evans, Ivan T","
ERC 192A - Global Service Prep Seminar (A)
",WI18,26,"
15
","
85.7%
","
78.6%
","
1.64
","
B+ (3.50)
","
B+ (3.59)
"
"Evans, Ivan T","
ERC 192A - Global Service Prep Seminar (A)
",WI17,14,"
4
","
100.0%
","
75.0%
","
0.50
","
A (4.00)
","
N/A
"
"Murillo, Dana V.","
ERC 192A - Global Service Prep Seminar (A)
",WI16,9,"
4
","
100.0%
","
100.0%
","
2.00
","
A (4.00)
","
N/A
"
"Parra, Max","
ERC 192A - Global Service Prep Seminar (A)
",WI15,13,"
6
","
100.0%
","
100.0%
","
2.10
","
A- (3.80)
","
N/A
"
"Escudero, Andrew Mario","
ERC 192A - Global Service Prep Seminar (A)
",WI14,13,"
9
","
77.8%
","
55.6%
","
1.83
","
A- (3.80)
","
N/A
"
"Herbst, Matthew","
ERC 192A - Global Service Prep Seminar (B)
",WI14,14,"
10
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Porter, Lisa","
ERC 192A - Global Service Prep Seminar (B)
",WI14,14,"
11
","
100.0%
","
100.0%
","
4.14
","
A- (3.90)
","
N/A
"
"Herbst, Matthew","
ERC 192A - Global Service Prep Seminar (A)
",WI13,15,"
14
","
100.0%
","
100.0%
","
4.79
","
B+ (3.67)
","
N/A
"
