Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Herbst, Matthew","
ERC 87 - Freshman Seminar (A)
",FA21,14,"
9
","
100.0%
","
100.0%
","
0.94
","
A (4.00)
","
N/A
"
"Herbst, Matthew","
ERC 87 - Freshman Seminar (A)
",SP21,20,"
12
","
91.7%
","
91.7%
","
0.50
","
A (4.00)
","
N/A
"
"Herbst, Matthew","
ERC 87 - Freshman Seminar (A)
",WI19,11,"
8
","
100.0%
","
100.0%
","
0.50
","
A (4.00)
","
N/A
"
"Herbst, Matthew","
ERC 87 - Freshman Seminar (A)
",FA18,13,"
9
","
100.0%
","
100.0%
","
1.17
","
A (4.00)
","
N/A
"
"Herbst, Matthew","
ERC 87 - Freshman Seminar (A)
",SP18,11,"
8
","
100.0%
","
100.0%
","
1.00
","
A (4.00)
","
N/A
"
"Herbst, Matthew","
ERC 87 - Freshman Seminar (B)
",WI18,7,"
7
","
100.0%
","
100.0%
","
1.64
","
A (4.00)
","
N/A
"
"Herbst, Matthew","
ERC 87 - Freshman Seminar (A)
",FA17,13,"
10
","
100.0%
","
90.0%
","
1.10
","
A (4.00)
","
N/A
"
"Herbst, Matthew","
ERC 87 - Freshman Seminar (B)
",FA17,10,"
6
","
100.0%
","
100.0%
","
1.50
","
A (4.00)
","
N/A
"
"Herbst, Matthew","
ERC 87 - Freshman Seminar (A)
",SP17,10,"
4
","
100.0%
","
100.0%
","
1.17
","
N/A
","
N/A
"
"Herbst, Matthew","
ERC 87 - Freshman Seminar (B)
",SP17,13,"
6
","
100.0%
","
100.0%
","
1.30
","
A (4.00)
","
N/A
"
"Herbst, Matthew","
ERC 87 - Freshman Seminar (A)
",WI17,6,"
5
","
100.0%
","
100.0%
","
0.90
","
N/A
","
N/A
"
"Herbst, Matthew","
ERC 87 - Freshman Seminar (B)
",WI17,12,"
6
","
100.0%
","
100.0%
","
0.83
","
N/A
","
N/A
"
"Herbst, Matthew","
ERC 87 - Freshman Seminar (A)
",FA16,9,"
6
","
100.0%
","
100.0%
","
1.17
","
N/A
","
N/A
"
"Herbst, Matthew","
ERC 87 - Freshman Seminar (B)
",FA16,9,"
8
","
100.0%
","
100.0%
","
0.50
","
N/A
","
N/A
"
"Herbst, Matthew","
ERC 87 - Freshman Seminar (A)
",FA15,11,"
10
","
90.0%
","
90.0%
","
1.30
","
A (4.00)
","
N/A
"
"Herbst, Matthew","
ERC 87 - Freshman Seminar (A)
",SP15,9,"
6
","
100.0%
","
100.0%
","
1.70
","
N/A
","
N/A
"
"Herbst, Matthew","
ERC 87 - Freshman Seminar (B)
",SP15,5,"
3
","
66.7%
","
66.7%
","
1.17
","
A (4.00)
","
N/A
"
"Herbst, Matthew","
ERC 87 - Freshman Seminar (A)
",WI15,15,"
11
","
100.0%
","
100.0%
","
2.14
","
A (4.00)
","
N/A
"
"Herbst, Matthew","
ERC 87 - Freshman Seminar (B)
",WI15,10,"
8
","
100.0%
","
100.0%
","
1.50
","
N/A
","
N/A
"
"Herbst, Matthew","
ERC 87 - Freshman Seminar (A)
",FA14,13,"
10
","
88.9%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Herbst, Matthew","
ERC 87 - Freshman Seminar (C)
",FA14,15,"
10
","
100.0%
","
100.0%
","
1.39
","
A (4.00)
","
N/A
"
"Herbst, Matthew","
ERC 87 - Freshman Seminar (A)
",SP14,13,"
10
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Herbst, Matthew","
ERC 87 - Freshman Seminar (B)
",SP14,16,"
13
","
100.0%
","
100.0%
","
3.27
","
N/A
","
N/A
"
