Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Aluwihare, Lihini","
ESYS 10 - Intro to Environmental Systems (A)
",SP23,67,"
26
","
92.0%
","
88.0%
","
2.98
","
B+ (3.61)
","
B+ (3.42)
"
"Aluwihare, Lihini","
ESYS 10 - Intro to Environmental Systems (A)
",SP22,64,"
18
","
83.3%
","
100.0%
","
3.17
","
A- (3.89)
","
A- (3.82)
"
"Aluwihare, Lihini","
ESYS 10 - Intro to Environmental Systems (A)
",SP21,58,"
17
","
100.0%
","
100.0%
","
3.79
","
A- (3.76)
","
A- (3.71)
"
"Aluwihare, Lihini","
ESYS 10 - Intro to Environmental Systems (A)
",SP20,39,"
12
","
100.0%
","
100.0%
","
5.33
","
B+ (3.44)
","
B+ (3.59)
"
"Aluwihare, Lihini","
ESYS 10 - Intro to Environmental Systems (A)
",SP19,31,"
13
","
69.2%
","
84.6%
","
3.50
","
B+ (3.45)
","
A- (3.71)
"
"Teranes, Jane","
ESYS 10 - Intro to Environmental Systems (A)
",FA17,57,"
28
","
92.6%
","
92.6%
","
3.09
","
A- (3.75)
","
B+ (3.62)
"
"Cramer, Katie Lynn","
ESYS 10 - Intro to Environmental Systems (A)
",SP16,35,"
27
","
96.3%
","
100.0%
","
3.24
","
B (3.29)
","
B (3.26)
"
"Haymet, Anthony","
ESYS 10 - Intro to Environmental Systems (A)
",SP16,33,"
25
","
96.0%
","
56.0%
","
3.30
","
B (3.23)
","
B (3.26)
"
"Haymet, Anthony","
ESYS 10 - Intro to Environmental Systems (A)
",WI15,57,"
30
","
75.9%
","
69.0%
","
3.79
","
B (3.11)
","
B (3.09)
"
"Haymet, Anthony","
ESYS 10 - Intro to Environmental Systems (A)
",WI14,23,"
9
","
87.5%
","
100.0%
","
4.50
","
B (3.00)
","
B+ (3.41)
"
"Eckles, Megan Alma","
ESYS 10 - Intro to Environmental Systems (A)
",WI13,47,"
30
","
100.0%
","
100.0%
","
3.21
","
B+ (3.37)
","
B (3.10)
"
"Teranes, Jane                      ","
ESYS 10 - Intro to Environmental Systems (A)
",FA09,53,"
30
","
93.3%
","
96.7%
","
4.02
","
B+ (3.46)
","
B (3.10)
"
"Teranes, Jane                      ","
ESYS 10 - Intro to Environmental Systems (A)
",FA08,43,"
21
","
95.2%
","
100.0%
","
3.55
","
B+ (3.33)
","
B (3.08)
"
"Charles, Christopher D.       ","
ESYS 10 - Intro to Environmental Systems (A)
",WI08,45,"
26
","
68.0%
","
76.0%
","
2.27
","
B (3.20)
","
B (3.14)
"
