Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Teranes, Jane","
ESYS 190B - Envir Sys/Senior Seminar (A)
",SP20,41,"
9
","
100.0%
","
100.0%
","
5.75
","
A (4.00)
","
A- (3.96)
"
"Teranes, Jane","
ESYS 190B - Envir Sys/Senior Seminar (B)
",SP20,37,"
7
","
85.7%
","
71.4%
","
5.36
","
B+ (3.57)
","
A- (3.91)
"
"Teranes, Jane","
ESYS 190B - Envir Sys/Senior Seminar (A)
",SP19,57,"
11
","
100.0%
","
100.0%
","
9.05
","
A- (3.91)
","
A- (3.91)
"
"Teranes, Jane","
ESYS 190B - Envir Sys/Senior Seminar (A)
",SP18,54,"
11
","
100.0%
","
100.0%
","
4.14
","
A- (3.82)
","
A- (3.90)
"
"Teranes, Jane","
ESYS 190B - Envir Sys/Senior Seminar (A)
",SP17,42,"
10
","
100.0%
","
100.0%
","
4.06
","
A- (3.88)
","
A- (3.91)
"
"Teranes, Jane","
ESYS 190B - Envir Sys/Senior Seminar (A)
",SP16,40,"
22
","
95.2%
","
100.0%
","
6.50
","
A- (3.95)
","
A- (3.78)
"
"Eckles, Megan Alma","
ESYS 190B - Envir Sys/Senior Seminar (A)
",S115,8,"
3
","
66.7%
","
100.0%
","
9.17
","
A (4.00)
","
N/A
"
"Teranes, Jane","
ESYS 190B - Envir Sys/Senior Seminar (A)
",SP15,21,"
12
","
100.0%
","
100.0%
","
8.68
","
A- (3.80)
","
A- (3.95)
"
"Teranes, Jane","
ESYS 190B - Envir Sys/Senior Seminar (B)
",SP15,20,"
9
","
100.0%
","
100.0%
","
5.39
","
A- (3.86)
","
A- (3.95)
"
"Eckles, Megan Alma","
ESYS 190B - Envir Sys/Senior Seminar (A)
",S114,19,"
4
","
100.0%
","
100.0%
","
11.50
","
A (4.00)
","
N/A
"
"Eckles, Megan Alma","
ESYS 190B - Envir Sys/Senior Seminar (A)
",SP14,41,"
23
","
91.3%
","
95.7%
","
6.14
","
A- (3.95)
","
A (4.00)
"
"Carilli, Jessica Elizabeth","
ESYS 190B - Envir Sys/Senior Seminar (B)
",SP14,30,"
12
","
100.0%
","
100.0%
","
7.05
","
A- (3.82)
","
A- (3.82)
"
"Chapple, Steve","
ESYS 190B - Envir Sys/Senior Seminar (A)
",S113,23,"
5
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
A- (3.96)
"
"Teranes, Jane","
ESYS 190B - Envir Sys/Senior Seminar (A)
",SP13,35,"
15
","
100.0%
","
100.0%
","
6.37
","
A (4.00)
","
A- (3.89)
"
"Eckles, Megan Alma","
ESYS 190B - Envir Sys/Senior Seminar (B)
",SP13,48,"
26
","
96.2%
","
100.0%
","
4.88
","
A- (3.92)
","
A- (3.95)
"
