Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Taylor-Garcia, Daphne","
ETHN 100B - InterdisciplinaryMethodologies (A)
",WI23,23,"
15
","
93.3%
","
93.3%
","
3.43
","
A- (3.93)
","
A- (3.95)
"
"Patel, Shaista","
ETHN 100B - InterdisciplinaryMethodologies (A)
",WI22,30,"
10
","
100.0%
","
100.0%
","
6.50
","
B+ (3.63)
","
B+ (3.59)
"
"Taylor-Garcia, Daphne","
ETHN 100B - InterdisciplinaryMethodologies (A)
",WI21,23,"
7
","
71.4%
","
42.9%
","
2.50
","
A- (3.86)
","
B+ (3.62)
"
"Patel, Shaista","
ETHN 100B - InterdisciplinaryMethodologies (A)
",WI20,33,"
21
","
95.0%
","
100.0%
","
5.26
","
B (3.24)
","
B (3.13)
"
"Taylor-Garcia, Daphne","
ETHN 100B - InterdisciplinaryMethodologies (A)
",WI19,33,"
9
","
88.9%
","
88.9%
","
4.00
","
A- (3.75)
","
A- (3.81)
"
"Marez, Curtis F.","
ETHN 100B - InterdisciplinaryMethodologies (A)
",WI18,41,"
8
","
57.1%
","
66.7%
","
3.00
","
A- (3.88)
","
B+ (3.64)
"
"Vora, Kalindi","
ETHN 100B - InterdisciplinaryMethodologies (A)
",WI17,33,"
11
","
88.9%
","
100.0%
","
5.17
","
B+ (3.67)
","
B+ (3.54)
"
"Vora, Kalindi","
ETHN 100B - InterdisciplinaryMethodologies (A)
",WI16,27,"
12
","
100.0%
","
100.0%
","
7.39
","
A- (3.78)
","
A- (3.73)
"
"Vora, Kalindi","
ETHN 100B - InterdisciplinaryMethodologies (A)
",WI15,8,"
7
","
100.0%
","
100.0%
","
8.21
","
B+ (3.43)
","
N/A
"
"Streeby, Shelley","
ETHN 100B - InterdisciplinaryMethodologies (A)
",WI14,30,"
15
","
81.8%
","
72.7%
","
6.72
","
A (4.00)
","
A- (3.89)
"
