Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Vazquez, Cynthia","
ETHN 118 - Contemprary Immigration Issues (A)
",FA21,38,"
13
","
83.3%
","
100.0%
","
4.83
","
B (3.25)
","
B+ (3.57)
"
"Boston, Martin Luther","
ETHN 118 - Contemprary Immigration Issues (A)
",S121,18,"
9
","
100.0%
","
100.0%
","
6.50
","
A- (3.88)
","
N/A
"
"Huezo, Alexander D","
ETHN 118 - Contemprary Immigration Issues (A)
",FA20,37,"
14
","
100.0%
","
100.0%
","
3.79
","
A- (3.71)
","
B+ (3.33)
"
"Dorr, Kirstie A.","
ETHN 118 - Contemprary Immigration Issues (A)
",S220,23,"
7
","
100.0%
","
100.0%
","
3.93
","
A (4.00)
","
A- (3.73)
"
"Espiritu, Yen","
ETHN 118 - Contemprary Immigration Issues (A)
",WI20,47,"
15
","
100.0%
","
100.0%
","
3.97
","
A- (3.73)
","
B+ (3.56)
"
"Dorr, Kirstie A.","
ETHN 118 - Contemprary Immigration Issues (A)
",FA18,53,"
21
","
100.0%
","
100.0%
","
4.90
","
B+ (3.60)
","
A- (3.87)
"
"Kharputly, Nadeen Sh B","
ETHN 118 - Contemprary Immigration Issues (A)
",SP18,35,"
29
","
100.0%
","
100.0%
","
3.81
","
B+ (3.48)
","
B+ (3.34)
"
"Nguyen, Linh Thuy","
ETHN 118 - Contemprary Immigration Issues (A)
",WI17,16,"
5
","
100.0%
","
100.0%
","
6.50
","
B (3.25)
","
N/A
"
"Dorr, Kirstie A.","
ETHN 118 - Contemprary Immigration Issues (A)
",SP16,59,"
18
","
100.0%
","
94.4%
","
5.21
","
B+ (3.40)
","
B+ (3.52)
"
"Sisavath, Davorn","
ETHN 118 - Contemprary Immigration Issues (A)
",WI15,12,"
7
","
100.0%
","
66.7%
","
4.83
","
A- (3.83)
","
N/A
"
"Dorr, Kirstie A.","
ETHN 118 - Contemprary Immigration Issues (A)
",SP14,56,"
44
","
93.2%
","
93.2%
","
4.27
","
A- (3.72)
","
B+ (3.70)
"
"Dorr, Kirstie A.","
ETHN 118 - Contemprary Immigration Issues (A)
",SP13,52,"
16
","
100.0%
","
100.0%
","
5.38
","
A- (3.81)
","
B+ (3.67)
"
"Dorr, Kirstie A.                   ","
ETHN 118 - Contemprary Immigration Issues (A)
",FA10,60,"
29
","
93.1%
","
96.6%
","
4.86
","
B+ (3.59)
","
B+ (3.44)
"
"Garcia, Myrna                      ","
ETHN 118 - Contemprary Immigration Issues (A)
",SU10,18,"
6
","
80.0%
","
60.0%
","
4.50
","
B+ (3.60)
","
N/A
"
"Dorr, Kirstie A.                   ","
ETHN 118 - Contemprary Immigration Issues (A)
",WI10,59,"
35
","
94.3%
","
91.4%
","
6.03
","
A- (3.71)
","
B+ (3.64)
"
"Escobar, Martha D.                 ","
ETHN 118 - Contemprary Immigration Issues (A)
",SU08,12,"
11
","
90.9%
","
90.9%
","
5.30
","
B+ (3.60)
","
N/A
"
