Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Tan, Gene Brian","
FMPH 101 - Epidemiology (A)
",SP23,71,"
29
","
96.3%
","
85.2%
","
4.80
","
B+ (3.44)
","
B+ (3.43)
"
"Seifert, Marva Lynn","
FMPH 101 - Epidemiology (A)
",WI23,72,"
45
","
90.9%
","
90.9%
","
5.17
","
B+ (3.38)
","
B- (2.90)
"
"Seifert, Marva Lynn","
FMPH 101 - Epidemiology (B)
",WI23,68,"
46
","
93.2%
","
90.7%
","
5.09
","
B+ (3.55)
","
B (3.16)
"
"Brouwer, Kimberly","
FMPH 101 - Epidemiology (A)
",FA22,68,"
30
","
96.7%
","
100.0%
","
4.57
","
B+ (3.33)
","
B- (2.90)
"
"Seifert, Marva Lynn","
FMPH 101 - Epidemiology (A)
",SP22,66,"
29
","
93.1%
","
89.7%
","
5.29
","
B+ (3.32)
","
B (3.03)
"
"Bristow, Claire Catherine","
FMPH 101 - Epidemiology (A)
",WI22,67,"
29
","
100.0%
","
96.3%
","
5.39
","
B+ (3.56)
","
B (3.23)
"
"Bristow, Claire Catherine","
FMPH 101 - Epidemiology (B)
",WI22,66,"
31
","
96.7%
","
93.1%
","
5.83
","
B+ (3.50)
","
B (3.17)
"
"Brouwer, Kimberly","
FMPH 101 - Epidemiology (A)
",FA21,67,"
32
","
93.5%
","
100.0%
","
4.88
","
B+ (3.47)
","
B- (2.94)
"
"Seifert, Marva Lynn","
FMPH 101 - Epidemiology (A)
",SP21,67,"
27
","
73.1%
","
69.2%
","
7.12
","
B+ (3.32)
","
B (3.13)
"
"Bristow, Claire Catherine","
FMPH 101 - Epidemiology (A)
",WI21,63,"
48
","
95.8%
","
93.8%
","
6.13
","
B+ (3.57)
","
B+ (3.36)
"
"Brouwer, Kimberly","
FMPH 101 - Epidemiology (A)
",FA20,66,"
39
","
100.0%
","
100.0%
","
5.03
","
B (3.27)
","
B (3.25)
"
"Pines, Heather Alisa","
FMPH 101 - Epidemiology (A)
",SP20,61,"
54
","
94.4%
","
88.7%
","
5.25
","
B+ (3.36)
","
B+ (3.65)
"
"Aldelaimy, Wael","
FMPH 101 - Epidemiology (B)
",SP20,25,"
22
","
95.5%
","
77.3%
","
5.14
","
B+ (3.44)
","
B (3.08)
"
"Bristow, Claire Catherine","
FMPH 101 - Epidemiology (A)
",WI20,65,"
29
","
89.7%
","
82.8%
","
4.91
","
B+ (3.45)
","
B (3.22)
"
"Brouwer, Kimberly","
FMPH 101 - Epidemiology (A)
",FA19,65,"
40
","
95.0%
","
97.5%
","
4.90
","
B+ (3.30)
","
B (3.06)
"
"Pines, Heather Alisa","
FMPH 101 - Epidemiology (B)
",SP19,67,"
47
","
93.5%
","
89.1%
","
5.83
","
B (3.22)
","
C+ (2.67)
"
"Aldelaimy, Wael","
FMPH 101 - Epidemiology (A)
",WI19,32,"
21
","
89.5%
","
68.4%
","
4.70
","
B (3.25)
","
C+ (2.68)
"
"Brouwer, Kimberly","
FMPH 101 - Epidemiology (A)
",FA18,64,"
40
","
97.4%
","
100.0%
","
5.53
","
B+ (3.49)
","
B (3.07)
"
"Pines, Heather Alisa","
FMPH 101 - Epidemiology (A)
",SP18,62,"
52
","
100.0%
","
98.1%
","
5.27
","
B (3.21)
","
B (3.05)
"
"Suarez, Jose R","
FMPH 101 - Epidemiology (B)
",SP18,61,"
27
","
88.9%
","
85.2%
","
5.39
","
B+ (3.37)
","
B- (2.75)
"
"Aldelaimy, Wael","
FMPH 101 - Epidemiology (A)
",WI18,59,"
46
","
75.6%
","
42.2%
","
6.20
","
B- (2.93)
","
B- (2.78)
"
"Brouwer, Kimberly","
FMPH 101 - Epidemiology (A)
",FA17,69,"
57
","
100.0%
","
100.0%
","
5.59
","
B+ (3.35)
","
B (3.07)
"
