Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Hong, Suzi","
FPMU 110 - Health Behavior & Chronic Dis (A)
",SP17,68,"
66
","
89.4%
","
93.9%
","
4.28
","
B+ (3.33)
","
B (3.23)
"
"Marquez, Becky","
FPMU 110 - Health Behavior & Chronic Dis (A)
",WI17,56,"
53
","
96.2%
","
84.6%
","
4.85
","
B (3.27)
","
B- (2.76)
"
"Linke, Sarah Elizabeth","
FPMU 110 - Health Behavior & Chronic Dis (B)
",WI17,46,"
38
","
94.7%
","
97.4%
","
5.80
","
B+ (3.42)
","
B (3.16)
"
"Hartman, Sheri R","
FPMU 110 - Health Behavior & Chronic Dis (A)
",FA16,95,"
84
","
92.8%
","
91.6%
","
5.48
","
B+ (3.40)
","
B (3.22)
"
"Hartman, Sheri R","
FPMU 110 - Health Behavior & Chronic Dis (A)
",WI16,42,"
41
","
92.7%
","
92.7%
","
4.45
","
B+ (3.33)
","
B- (2.89)
"
"Hartman, Sheri R","
FPMU 110 - Health Behavior & Chronic Dis (B)
",WI16,59,"
56
","
87.5%
","
83.9%
","
4.58
","
B+ (3.35)
","
B- (2.89)
"
"Marquez, Becky","
FPMU 110 - Health Behavior & Chronic Dis (C)
",WI16,53,"
47
","
91.5%
","
89.4%
","
4.07
","
B+ (3.54)
","
B (3.00)
"
"Hong, Suzi","
FPMU 110 - Health Behavior & Chronic Dis (D)
",WI16,62,"
56
","
81.8%
","
83.6%
","
5.03
","
B (3.04)
","
B (3.24)
"
"Cummins, Sharon Elizabeth","
FPMU 110 - Health Behavior & Chronic Dis (A)
",WI15,95,"
88
","
85.1%
","
90.8%
","
4.96
","
B (3.01)
","
C+ (2.52)
"
"Marquez, Becky","
FPMU 110 - Health Behavior & Chronic Dis (A)
",WI15,94,"
88
","
85.1%
","
93.1%
","
4.96
","
B (3.01)
","
C+ (2.52)
"
"Hong, Suzi","
FPMU 110 - Health Behavior & Chronic Dis (B)
",WI15,42,"
39
","
82.1%
","
92.3%
","
5.39
","
B (3.26)
","
B (3.02)
"
"Larsen, Britta Ann","
FPMU 110 - Health Behavior & Chronic Dis (B)
",WI15,42,"
39
","
78.9%
","
94.7%
","
5.26
","
B (3.24)
","
B (3.02)
"
"Marquez, Becky","
FPMU 110 - Health Behavior & Chronic Dis (A)
",WI14,50,"
44
","
97.7%
","
93.2%
","
4.55
","
B+ (3.66)
","
B+ (3.53)
"
