Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Burgos, Jose L.","
GLBH 111 - Health Frontiers in Tijuana (A)
",SP23,15,"
5
","
100.0%
","
100.0%
","
3.30
","
A (4.00)
","
N/A
"
"Burgos, Jose L.","
GLBH 111 - Health Frontiers in Tijuana (B)
",SP23,15,"
7
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Burgos, Jose L.","
GLBH 111 - Health Frontiers in Tijuana (A)
",WI23,18,"
9
","
88.9%
","
88.9%
","
2.72
","
A (4.00)
","
N/A
"
"Burgos, Jose L.","
GLBH 111 - Health Frontiers in Tijuana (B)
",WI23,17,"
6
","
100.0%
","
100.0%
","
3.83
","
A (4.00)
","
N/A
"
"Burgos, Jose L.","
GLBH 111 - Health Frontiers in Tijuana (A)
",FA22,15,"
6
","
100.0%
","
100.0%
","
3.70
","
A (4.00)
","
N/A
"
"Burgos, Jose L.","
GLBH 111 - Health Frontiers in Tijuana (B)
",FA22,13,"
4
","
100.0%
","
100.0%
","
2.50
","
A (4.00)
","
N/A
"
"Burgos, Jose L.","
GLBH 111 - Health Frontiers in Tijuana (A)
",S222,11,"
8
","
100.0%
","
100.0%
","
5.75
","
A- (3.88)
","
N/A
"
"Burgos, Jose L.","
GLBH 111 - Health Frontiers in Tijuana (B)
",SP22,18,"
4
","
100.0%
","
100.0%
","
4.50
","
A (4.00)
","
N/A
"
"Burgos, Jose L.","
GLBH 111 - Health Frontiers in Tijuana (A)
",WI22,20,"
6
","
100.0%
","
100.0%
","
4.17
","
A- (3.83)
","
A- (3.97)
"
"Burgos, Jose L.","
GLBH 111 - Health Frontiers in Tijuana (A)
",FA21,21,"
10
","
100.0%
","
100.0%
","
4.25
","
A (4.00)
","
A- (3.94)
"
"Ojeda, Victoria D.","
GLBH 111 - Health Frontiers in Tijuana (A)
",FA21,21,"
10
","
100.0%
","
100.0%
","
4.25
","
A (4.00)
","
A- (3.94)
"
"Burgos, Jose L.","
GLBH 111 - Health Frontiers in Tijuana (A)
",S121,15,"
3
","
100.0%
","
100.0%
","
3.83
","
B+ (3.67)
","
N/A
"
"Burgos, Jose L.","
GLBH 111 - Health Frontiers in Tijuana (A)
",SP21,21,"
4
","
100.0%
","
100.0%
","
6.50
","
B+ (3.67)
","
B+ (3.67)
"
"Burgos, Jose L.","
GLBH 111 - Health Frontiers in Tijuana (A)
",WI21,22,"
9
","
100.0%
","
100.0%
","
3.50
","
A- (3.88)
","
A (4.00)
"
"Ojeda, Victoria D.","
GLBH 111 - Health Frontiers in Tijuana (A)
",WI21,22,"
9
","
100.0%
","
87.5%
","
3.50
","
A- (3.88)
","
A (4.00)
"
"Burgos, Jose L.","
GLBH 111 - Health Frontiers in Tijuana (A)
",FA20,21,"
8
","
100.0%
","
100.0%
","
3.50
","
A (4.00)
","
A- (3.88)
"
"Ojeda, Victoria D.","
GLBH 111 - Health Frontiers in Tijuana (A)
",FA20,21,"
8
","
100.0%
","
100.0%
","
3.50
","
A (4.00)
","
A- (3.88)
"
"Burgos, Jose L.","
GLBH 111 - Health Frontiers in Tijuana (A)
",SP20,13,"
5
","
100.0%
","
100.0%
","
6.10
","
A- (3.80)
","
N/A
"
"Ojeda, Victoria D.","
GLBH 111 - Health Frontiers in Tijuana (A)
",SP20,13,"
5
","
100.0%
","
100.0%
","
6.10
","
A- (3.80)
","
N/A
"
"Burgos, Jose L.","
GLBH 111 - Health Frontiers in Tijuana (A)
",WI20,28,"
17
","
88.2%
","
100.0%
","
3.91
","
B+ (3.65)
","
A- (3.81)
"
"Burgos, Jose L.","
GLBH 111 - Health Frontiers in Tijuana (A)
",FA19,29,"
18
","
100.0%
","
100.0%
","
4.03
","
A- (3.82)
","
A- (3.87)
"
"Ojeda, Victoria D.","
GLBH 111 - Health Frontiers in Tijuana (A)
",FA19,29,"
18
","
100.0%
","
88.2%
","
4.03
","
A- (3.82)
","
A- (3.87)
"
"Burgos, Jose L.","
GLBH 111 - Health Frontiers in Tijuana (A)
",SP19,25,"
8
","
100.0%
","
100.0%
","
3.25
","
A (4.00)
","
A- (3.94)
"
"Ojeda, Victoria D.","
GLBH 111 - Health Frontiers in Tijuana (A)
",WI19,21,"
12
","
100.0%
","
100.0%
","
3.59
","
A- (3.91)
","
A- (3.81)
"
"Burgos, Jose L.","
GLBH 111 - Health Frontiers in Tijuana (A)
",FA18,22,"
11
","
72.7%
","
100.0%
","
4.50
","
A- (3.91)
","
A- (3.94)
"
"Ojeda, Victoria D.","
GLBH 111 - Health Frontiers in Tijuana (A)
",FA18,22,"
11
","
72.7%
","
81.8%
","
4.50
","
A- (3.91)
","
A- (3.94)
"
"Burgos, Jose L.","
GLBH 111 - Health Frontiers in Tijuana (A)
",SP18,10,"
3
","
100.0%
","
100.0%
","
4.50
","
B+ (3.50)
","
N/A
"
"Ojeda, Victoria D.","
GLBH 111 - Health Frontiers in Tijuana (A)
",SP18,10,"
3
","
100.0%
","
100.0%
","
4.50
","
B+ (3.50)
","
N/A
"
