Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Wu, Hua","
GLBH 150A - Horizons Honors Thesis Sem I (A)
",WI23,14,"
3
","
100.0%
","
100.0%
","
5.17
","
A (4.00)
","
N/A
"
"Wu, Hua","
GLBH 150A - Horizons Honors Thesis Sem I (A)
",WI22,8,"
5
","
75.0%
","
100.0%
","
6.50
","
A (4.00)
","
N/A
"
"Sanchez, Giselle","
GLBH 150A - Horizons Honors Thesis Sem I (B)
",WI22,7,"
6
","
100.0%
","
100.0%
","
5.50
","
A (4.00)
","
N/A
"
"Saravia, Paula F","
GLBH 150A - GLBH Capstone Seminar I (A)
",WI21,9,"
3
","
100.0%
","
100.0%
","
7.17
","
A (4.00)
","
N/A
"
"Kozelka, Ellen Elizabeth","
GLBH 150A - GLBH Capstone Seminar I (B)
",WI21,10,"
6
","
100.0%
","
100.0%
","
6.83
","
A (4.00)
","
N/A
"
"Denham, Aaron Renfrew","
GLBH 150A - GLBH Capstone Seminar I (A)
",WI20,17,"
4
","
100.0%
","
100.0%
","
8.50
","
B (3.25)
","
N/A
"
"Kaiser, Bronwyn Nicole","
GLBH 150A - GLBH Capstone Seminar I (B)
",WI20,15,"
10
","
88.9%
","
100.0%
","
7.10
","
A (4.00)
","
N/A
"
"Saravia, Paula F","
GLBH 150A - GLBH Capstone Seminar I (C)
",WI20,14,"
6
","
100.0%
","
100.0%
","
7.50
","
A- (3.83)
","
N/A
"
"Kozelka, Ellen Elizabeth","
GLBH 150A - GLBH Capstone Seminar I (A)
",WI19,16,"
12
","
90.9%
","
100.0%
","
6.50
","
A- (3.91)
","
N/A
"
"Kaiser, Bronwyn Nicole","
GLBH 150A - GLBH Capstone Seminar I (B)
",WI19,15,"
7
","
100.0%
","
100.0%
","
3.36
","
A- (3.71)
","
N/A
"
"Saravia, Paula F","
GLBH 150A - GLBH Capstone Seminar I (C)
",WI19,14,"
6
","
100.0%
","
100.0%
","
4.90
","
A (4.00)
","
N/A
"
"Csordas, Thomas J.","
GLBH 150A - GLBH Capstone Seminar I (A)
",WI18,23,"
9
","
77.8%
","
77.8%
","
6.72
","
A- (3.89)
","
A- (3.77)
"
"Parish, Steven Martin","
GLBH 150A - GLBH Capstone Seminar I (B)
",WI18,20,"
7
","
100.0%
","
60.0%
","
4.50
","
A- (3.83)
","
A- (3.94)
"
"Saravia, Paula F","
GLBH 150A - GLBH Capstone Seminar I (C)
",WI18,17,"
10
","
90.0%
","
100.0%
","
7.10
","
A (4.00)
","
N/A
"
"Csordas, Thomas J.","
GLBH 150A - GLBH Capstone Seminar I (A)
",WI17,29,"
5
","
100.0%
","
80.0%
","
5.70
","
A- (3.80)
","
A- (3.83)
"
"Jenkins, Janis A.","
GLBH 150A - GLBH Capstone Seminar I (B)
",WI17,29,"
21
","
94.7%
","
100.0%
","
3.91
","
A- (3.95)
","
A- (3.75)
"
"Csordas, Thomas J.","
GLBH 150A - GLBH Capstone Seminar I (A)
",WI16,28,"
10
","
87.5%
","
87.5%
","
4.21
","
A (4.00)
","
A (4.00)
"
