Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Wu, Hua","
GLBH 150B - Horizons Honors Thesis Sem II (A)
",SP23,14,"
3
","
100.0%
","
100.0%
","
5.17
","
A (4.00)
","
N/A
"
"Wu, Hua","
GLBH 150B - Horizons Honors Thesis Sem II (A)
",SP22,15,"
7
","
100.0%
","
100.0%
","
6.50
","
A (4.00)
","
N/A
"
"Saravia, Paula F","
GLBH 150B - GLBH Capstone Seminar II (A)
",SP21,9,"
5
","
100.0%
","
100.0%
","
8.50
","
A (4.00)
","
N/A
"
"Kozelka, Ellen Elizabeth","
GLBH 150B - GLBH Capstone Seminar II (B)
",SP21,9,"
4
","
100.0%
","
100.0%
","
8.50
","
A- (3.75)
","
N/A
"
"Kozelka, Ellen Elizabeth","
GLBH 150B - GLBH Capstone Seminar II (A)
",SP20,15,"
8
","
87.5%
","
100.0%
","
7.25
","
A- (3.88)
","
N/A
"
"Kaiser, Bronwyn Nicole","
GLBH 150B - GLBH Capstone Seminar II (B)
",SP20,15,"
8
","
100.0%
","
100.0%
","
8.00
","
A- (3.75)
","
N/A
"
"Saravia, Paula F","
GLBH 150B - GLBH Capstone Seminar II (C)
",SP20,14,"
4
","
100.0%
","
100.0%
","
4.50
","
B (3.25)
","
N/A
"
"Kozelka, Ellen Elizabeth","
GLBH 150B - GLBH Capstone Seminar II (A)
",SP19,14,"
10
","
80.0%
","
100.0%
","
7.90
","
A- (3.90)
","
N/A
"
"Kaiser, Bronwyn Nicole","
GLBH 150B - GLBH Capstone Seminar II (B)
",SP19,12,"
4
","
100.0%
","
100.0%
","
5.50
","
A- (3.75)
","
N/A
"
"Saravia, Paula F","
GLBH 150B - GLBH Capstone Seminar II (C)
",SP19,12,"
3
","
100.0%
","
100.0%
","
4.50
","
B+ (3.67)
","
N/A
"
"Wagman, Jennifer Ann","
GLBH 150B - GLBH Capstone Seminar II (D)
",SP19,13,"
5
","
100.0%
","
100.0%
","
6.50
","
A- (3.80)
","
N/A
"
"Mackey, Timothy Ken","
GLBH 150B - GLBH Capstone Seminar II (E)
",SP19,15,"
7
","
83.3%
","
100.0%
","
8.50
","
B+ (3.67)
","
N/A
"
"Csordas, Thomas J.","
GLBH 150B - GLBH Capstone Seminar II (A)
",SP18,22,"
9
","
100.0%
","
100.0%
","
7.00
","
A- (3.88)
","
A- (3.91)
"
"Parish, Steven Martin","
GLBH 150B - GLBH Capstone Seminar II (B)
",SP18,20,"
6
","
83.3%
","
33.3%
","
7.83
","
A (4.00)
","
A- (3.87)
"
"Saravia, Paula F","
GLBH 150B - GLBH Capstone Seminar II (C)
",SP18,18,"
8
","
100.0%
","
87.5%
","
7.75
","
A (4.00)
","
N/A
"
"Jenkins, Janis A.","
GLBH 150B - GLBH Capstone Seminar II (A)
",SP17,27,"
10
","
60.0%
","
90.0%
","
6.50
","
B+ (3.60)
","
B+ (3.40)
"
"Csordas, Thomas J.","
GLBH 150B - GLBH Capstone Seminar II (B)
",SP17,29,"
14
","
100.0%
","
100.0%
","
5.95
","
B+ (3.60)
","
A- (3.85)
"
"Csordas, Thomas J.","
GLBH 150B - GLBH Capstone Seminar II (A)
",SP16,30,"
14
","
84.6%
","
84.6%
","
6.96
","
A- (3.92)
","
A- (3.89)
"
