Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Wilson, Deborah Downing","
HDP 115 - Media&Design/Soc Lrn Contexts (A)
",WI13,8,"
5
","
100.0%
","
100.0%
","
2.90
","
A (4.00)
","
N/A
"
"Rosero, Ivan D.","
HDP 115 - Media&Design/Soc Lrn Contexts (A)
",FA12,4,"
3
","
100.0%
","
100.0%
","
3.17
","
A (4.00)
","
N/A
"
"Cole, Michael                      ","
HDP 115 - Media&Design/Soc Lrn Contexts  (A)
",FA10,16,"
9
","
88.9%
","
100.0%
","
6.72
","
N/A
","
N/A
"
"Cole, Michael                      ","
HDP 115 - Media&Design/Soc Lrn Contexts  (B)
",FA10,15,"
5
","
100.0%
","
100.0%
","
4.90
","
N/A
","
N/A
"
"Lecusay, Robert A.                 ","
HDP 115 - Media&Design/Soc Lrn Contexts  (A)
",SP10,17,"
7
","
100.0%
","
100.0%
","
6.21
","
N/A
","
N/A
"
"Lecusay, Robert A.                 ","
HDP 115 - Media&Design/Soc Lrn Contexts  (A)
",WI10,21,"
6
","
100.0%
","
100.0%
","
5.17
","
N/A
","
A- (3.80)
"
"Lecusay, Robert A.","
HDP 115 - Media&Design/Soc Lrn Contexts  (A)
",FA09,22,"
16
","
93.3%
","
100.0%
","
4.88
","
N/A
","
N/A
"
"Cole, Michael                      ","
HDP 115 - Media&Design/Soc Lrn Contexts  (A)
",SP09,24,"
21
","
100.0%
","
100.0%
","
6.60
","
N/A
","
A- (3.81)
"
"Wilson, Deborah Downing","
HDP 115 - Media&Design/Soc Lrn Contexts  (A)
",WI09,24,"
20
","
94.7%
","
100.0%
","
7.50
","
N/A
","
B+ (3.61)
"
"Ferholt, Beth Rachel          ","
HDP 115 - Media&Design/Soc Lrn Contexts  (A)
",SP08,35,"
21
","
90.0%
","
100.0%
","
4.40
","
N/A
","
B (3.21)
"
"Cole, Michael                 ","
HDP 115 - Media&Design/Soc Lrn Contexts  (A)
",FA07,22,"
20
","
94.7%
","
100.0%
","
5.50
","
N/A
","
B+ (3.66)
"
