Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Rodriguez, Victoria Calip","
HDS 150 - Senior Seminar (A)
",WI23,18,"
6
","
100.0%
","
100.0%
","
1.50
","
A (4.00)
","
N/A
"
"Sloane, Julia Kathryn","
HDS 150 - Senior Seminar (B)
",FA22,9,"
4
","
100.0%
","
100.0%
","
2.00
","
B+ (3.67)
","
N/A
"
"Shadyab, Aladdin Hassan","
HDS 150 - Senior Seminar (A)
",SP22,18,"
16
","
100.0%
","
100.0%
","
2.75
","
A (4.00)
","
N/A
"
"Kamowski-Shakibai, Margare","
HDS 150 - Senior Seminar (B)
",SP22,16,"
5
","
80.0%
","
80.0%
","
5.30
","
B+ (3.60)
","
N/A
"
"Sloane, Julia Kathryn","
HDS 150 - Senior Seminar (C)
",SP22,19,"
7
","
100.0%
","
85.7%
","
3.36
","
A- (3.71)
","
N/A
"
"Rodriguez, Victoria Calip","
HDS 150 - Senior Seminar (A)
",WI22,19,"
4
","
100.0%
","
100.0%
","
3.00
","
A (4.00)
","
N/A
"
"Rodriguez, Victoria Calip","
HDS 150 - Senior Seminar (A)
",FA21,20,"
7
","
100.0%
","
100.0%
","
3.50
","
B+ (3.40)
","
A- (3.93)
"
"Shadyab, Aladdin Hassan","
HDS 150 - Senior Seminar (A)
",SP21,21,"
12
","
100.0%
","
100.0%
","
5.33
","
A (4.00)
","
A- (3.97)
"
"Rodriguez, Victoria Calip","
HDS 150 - Senior Seminar (B)
",SP21,23,"
8
","
100.0%
","
100.0%
","
5.00
","
A- (3.86)
","
B+ (3.65)
"
"Ishizuka, Katie E","
HDS 150 - Senior Seminar (A)
",WI21,17,"
3
","
100.0%
","
100.0%
","
3.17
","
B+ (3.67)
","
N/A
"
"Ishizuka, Katie E","
HDS 150 - Senior Seminar (A)
",FA20,12,"
4
","
100.0%
","
100.0%
","
4.50
","
A- (3.75)
","
N/A
"
"Ark, Wendy S","
HDS 150 - Senior Seminar (A)
",SP20,14,"
5
","
100.0%
","
100.0%
","
4.90
","
B+ (3.40)
","
N/A
"
"Shadyab, Aladdin Hassan","
HDS 150 - Senior Seminar (B)
",SP20,14,"
12
","
100.0%
","
100.0%
","
4.00
","
A (4.00)
","
N/A
"
"Ishizuka, Katie E","
HDS 150 - Senior Seminar (C)
",SP20,14,"
3
","
100.0%
","
100.0%
","
3.17
","
A (4.00)
","
N/A
"
"Ishizuka, Katie E","
HDS 150 - Senior Seminar (A)
",WI20,19,"
8
","
100.0%
","
100.0%
","
3.00
","
A- (3.88)
","
N/A
"
