Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Prestholdt, Jeremy","
HIAF 113 - SmallWars GloblOrdr/Afrca&Asia (A)
",SP23,69,"
30
","
93.1%
","
96.6%
","
4.37
","
B+ (3.54)
","
B (3.19)
"
"Prestholdt, Jeremy","
HIAF 113 - SmallWars GloblOrdr/Afrca&Asia (A)
",SP22,76,"
21
","
100.0%
","
100.0%
","
3.10
","
A- (3.72)
","
B+ (3.59)
"
"Prestholdt, Jeremy","
HIAF 113 - SmallWars GloblOrdr/Afrca&Asia (A)
",FA20,44,"
13
","
100.0%
","
100.0%
","
3.58
","
B+ (3.67)
","
B+ (3.33)
"
"Prestholdt, Jeremy","
HIAF 113 - SmallWars GloblOrdr/Afrca&Asia (A)
",WI19,129,"
46
","
100.0%
","
100.0%
","
3.26
","
A- (3.70)
","
B+ (3.41)
"
"Prestholdt, Jeremy","
HIAF 113 - SmallWars GloblOrdr/Afrca&Asia (A)
",SP18,118,"
46
","
100.0%
","
97.8%
","
4.06
","
B+ (3.59)
","
B+ (3.64)
"
"Prestholdt, Jeremy","
HIAF 113 - SmallWars GloblOrdr/Afrca&Asia (A)
",SP16,69,"
33
","
96.9%
","
96.9%
","
3.08
","
B+ (3.69)
","
B+ (3.53)
"
"Prestholdt, Jeremy","
HIAF 113 - SmallWars GloblOrdr/Afrca&Asia (A)
",WI14,28,"
21
","
100.0%
","
100.0%
","
2.79
","
B+ (3.37)
","
B (3.02)
"
"Prestholdt, Jeremy","
HIAF 113 - SmallWars GloblOrdr/Afrca&Asia (A)
",SP13,102,"
24
","
95.5%
","
95.5%
","
4.05
","
B+ (3.60)
","
B+ (3.44)
"
"Prestholdt, Jeremy                 ","
HIAF 113 - SmallWars GloblOrdr/Afrca&Asia (A)
",SP10,66,"
33
","
97.0%
","
96.9%
","
4.38
","
B+ (3.45)
","
B (3.15)
"
"Prestholdt, Jeremy                 ","
HIAF 113 - SmallWars GloblOrdr/Afrca&Asia (A)
",SP09,56,"
45
","
100.0%
","
100.0%
","
4.88
","
A- (3.73)
","
B+ (3.55)
"
