Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Chan, Thomas Arthur Kwok Wah","
HIEA 132 - Hist/People's Republic/China (A)
",S221,25,"
6
","
100.0%
","
100.0%
","
5.83
","
A (4.00)
","
A- (3.90)
"
"Jiao, Yupeng","
HIEA 132 - Hist/People's Republic/China (B)
",S120,27,"
14
","
100.0%
","
100.0%
","
7.07
","
A (4.00)
","
B+ (3.61)
"
"Gerth, Karl G.","
HIEA 132 - Hist/People's Republic/China (A)
",WI20,36,"
18
","
100.0%
","
94.4%
","
5.72
","
B+ (3.33)
","
B+ (3.70)
"
"Merrill O'Keefe, Amy Roxanne","
HIEA 132 - Hist/People's Republic/China (A)
",S118,8,"
4
","
100.0%
","
100.0%
","
11.83
","
B (3.00)
","
N/A
"
"Gerth, Karl G.","
HIEA 132 - Hist/People's Republic/China (A)
",SP17,35,"
32
","
100.0%
","
93.8%
","
4.82
","
B (3.19)
","
B (3.14)
"
"Pickowicz, Paul G.","
HIEA 132 - Hist/People's Republic/China (A)
",FA15,93,"
43
","
97.6%
","
97.6%
","
7.62
","
A- (3.74)
","
B+ (3.32)
"
"Pickowicz, Paul G.","
HIEA 132 - Hist/People's Republic/China (A)
",SP14,61,"
26
","
84.0%
","
88.0%
","
6.14
","
A- (3.72)
","
B+ (3.47)
"
"Smith, Jomo R","
HIEA 132 - Hist/People's Republic/China (A)
",SP13,48,"
22
","
81.0%
","
85.7%
","
6.40
","
B- (2.75)
","
C+ (2.55)
"
"Pickowicz, Paul G.                 ","
HIEA 132 - Hist/People's Republic/China   (A)
",WI10,96,"
36
","
91.7%
","
88.6%
","
8.11
","
B+ (3.33)
","
B- (2.78)
"
"Pickowicz, Paul G.                 ","
HIEA 132 - Hist/People's Republic/China   (A)
",SP09,108,"
60
","
90.0%
","
93.3%
","
5.93
","
B (3.23)
","
C+ (2.68)
"
"Pickowicz, Paul G.            ","
HIEA 132 - Hist/People's Republic/China   (A)
",WI08,111,"
73
","
100.0%
","
100.0%
","
5.82
","
B+ (3.42)
","
B- (2.80)
"
