Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Gallant, Thomas W.","
HIEU 116B - Greece/Balkans/Age/Nationalism (A)
",FA21,50,"
23
","
100.0%
","
100.0%
","
3.28
","
A- (3.82)
","
B (3.25)
"
"Gallant, Thomas W.","
HIEU 116B - Greece/Balkans/Age/Nationalism (A)
",WI21,50,"
24
","
95.8%
","
95.7%
","
4.00
","
B+ (3.67)
","
B+ (3.44)
"
"Gallant, Thomas W.","
HIEU 116B - Greece/Balkans/Age/Nationalism (A)
",FA19,38,"
16
","
100.0%
","
100.0%
","
3.83
","
B+ (3.36)
","
B (3.27)
"
"Gallant, Thomas W.","
HIEU 116B - Greece/Balkans/Age/Nationalism (A)
",WI16,54,"
26
","
92.3%
","
92.3%
","
3.62
","
A- (3.75)
","
B (3.25)
"
"Gallant, Thomas W.","
HIEU 116B - Greece/Balkans/Age/Nationalism (A)
",WI14,68,"
21
","
100.0%
","
100.0%
","
5.26
","
B (3.29)
","
B- (2.80)
"
"Gallant, Thomas W.                 ","
HIEU 116B - Greece & the Balkans/1914-2001 (A)
",SP11,65,"
26
","
100.0%
","
100.0%
","
3.42
","
B+ (3.48)
","
B- (2.84)
"
"Gallant, Thomas W.                 ","
HIEU 116B - Greece & the Balkans/1683-1914 (A)
",FA10,67,"
27
","
85.2%
","
96.3%
","
6.13
","
B (3.20)
","
B- (2.77)
"
"Gallant, Thomas W.                 ","
HIEU 116B - Greece & the Balkans/1683-1914 (A)
",SP10,74,"
31
","
93.5%
","
96.8%
","
3.92
","
B+ (3.41)
","
B- (2.81)
"
"Gallant, Thomas W.                 ","
HIEU 116B - Greece & the Balkans/1683-1914 (A)
",SP09,65,"
39
","
92.1%
","
94.7%
","
3.68
","
B+ (3.53)
","
C+ (2.70)
"
"Gallant, Thomas W.                 ","
HIEU 116B - Greece & the Balkans/1914-2001 (A)
",FA08,53,"
38
","
91.9%
","
89.2%
","
3.71
","
B+ (3.41)
","
B (3.06)
"
"Gallant, Thomas W.            ","
HIEU 116B - Greece & the Balkans/1683-1914 (A)
",SP08,70,"
45
","
97.7%
","
100.0%
","
3.39
","
A- (3.71)
","
B (3.08)
"
