Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Edelman, Robert S.","
HIEU 156 - Hist. Soviet Union 1905-1991 (A)
",SP20,62,"
20
","
95.0%
","
100.0%
","
3.90
","
B+ (3.62)
","
B+ (3.46)
"
"Edelman, Robert S.","
HIEU 156 - Hist. Soviet Union 1905-1991 (A)
",WI19,38,"
17
","
81.3%
","
93.8%
","
5.00
","
B+ (3.60)
","
B+ (3.58)
"
"Edelman, Robert S.","
HIEU 156 - Hist. Soviet Union 1905-1991 (A)
",SP18,70,"
21
","
63.2%
","
63.2%
","
5.00
","
B+ (3.33)
","
B+ (3.33)
"
"Edelman, Robert S.","
HIEU 156 - Hist. Soviet Union 1905-1991 (A)
",SP17,47,"
10
","
100.0%
","
100.0%
","
4.30
","
B+ (3.63)
","
B+ (3.58)
"
"Edelman, Robert S.","
HIEU 156 - Hist. Soviet Union 1905-1991 (A)
",SP16,55,"
22
","
76.2%
","
76.2%
","
4.08
","
B+ (3.41)
","
B+ (3.63)
"
"Edelman, Robert S.","
HIEU 156 - Hist. Soviet Union 1905-1991 (A)
",FA14,60,"
26
","
92.0%
","
72.0%
","
4.10
","
B (3.29)
","
B+ (3.34)
"
"Edelman, Robert S.","
HIEU 156 - Hist. Soviet Union 1905-1991 (A)
",WI14,44,"
9
","
100.0%
","
88.9%
","
5.83
","
B (3.29)
","
B+ (3.36)
"
"Hillman, Susanne","
HIEU 156 - Hist. Soviet Union 1905-1991 (A)
",S213,26,"
9
","
100.0%
","
88.9%
","
7.50
","
B+ (3.56)
","
B+ (3.46)
"
"Edelman, Robert S.","
HIEU 156 - Hist. Soviet Union 1905-1991 (A)
",FA12,42,"
14
","
100.0%
","
92.3%
","
4.81
","
B+ (3.67)
","
B+ (3.41)
"
"Edelman, Robert S.                 ","
HIEU 156 - Hist. Soviet Union 1905-1991   (A)
",SP10,99,"
36
","
88.9%
","
75.0%
","
3.56
","
B+ (3.53)
","
B+ (3.39)
"
"Edelman, Robert S.                 ","
HIEU 156 - Hist. Soviet Union 1905-1991   (A)
",SP09,82,"
30
","
73.3%
","
66.7%
","
3.23
","
B+ (3.56)
","
B+ (3.42)
"
"Edelman, Robert S.            ","
HIEU 156 - Rus Emp&Soviet Union 1855-1991 (A)
",WI08,87,"
43
","
97.5%
","
95.0%
","
3.85
","
B+ (3.50)
","
B+ (3.43)
"
